"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",11,"Rondônia",0,0.9,1.1,1.1,1.3,1.1,0.9,1.2,1.1,1.1,0.9
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",12,"Acre",1.1,1,0.9,1.2,1,1,0.5,0.6,0.5,1.2,0.8
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",13,"Amazonas",1.1,1.2,1.3,1.1,1,1.1,1.2,1.2,1.1,1,1.5
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",14,"Roraima",0.2,0.4,0.2,0.1,0.3,0.4,0.5,0.4,0.5,0.7,0.5
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",15,"Pará",0.8,1.2,1.4,1.2,1.3,1,0.9,0.8,0.7,0.7,0.7
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",16,"Amapá",0.5,0.4,0.4,0.2,0.2,0.2,0.5,0.1,0.1,0.1,0.1
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",17,"Tocantins",0.7,0.5,0.5,0.6,0.4,0.8,0.6,0.7,0.7,0.6,0.4
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",21,"Maranhão",0.3,0.3,0.9,0.3,0.3,0.5,0.5,0.8,0.8,0.8,0.9
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",22,"Piauí",0.2,0.7,0.8,0.9,0.7,1,1.2,0.7,0.9,0.7,0.7
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",23,"Ceará",1.6,1.5,1.7,1.3,1.6,1.2,1.4,1.1,1.2,1.3,1.4
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",24,"Rio Grande do Norte",0.5,1.4,1.4,1.2,1,1.4,1.3,1.4,1.4,1.6,1
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",25,"Paraíba",0.4,1.7,2.1,2,2.4,1.5,1.7,1.8,1.8,2.1,1.8
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",26,"Pernambuco",1,0.9,0.8,1.1,0.8,0.5,0.9,0.8,0.8,0.8,0.7
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",27,"Alagoas",0.3,0.4,0.5,0.4,0.6,0.5,0.6,0.3,0.2,0.3,0.3
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",28,"Sergipe",0.4,0.5,0.3,0.4,1.3,0.6,1.1,1.2,1.4,0.8,0.7
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",29,"Bahia",1.5,1.4,2,1.6,1.9,1.4,1.8,1.2,1.2,1.3,1.3
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",31,"Minas Gerais",1,1.1,1.2,1.2,1.1,0.9,1,1,0.9,1.2,0.8
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",32,"Espírito Santo",0.2,0.6,0.7,0.8,1.1,0.8,0.3,0.7,0.8,0.9,0.9
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",33,"Rio de Janeiro",1.1,1.2,1.3,1.4,1.3,1.3,1.6,1.9,1.8,1.7,1.6
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",35,"São Paulo",3.6,3.7,3.8,4.3,4.5,4.5,4.6,5.4,5.3,5.1,5.5
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",41,"Paraná",2.3,2.9,2.7,2.5,2.7,2.1,2.3,2.3,2.3,2.2,2.3
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",42,"Santa Catarina",2.4,2.6,2.5,2.6,2.4,1.8,2,2.1,1.7,1.7,1.7
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",43,"Rio Grande do Sul",0.3,0.4,0.7,0.8,0.9,0.9,0.9,0.7,0.7,0.7,0.6
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",50,"Mato Grosso do Sul",0.2,0.2,0.5,0.4,1.1,1,1.3,1,0.9,0.9,1.2
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",51,"Mato Grosso",0.7,0.9,1.1,1.2,1,0.8,0.8,1.3,1.1,1.1,1.2
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",52,"Goiás",0.3,0.3,0.3,0.7,0.9,0.7,0.6,0.6,1,0.8,1
"Ciência e Tecnologia","TX_MCTIC_DISPENDIOS_UF","Amazônia Legal",53,"Distrito Federal",0.4,1.2,1.3,1,1,0.9,1.8,1.2,1.3,1.5,1.2
