"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2012","2013","2014","2015","2016","2017","2018","2019"
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",11,"Rondônia",17.9,18.4,20.6,20.3,19.2,16.9,17.9,16
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",12,"Acre",19.2,20,21.8,18.4,21.9,22.9,21.3,23.3
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",13,"Amazonas",16.4,16.6,18.3,20.7,17.8,19,18.9,17
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",14,"Roraima",16.4,16.7,16.7,15.9,18.3,18,17.5,16.9
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",15,"Pará",18.4,18.7,18.4,18.3,19.3,20,20.4,21.4
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",16,"Amapá",15.3,17,18.4,21.6,17.4,19.7,20.3,20.6
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",17,"Tocantins",17.8,19.1,17.4,16.3,14.8,17.4,16.9,14.6
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",21,"Maranhão",22.3,23.3,21.8,21.4,22.8,25.8,25.8,27.5
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",22,"Piauí",19.4,19.3,18.4,17.8,20.1,18.6,21.3,21.1
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",23,"Ceará",21.7,21,21.8,23.2,21.7,20.5,20.6,19.8
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",24,"Rio Grande do Norte",20.3,20.8,19.3,19.3,19.7,20.7,22.7,18.4
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",25,"Paraíba",19.7,20.9,19.8,18,21.3,21.8,21.7,22.7
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",26,"Pernambuco",20.4,21.2,21.9,20.3,20.8,19.4,18.5,19.6
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",27,"Alagoas",22.8,24.9,24.7,24.2,24.2,26.4,28.2,27
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",28,"Sergipe",16.3,16.8,16.2,17.5,19.6,20,19.7,15.9
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",29,"Bahia",16.5,15.9,16,15.9,18.2,18.8,18.1,17.4
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",31,"Minas Gerais",13.4,13.5,13.5,12.9,12.8,11.2,12.5,12
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",32,"Espírito Santo",13.9,14.6,14.8,15.6,14.5,14.5,11.7,12.3
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",33,"Rio de Janeiro",14.9,14.6,14.8,14.7,14.5,12.7,12.4,11.6
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",35,"São Paulo",12.6,12.2,12.4,12.2,10.2,10.1,9.7,9.8
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",41,"Paraná",12.9,12.5,13.5,12.7,12.2,11.9,11.7,10.4
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",42,"Santa Catarina",11,11.1,11.4,9.3,10.4,8.7,8.8,7.9
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",43,"Rio Grande do Sul",11.7,10.6,11.7,10.5,10.4,10.4,11.3,9
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",50,"Mato Grosso do Sul",15,13.4,14.7,15.9,12.4,12.2,13.7,12.1
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",51,"Mato Grosso",15.1,14.5,15.4,15.9,13.2,14.1,14.2,12.3
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",52,"Goiás",14.5,15,14.1,14.5,13.3,13.1,12,12
"Desenvolvimento Social","TX_PNAD_NEM_NEM_NEM_UF","Amazônia Legal",53,"Distrito Federal",11.2,10.4,11.3,13.1,12.7,10.2,11,8.7
