"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",14767.37,15954.53,17811.48,18868.3,19624.93,18515.06,19266.94,18717.54,17996.13,19010.14,21552.47
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100023,"Ariquemes",21173.52,22413.72,23726.78,24633.78,25130.45,23210.72,23709.44,22627.92,21388.28,22228.15,23206.36
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100031,"Cabixi",15069.89,16331.25,19365.44,20677.87,21676.03,20638.01,21649.32,21199.01,20537.88,21862.37,25837.07
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100049,"Cacoal",20251.42,21567.4,24146.19,25283.02,26002.13,24227.32,24935.43,23968.98,22810.06,23859.08,25708.96
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100056,"Cerejeiras",20449.2,22106.04,24126.71,25521.28,26506.64,24969.54,25947.04,25172.17,24170.14,25498.46,28714.36
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100064,"Colorado do Oeste",13185.27,14428.06,15465.17,16497.13,17276.9,16427.3,17213.44,16837.4,16297.05,17328.66,20362.85
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100072,"Corumbiara",23876.59,25775.89,31764.29,33917.04,35559.19,33852.42,35508.17,34769.59,33689.74,35860.65,42371.88
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100080,"Costa Marques",11973.27,12393.59,14641.83,15027.27,15168.19,13851.29,14013.2,13253.96,12423.73,12810.69,12890.73
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100098,"Espigão D'Oeste",15453.57,16386.94,18426.71,19232.15,19718.24,18310.77,18791.77,18013.27,17097.61,17838.72,18984.55
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100106,"Guajará-Mirim",15004.96,15977.04,17481.04,18271.81,18759.91,17447.5,17929.21,17207.94,16352.26,17080.61,18279.32
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100114,"Jaru",19893.18,21302.14,24706.22,26057.29,26985.72,25338.67,26255.76,25402.01,24324.54,25595.8,28433.31
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100122,"Ji-Paraná",22076.55,23570.38,25089.15,26229.71,26935.19,25055.75,25751.62,24720.02,23494.81,24544.98,26287.35
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100130,"Machadinho D'Oeste",14488.56,15069.22,17944.71,18498.41,18746.45,17191.62,17455.3,16565.17,15575.13,16106.48,16423.33
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",15236.19,16270.21,16200.38,17038.51,17598.38,16475.29,17026.94,16431.82,15697.32,16478.4,18086.12
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100155,"Ouro Preto do Oeste",15825.94,17135.45,18551.99,19637.62,20410.16,19239.8,20006.37,19421.57,18659.72,19697.84,22252.81
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100189,"Pimenta Bueno",24323.9,25902.18,29100.78,30476.89,31348.94,29214.78,30074.43,28913.57,27519.91,28790,31046.77
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100205,"Porto Velho",31912,33839.42,33802.01,34978.74,35573.7,32746.88,33355.61,31749.61,29935.59,31037.91,32042.67
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100254,"Presidente Médici",13257.66,14431.12,16280.49,17371.8,18197.9,17309.21,18143.36,17751.25,17186.65,18280.26,21515.84
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100262,"Rio Crespo",23751.05,25195.73,27951.26,29146.93,29866.86,27720.89,28427.95,27236.58,25837.51,26942.28,28611.6
"Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100288,"Rolim de Moura",19052.57,20296.47,22627.37,23691.37,24363.38,22699.05,23361.15,22454.51,21367.97,22349.19,24077.57
