"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",4.5,4.3,5.4,5.8,6.2,5.7
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100023,"Ariquemes",4.4,4.6,4.9,5.2,5.5,5.2
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100031,"Cabixi",4.6,5.2,5.6,5.5,6.1,5.1
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100049,"Cacoal",4.4,5.2,5.8,5.9,6.3,5.8
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100056,"Cerejeiras",4.9,5.4,6.2,5.9,6.4,6.4
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100064,"Colorado do Oeste",5.2,5.4,6.2,6.3,6.4,6.3
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100072,"Corumbiara",4,4.4,5.4,5.2,5.7,6
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100080,"Costa Marques",4.1,4.2,5.4,4.9,4.8,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100098,"Espigão D'Oeste",4.8,5,5.8,6,6.1,5.9
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100106,"Guajará-Mirim",4.3,4.5,4.7,4.9,4.9,5
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100114,"Jaru",4.3,4.6,5.1,5.6,6.1,5.7
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100122,"Ji-Paraná",4.5,4.9,5.7,6,6.2,5.8
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100130,"Machadinho D'Oeste",4.3,4.5,5,5.2,5.2,5
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",4.6,5.5,6.6,6.6,7.2,6.9
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100155,"Ouro Preto do Oeste",4.2,4.6,5.5,5.7,5.8,5.5
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100189,"Pimenta Bueno",4.9,5.6,5.9,5.9,6.2,5.8
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100205,"Porto Velho",4.2,4.3,4.6,4.9,5.3,5.4
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100254,"Presidente Médici",4.6,5.1,5.9,6,6.3,5.8
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100262,"Rio Crespo",3.9,3.4,4.7,4.9,5.1,4
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100288,"Rolim de Moura",4.5,4.8,5.5,5.6,6.4,5.9
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",4.4,4.8,5.7,6.1,6.8,6.3
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100304,"Vilhena",4.6,5.1,5.7,5.6,5.9,5.6
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100320,"São Miguel do Guaporé",4.3,4.6,5.3,5,5.7,5.1
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100338,"Nova Mamoré",4,3.9,5,4.8,5.2,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100346,"Alvorada D'Oeste",4.1,4.9,5.2,5.6,5.8,5.3
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",4.1,4.3,5.1,5.8,5.8,5.4
"Educação","TX_INEP_IDEB_AI_MUN","Rondônia",1100403,"Alto Paraíso",4.3,4.6,4.9,4.9,5.7,4.9
