"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2019"
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",4.5
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100023,"Ariquemes",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100049,"Cacoal",4.4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100056,"Cerejeiras",4.6
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100064,"Colorado do Oeste",4.7
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100072,"Corumbiara",4.6
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100080,"Costa Marques",4.3
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100098,"Espigão D'Oeste",4.5
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100106,"Guajará-Mirim",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100114,"Jaru",4.1
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100122,"Ji-Paraná",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100130,"Machadinho D'Oeste",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",4.6
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100155,"Ouro Preto do Oeste",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100189,"Pimenta Bueno",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100205,"Porto Velho",4.1
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100254,"Presidente Médici",4.5
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100262,"Rio Crespo",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100288,"Rolim de Moura",4.7
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",4.7
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100304,"Vilhena",3.9
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100320,"São Miguel do Guaporé",4.1
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100338,"Nova Mamoré",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100403,"Alto Paraíso",3
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100452,"Buritis",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",4.6
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100700,"Campo Novo de Rondônia",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1100809,"Candeias do Jamari",3.8
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101005,"Governador Jorge Teixeira",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101104,"Itapuã do Oeste",3.4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101203,"Ministro Andreazza",4.4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101302,"Mirante da Serra",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101435,"Nova União",4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101468,"Pimenteiras do Oeste",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101476,"Primavera de Rondônia",4.3
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101484,"São Felipe D'Oeste",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101492,"São Francisco do Guaporé",4.4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101500,"Seringueiras",4.4
"Educação","TX_INEP_IDEB_EM_MUN","Rondônia",1101559,"Teixeirópolis",4.4
