"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",54.6,60.6,62.1,68.4,46,53.7,59.4,64.9,66.9,56.2,84.5
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100023,"Ariquemes",74.1,72.7,75.8,78.9,73.9,73.9,79.9,85.4,95.2,86.7,97.2
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100031,"Cabixi",75.8,97.3,94,79.6,65.2,66.7,59.2,47.7,62,73.8,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100049,"Cacoal",79.7,81.1,79.6,76.8,72.4,80.3,87.2,85.5,100,94.1,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100056,"Cerejeiras",77.5,88.7,83.3,70.6,74.4,81.1,97.4,94.1,100,86.4,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100064,"Colorado do Oeste",60.1,67.6,56.6,57.1,46.9,47.8,59.9,66.9,94.3,87.2,88
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100072,"Corumbiara",40.3,50.8,45.8,31.2,40.4,50.6,60.4,72,93.8,88.4,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100080,"Costa Marques",72.3,77.4,74.7,72.9,57.7,59.4,64.5,62.9,68.8,76.4,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100098,"Espigão D'Oeste",49.4,62.4,63.2,55.1,49.6,57.6,69.4,68.7,75.8,69.4,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100106,"Guajará-Mirim",70.9,69,69.2,67.6,69.8,66.9,67.8,66.5,73.1,59.3,60.6
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100114,"Jaru",79.5,74.3,73.5,79,76.2,70.3,73.1,79.9,88.6,85,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100122,"Ji-Paraná",69.7,70,72,69,62.5,72,76.5,75.4,88,79.9,87
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100130,"Machadinho D'Oeste",43.5,53.8,51.7,48.4,37.1,43.6,60.1,62.7,77,69.5,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",60,63.2,59.8,60.5,59.3,45.9,53.9,60.7,55.8,48.7,74.6
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100155,"Ouro Preto do Oeste",88,94.4,91.6,82.4,89,80,78.6,85.6,98.8,86.2,96.2
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100189,"Pimenta Bueno",78.5,82.2,83,81.7,75,81.8,85.8,88.8,97,91.1,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100205,"Porto Velho",76.5,80.8,75.4,77,80.4,85.1,90.7,87.2,84.9,89.2,100
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100254,"Presidente Médici",68.3,72.1,79.6,76.3,76.8,69,70.2,62.6,79.8,66.9,84.3
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100262,"Rio Crespo",93.5,78.8,81.7,92.7,78.9,78.6,79.2,84.9,88.5,69.6,79.4
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100288,"Rolim de Moura",74.5,80.1,78.2,82,73,84.4,87.9,87.7,92.7,83.5,94.1
"Educação","TX_INEP_PREESCOLA_4_5_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",61.9,68.4,77.3,71.8,67.3,65,64.3,73.5,90.3,80.6,100
