"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",11,"Rondônia",3.5,3.6,3.8,4.1,4.8,4.8
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",12,"Acre",4.1,4.1,4.3,4.4,4.6,4.8
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",13,"Amazonas",3.4,3.7,3.8,4.2,4.4,4.5
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",14,"Roraima",3.7,3.6,3.5,3.7,4,4.1
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",15,"Pará",3.4,3.5,3.4,3.6,3.6,3.9
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",16,"Amapá",3.6,3.5,3.4,3.5,3.5,3.8
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",17,"Tocantins",3.9,4,3.8,4,4.5,4.5
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",21,"Maranhão",3.4,3.4,3.4,3.7,3.7,4
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",22,"Piauí",3.5,3.6,3.6,3.9,4.2,4.6
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",23,"Ceará",3.6,3.9,4.1,4.5,4.9,5.2
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",24,"Rio Grande do Norte",2.9,3,3.2,3.4,3.4,3.6
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",25,"Paraíba",2.9,3.1,3.2,3.5,3.6,3.9
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",26,"Pernambuco",3,3.2,3.4,3.8,4.1,4.5
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",27,"Alagoas",2.7,2.6,2.8,3.2,3.9,4.5
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",28,"Sergipe",2.8,2.9,2.8,3.1,3.4,3.6
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",29,"Bahia",2.9,3.1,3.2,3.4,3.4,3.8
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",31,"Minas Gerais",4.1,4.4,4.6,4.6,4.5,4.7
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",32,"Espírito Santo",3.8,3.9,3.9,4.1,4.4,4.7
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",33,"Rio de Janeiro",3.4,3.7,3.9,4,4.2,4.4
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",35,"São Paulo",4.3,4.4,4.4,4.7,4.9,5.2
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",41,"Paraná",4.1,4.1,4.1,4.3,4.7,5.1
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",42,"Santa Catarina",4.3,4.7,4.3,4.9,5,4.9
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",43,"Rio Grande do Sul",3.9,3.9,4,4.2,4.4,4.5
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",50,"Mato Grosso do Sul",3.9,3.8,3.9,4.3,4.6,4.6
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",51,"Mato Grosso",4.2,4.3,4.2,4.5,4.7,4.5
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",52,"Goiás",3.7,3.9,4.5,4.6,5.1,5.1
"Educação","TX_INEP_IDEB_AF_UF","Amazônia Legal",53,"Distrito Federal",3.9,3.9,3.9,4,4.3,4.6
