"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2012","2013","2014","2015","2016","2017","2018","2019"
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",11,"Rondônia",8.9,12.8,10.8,11.4,14.2,13.6,14.4,15.5
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",12,"Acre",11.2,10.7,10.9,12.5,15.1,15,15.4,18.8
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",13,"Amazonas",8.6,9.6,8.5,9.8,11.4,13.1,15.8,16
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",14,"Roraima",17,17.7,12.8,18.1,16.9,20.5,18.2,15.9
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",15,"Pará",7.4,7.9,7.9,8.7,9.2,10.2,11.6,12.7
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",16,"Amapá",12.7,15,14.9,12.3,17.1,14.4,22.6,17.3
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",17,"Tocantins",8.8,12.3,13.2,12.7,12.7,16,14.6,18.3
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",21,"Maranhão",6,7.6,5.5,7.7,7.9,9.6,10.8,9.9
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",22,"Piauí",10.8,14.8,12.8,13.9,15.8,16.6,17.4,20
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",23,"Ceará",8,8.5,8.5,10.3,10.3,12.2,12.8,12.3
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",24,"Rio Grande do Norte",8.2,9,14.7,14.3,15,15.9,19.3,18.3
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",25,"Paraíba",8.1,9.6,11.4,12.8,12.8,16.8,16.4,14.3
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",26,"Pernambuco",12.3,11.2,12.4,15.1,15.2,12.5,15.7,14.3
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",27,"Alagoas",9.9,7.7,11.3,8.8,11.2,10,12.1,16.4
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",28,"Sergipe",10.9,12,11.9,12,14,15.9,11.6,13
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",29,"Bahia",9.5,7,8.2,11.3,11.3,9.1,13,12.1
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",31,"Minas Gerais",15.2,14.1,16.1,20.3,17.5,19.5,20.2,19.8
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",32,"Espírito Santo",16.2,14.1,16,17.3,18.7,21.4,20.2,23.9
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",33,"Rio de Janeiro",17.5,18.7,17.8,16.5,19.7,19.8,22.9,23.7
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",35,"São Paulo",22.4,23.6,23,24,25.9,24.1,27.2,24.5
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",41,"Paraná",18.9,21.6,22.9,22.8,26.3,23.3,25.1,25.1
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",42,"Santa Catarina",19.5,19.4,19.8,23.3,22.1,23.3,25.7,24.6
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",43,"Rio Grande do Sul",14.2,15.6,16.9,19.2,19,19.5,17.5,20.8
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",50,"Mato Grosso do Sul",15.2,16.8,15.8,17,20.8,22,20.4,22.1
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",51,"Mato Grosso",13.6,17.9,16.1,15.8,19.3,18.9,20.5,20.3
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",52,"Goiás",15.3,15.1,17.1,17.5,20.7,21.5,21.7,21.4
"Educação","TX_PNAD_JOVENS_SUPERIOR_UF","Amazônia Legal",53,"Distrito Federal",29.1,28.1,27.8,33.9,33.3,38.6,35.3,39.7
