"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",11,"Rondônia",5.6,34.2,36.9,9.6,15.9,34.6,50.6,44.7,50.1,36.2,34.1
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",12,"Acre",1.3,21,5,0.9,0,4.3,8.3,0,15,3.8,0.7
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",13,"Amazonas",0,15.6,6.9,0,10.4,6.7,12.4,4,4.5,0.9,0
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",14,"Roraima",6,14.4,14.1,6.4,22.6,28.2,25.4,22.1,20.5,52.2,61.3
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",15,"Pará",2.2,3.9,0.4,11.4,5.2,10.4,23.3,31.5,3.4,23.5,19.7
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",16,"Amapá",36.8,3.9,15,19.2,17.5,14.2,8.4,14.4,13.5,15.7,7.1
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",17,"Tocantins",11.2,18.5,17.6,10.7,17.9,20.8,21.3,20.2,16.7,19,27.6
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",21,"Maranhão",20.3,38.2,28.8,15.9,15.3,29.2,34.9,37.8,30.1,41.6,29.2
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",22,"Piauí",36.5,40.8,34.8,33.1,25.3,38.9,41.7,34.7,35.3,39.1,39.8
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",23,"Ceará",17.8,14.7,21,29.6,11.5,23.6,41.6,35.6,39.4,27.7,28.3
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",24,"Rio Grande do Norte",23.6,25.6,31.8,46.8,42.4,45.4,41.2,20.5,46.1,30.3,34.4
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",25,"Paraíba",15,48,52,39.4,37.9,39.9,56.3,44,56.7,45.1,52.3
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",26,"Pernambuco",13.7,25.3,29.7,29.3,26.7,28.7,46.9,42.1,44,48.4,53.7
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",27,"Alagoas",13.2,56.5,40.2,51.9,47.1,50.2,78.7,57.4,64.9,73,86.4
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",28,"Sergipe",11.2,45.3,41.3,34.1,42.4,37.4,43.3,33.1,27.2,43.8,43
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",29,"Bahia",25,39.3,49,30.3,25.8,37.9,44.5,36.6,35.2,44.8,42.4
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",31,"Minas Gerais",26.4,31.6,41.5,25.3,31.8,34,38.2,38.2,30.2,38.7,29.4
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",32,"Espírito Santo",37.3,37.6,33.5,28.9,36.8,40.1,35.5,44.5,32.3,54.1,47.1
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",33,"Rio de Janeiro",63.3,61.7,65.9,60.5,64.9,61,61.9,63,53.2,60.9,69.6
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",35,"São Paulo",75.4,81.3,78.7,78.7,82.2,78.5,83.5,81.5,77.8,78,81.8
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",41,"Paraná",49.2,57.7,61.9,47.9,62.9,49.3,47.7,45.4,40.1,43.4,43.9
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",42,"Santa Catarina",39.8,40.5,53.5,40.1,55.4,40.3,38.5,40.7,36.3,40.5,36.3
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",43,"Rio Grande do Sul",38.4,66.8,61.9,58.7,48.9,32.4,26.3,37.2,37.8,45.3,40.6
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",50,"Mato Grosso do Sul",27.1,32,27.2,37.3,31.2,38,43.9,46.5,37.9,50.4,47.8
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",51,"Mato Grosso",10.1,23.1,29.9,15.9,13,14.8,39.8,38.1,28.9,40.5,31.9
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",52,"Goiás",28.1,34.3,28.5,35.1,27.6,36.9,35.1,37.7,34.6,32.6,29.3
"Infraestrutura","TX_CNT_ROD_QUALIDADE_UF","Amazônia Legal",53,"Distrito Federal",38.1,71.8,48.4,50,51.6,47.4,54.5,56.7,61.4,54.9,55.2
