"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",11,"Rondônia",853,1512,1374,1915,1514,1918,2322,2556,2450,2801,2464
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",12,"Acre",519,574,530,390,680,443,688,491,921,1413,1109
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",13,"Amazonas",1073,997,933,949,1092,1352,1977,2005,2119,3111,2596
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",14,"Roraima",461,256,211,293,374,292,422,241,247,1086,586
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",15,"Pará",6548,4945,3360,4164,3558,4371,5209,5022,5307,8923,9032
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",16,"Amapá",140,32,38,48,57,32,22,27,38,78,3
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",17,"Tocantins",105,67,94,154,89,111,106,56,46,56,23
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",21,"Maranhão",1169,712,647,582,564,418,474,530,368,544,421
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",22,"Piauí",3233,NA,3693,2580,2258,1636,1358,1149,908,887,1149
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",29,"Bahia",4595,NA,5970,2892,2051,2540,1496,1511,1344,1612,1754
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",31,"Minas Gerais",5027,NA,5553,3443,3441,2083,589,888,832,873,1096
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",35,"São Paulo",221,NA,78,63,75,36,5,5,23,9,13
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",41,"Paraná",78,NA,7,4,15,12,5,5,1,1,2
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",50,"Mato Grosso do Sul",1947,NA,1496,894,505,1148,631,539,491,566,590
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",51,"Mato Grosso",1539,2102,1569,2202,2200,2988,2760,2907,2898,3772,3505
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",52,"Goiás",5365,NA,3638,2715,2098,2152,1190,1540,1303,1167,1303
"Meio Ambiente","TX_INPE_DESMATAMENTO_UF","Amazônia Legal",53,"Distrito Federal",46,NA,22,19,33,9,5,10,14,4,8
