"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",11,"Rondônia",31.7,31.9,31.9,32.4,32.7,32.8,33.2,33.8,34.5,35.3,35.8
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",12,"Acre",9.9,10.2,10.4,10.6,10.7,10.7,10.9,11.1,11.3,11.6,12
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",13,"Amazonas",1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.4,1.5,1.5
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",14,"Roraima",2.6,2.6,2.6,2.6,2.6,2.7,2.9,3.2,3.4,3.6,3.8
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",15,"Pará",14.7,15,15.2,15.3,15.2,15.3,15.4,15.5,16,16.6,16.9
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",16,"Amapá",0.8,0.9,0.8,0.8,0.9,1.1,1.2,1.2,1.1,1.3,1.3
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",17,"Tocantins",24.8,25,25.2,25.6,26.2,26.8,27.7,28.4,29,29.6,30.8
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",21,"Maranhão",23.3,23.6,23.9,24.1,24.7,25.5,26.4,26.9,27.6,28.2,29.6
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",22,"Piauí",11,11.1,11.3,11.6,12.3,12.7,13.2,13.3,13.3,13.4,13.7
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",23,"Ceará",29,29.1,29.3,28.9,29,29.3,29.3,29.4,29.2,28.1,28.9
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",24,"Rio Grande do Norte",42.5,42.8,43.2,43.8,44.6,45.9,46.8,47.3,47.5,46.5,47
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",25,"Paraíba",42.7,42.7,43.2,43.6,43.8,44.5,44.7,45,45.9,45.4,46.1
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",26,"Pernambuco",48.2,48.3,48.5,49,49.3,49.9,50.4,50.7,50.8,50.2,50.3
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",27,"Alagoas",83.2,83.3,83.6,83.8,83.7,83.7,83.6,83.1,82,81,79.1
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",28,"Sergipe",84,84.1,84.3,84,83.9,84.2,84.1,83.7,83.1,82.2,79.9
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",29,"Bahia",42.8,43.2,43.5,43.8,44.1,44.5,44.7,44.8,44.9,44.6,44.6
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",31,"Minas Gerais",57.1,56.8,56.6,56.5,56.5,56.6,56.8,57.1,57.5,57.7,58.3
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",32,"Espírito Santo",70.8,70.3,70.1,70,70,70.1,69.8,69.8,69.7,69.6,69.6
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",33,"Rio de Janeiro",63.7,63.5,63.4,63.2,63,62.9,62.6,62.5,62.4,62.3,62.2
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",35,"São Paulo",70.2,69.9,69.6,69.2,69.1,69,68.9,68.8,68.9,68.8,69
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",41,"Paraná",65.2,64.9,64.6,64.4,64.2,64.2,63.9,63.9,63.8,63.6,63.6
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",42,"Santa Catarina",38.9,38.4,38,37.6,37.4,37.4,37.3,37.4,37.6,37.5,37.5
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",43,"Rio Grande do Sul",44.4,44.4,44.6,45.3,45.6,46.1,46.3,46.7,46.7,46.9,48.2
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",50,"Mato Grosso do Sul",56.7,56.9,56.8,56.5,56.4,55.9,55.8,55.8,55.9,55.8,56.5
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",51,"Mato Grosso",32.2,32.4,32.6,32.7,32.9,33.2,33.5,33.9,34.4,34.9,35.7
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",52,"Goiás",59.8,59.8,59.9,59.9,60,60.1,60.5,60.7,61.2,61.7,62.6
"Meio Ambiente","TX_MAPBIOMAS_SOLO_AGROPEC_UF","Amazônia Legal",53,"Distrito Federal",38,37.4,37.1,36.5,36.4,35.9,36.4,36.9,37,37.4,39.1
