"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",11,"Rondônia",38.9,35.2,56.7,50.4,43.9,55.6,66.2,72.6,68.1,64.7,66.9
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",12,"Acre",36.9,29.2,28.1,26.6,26.2,33.1,36.4,35.4,38.4,31.7,44.9
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",13,"Amazonas",15.4,18.2,15.4,13.6,14.1,15.8,19.6,30.9,21.4,21.5,35.8
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",14,"Roraima",22.4,20.6,19.2,22.6,29.7,40,43.3,62,38.5,43,110.7
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",15,"Pará",39,31.8,28.2,27.2,31.4,30.6,32.9,39,31.8,36.8,46.6
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",16,"Amapá",7.8,6.9,6,9.6,9.9,9.5,6.4,10,9.2,9.7,21.7
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",17,"Tocantins",28.8,27.8,27.9,31.9,37.6,35.6,34.3,31.2,31.8,32.7,20.7
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",21,"Maranhão",11.8,10.5,10.4,12.5,13.6,13,12.2,13.2,12.4,11.7,11.5
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",22,"Piauí",5.1,5.5,7.3,9.3,7.9,7.6,4.7,4.3,5.7,5.7,4.8
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",23,"Ceará",2.3,2.5,2.9,3.2,3.2,3.5,3.4,2.9,3.1,2.7,2.7
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",24,"Rio Grande do Norte",2.9,3.2,3.1,3.3,3.3,3.6,3.3,2.8,3,2.7,2.7
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",25,"Paraíba",2.4,2.5,2.6,2.5,2.6,3,3.1,3.2,3.5,3.1,2.9
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",26,"Pernambuco",2,2.3,2.4,2.4,2.4,2.7,2.5,2.4,2.4,2.3,2.3
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",27,"Alagoas",2.4,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.7,2.4,2.5
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",28,"Sergipe",4.1,4.1,4.3,4.2,4.4,4.3,4.1,4,3.9,3.8,3.8
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",29,"Bahia",5.4,5.1,5.7,6,5.9,5.6,5,4.8,4.8,4.7,4.2
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",31,"Minas Gerais",7.4,7.9,8.1,8.4,8.4,8.2,7.7,7.6,7.5,7.1,6.9
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",32,"Espírito Santo",6.4,7.6,8.2,8.4,8.5,8.7,8.8,8.4,8.4,7.8,7.5
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",33,"Rio de Janeiro",3.9,4.2,4.2,4.5,4.9,4.7,4.7,4.2,4.4,4.1,4.2
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",35,"São Paulo",3.5,3.9,4.1,4.2,4.1,3.9,3.7,3.5,3.6,3.3,3.3
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",41,"Paraná",6.4,6.7,6.9,7.1,7.4,7.2,7,7.3,7.2,6.6,6.6
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",42,"Santa Catarina",7,7.1,6.6,7,7.5,7.5,6.7,7.1,7.1,6.5,6.6
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",43,"Rio Grande do Sul",8.2,8.5,8.5,8.4,8.7,8.5,8.2,8.6,8.2,7.5,8.1
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",50,"Mato Grosso do Sul",30.7,30.6,28.3,29.2,28.8,28.9,28.5,28.7,27.8,28.2,25
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",51,"Mato Grosso",63.4,52,60.5,57.9,65.5,63.9,69.5,61.7,66.7,64.8,66.1
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",52,"Goiás",13.1,13.5,13.4,13.9,13.6,13.8,13,12.8,13.1,12.4,11.6
"Meio Ambiente","TX_SEEG_CO2_PER_CAPITA_UF","Amazônia Legal",53,"Distrito Federal",2.3,2.6,2.8,2.9,2.9,3.1,3.1,2.7,2.6,2.4,2.3
