"","COD","NOME","TERRITORIO","AREA","PCT"
"261",1200013,"Acrelândia","Arco do Desmatamento",29627.64,16.39
"262",1200013,"Acrelândia","Cidades",0,0
"263",1200013,"Acrelândia","Outros",0,0
"264",1200013,"Acrelândia","Região Antropizada",142634.42,78.9
"265",1200013,"Acrelândia","Região Conservada",8523.42,4.71
"266",1200054,"Assis Brasil","Arco do Desmatamento",26931.59,5.41
"267",1200054,"Assis Brasil","Cidades",0,0
"268",1200054,"Assis Brasil","Outros",0,0
"269",1200054,"Assis Brasil","Região Antropizada",16952.6,3.41
"270",1200054,"Assis Brasil","Região Conservada",453500.2,91.18
"271",1200104,"Brasiléia","Arco do Desmatamento",95677.46,24.43
"272",1200104,"Brasiléia","Cidades",0,0
"273",1200104,"Brasiléia","Outros",0,0
"274",1200104,"Brasiléia","Região Antropizada",124690.31,31.84
"275",1200104,"Brasiléia","Região Conservada",171291.01,43.73
"276",1200138,"Bujari","Arco do Desmatamento",99786.59,32.88
"277",1200138,"Bujari","Cidades",0,0
"278",1200138,"Bujari","Outros",0,0
"279",1200138,"Bujari","Região Antropizada",119296.45,39.31
"280",1200138,"Bujari","Região Conservada",84403.1,27.81
"281",1200179,"Capixaba","Arco do Desmatamento",60250.85,35.4
"282",1200179,"Capixaba","Cidades",0,0
"283",1200179,"Capixaba","Outros",0,0
"284",1200179,"Capixaba","Região Antropizada",88311.68,51.88
"285",1200179,"Capixaba","Região Conservada",21649.13,12.72
"286",1200203,"Cruzeiro do Sul","Arco do Desmatamento",133356.53,15.19
"287",1200203,"Cruzeiro do Sul","Cidades",0,0
"288",1200203,"Cruzeiro do Sul","Outros",0,0
"289",1200203,"Cruzeiro do Sul","Região Antropizada",21534.41,2.45
"290",1200203,"Cruzeiro do Sul","Região Conservada",723059.31,82.36
"291",1200252,"Epitaciolândia","Arco do Desmatamento",42313.61,25.57
"292",1200252,"Epitaciolândia","Cidades",0,0
"293",1200252,"Epitaciolândia","Outros",0,0
"294",1200252,"Epitaciolândia","Região Antropizada",90393.83,54.63
"295",1200252,"Epitaciolândia","Região Conservada",32766.89,19.8
"296",1200302,"Feijó","Arco do Desmatamento",155691.18,5.57
"297",1200302,"Feijó","Cidades",0,0
"298",1200302,"Feijó","Outros",0,0
"299",1200302,"Feijó","Região Antropizada",9873.3,0.35
"300",1200302,"Feijó","Região Conservada",2631890.07,94.08
"301",1200328,"Jordão","Arco do Desmatamento",9847.87,1.84
"302",1200328,"Jordão","Cidades",0,0
"303",1200328,"Jordão","Outros",0,0
"304",1200328,"Jordão","Região Antropizada",0,0
"305",1200328,"Jordão","Região Conservada",525875.79,98.16
"306",1200336,"Mâncio Lima","Arco do Desmatamento",26946.75,4.94
"307",1200336,"Mâncio Lima","Cidades",0,0
"308",1200336,"Mâncio Lima","Outros",0,0
"309",1200336,"Mâncio Lima","Região Antropizada",10319.43,1.89
"310",1200336,"Mâncio Lima","Região Conservada",507849.75,93.16
"311",1200344,"Manoel Urbano","Arco do Desmatamento",83592.65,7.86
"312",1200344,"Manoel Urbano","Cidades",0,0
"313",1200344,"Manoel Urbano","Outros",0,0
"314",1200344,"Manoel Urbano","Região Antropizada",0,0
"315",1200344,"Manoel Urbano","Região Conservada",979715.95,92.14
"316",1200351,"Marechal Thaumaturgo","Arco do Desmatamento",19734.87,2.41
"317",1200351,"Marechal Thaumaturgo","Cidades",0,0
"318",1200351,"Marechal Thaumaturgo","Outros",0,0
