"","COD","NOME","TERRITORIO","AREA","PCT"
"25916",5100102,"Acorizal","Arco do Desmatamento",66456.21,78.24
"25917",5100102,"Acorizal","Cidades",0,0
"25918",5100102,"Acorizal","Outros",0,0
"25919",5100102,"Acorizal","Região Antropizada",18478.6,21.76
"25920",5100102,"Acorizal","Região Conservada",0,0
"25921",5100201,"Água Boa","Arco do Desmatamento",197272.2,26.27
"25922",5100201,"Água Boa","Cidades",0,0
"25923",5100201,"Água Boa","Outros",0,0
"25924",5100201,"Água Boa","Região Antropizada",549172.12,73.12
"25925",5100201,"Água Boa","Região Conservada",4625.51,0.62
"25926",5100250,"Alta Floresta","Arco do Desmatamento",280975.34,31.38
"25927",5100250,"Alta Floresta","Cidades",0,0
"25928",5100250,"Alta Floresta","Outros",0,0
"25929",5100250,"Alta Floresta","Região Antropizada",493661.74,55.14
"25930",5100250,"Alta Floresta","Região Conservada",120693.84,13.48
"25931",5100300,"Alto Araguaia","Arco do Desmatamento",175807.37,32.56
"25932",5100300,"Alto Araguaia","Cidades",0,0
"25933",5100300,"Alto Araguaia","Outros",0,0
"25934",5100300,"Alto Araguaia","Região Antropizada",354594.84,65.68
"25935",5100300,"Alto Araguaia","Região Conservada",9509.38,1.76
"25936",5100359,"Alto Boa Vista","Arco do Desmatamento",109160.67,48.72
"25937",5100359,"Alto Boa Vista","Cidades",0,0
"25938",5100359,"Alto Boa Vista","Outros",0,0
"25939",5100359,"Alto Boa Vista","Região Antropizada",93539.97,41.75
"25940",5100359,"Alto Boa Vista","Região Conservada",21345.9,9.53
"25941",5100409,"Alto Garças","Arco do Desmatamento",105393.08,27.25
"25942",5100409,"Alto Garças","Cidades",0,0
"25943",5100409,"Alto Garças","Outros",0,0
"25944",5100409,"Alto Garças","Região Antropizada",281305.99,72.75
"25945",5100409,"Alto Garças","Região Conservada",0,0
"25946",5100508,"Alto Paraguai","Arco do Desmatamento",123629.73,66.97
"25947",5100508,"Alto Paraguai","Cidades",0,0
"25948",5100508,"Alto Paraguai","Outros",0,0
"25949",5100508,"Alto Paraguai","Região Antropizada",33653.52,18.23
"25950",5100508,"Alto Paraguai","Região Conservada",27329.39,14.8
"25951",5100607,"Alto Taquari","Arco do Desmatamento",12500.83,8.68
"25952",5100607,"Alto Taquari","Cidades",0,0
"25953",5100607,"Alto Taquari","Outros",0,0
"25954",5100607,"Alto Taquari","Região Antropizada",131540.72,91.32
"25955",5100607,"Alto Taquari","Região Conservada",0,0
"25956",5100805,"Apiacás","Arco do Desmatamento",293461.54,14.32
"25957",5100805,"Apiacás","Cidades",0,0
"25958",5100805,"Apiacás","Outros",0,0
"25959",5100805,"Apiacás","Região Antropizada",102575.34,5.01
"25960",5100805,"Apiacás","Região Conservada",1652806.5,80.67
"25961",5101001,"Araguaiana","Arco do Desmatamento",210238.57,32.73
