"","COD","NOME","TERRITORIO","AREA","PCT"
"756",1500107,"Abaetetuba","Arco do Desmatamento",18535.34,11.51
"757",1500107,"Abaetetuba","Cidades",0,0
"758",1500107,"Abaetetuba","Outros",74459.57,46.24
"759",1500107,"Abaetetuba","Região Antropizada",0,0
"760",1500107,"Abaetetuba","Região Conservada",68047.82,42.25
"761",1500131,"Abel Figueiredo","Arco do Desmatamento",5333.5,8.68
"762",1500131,"Abel Figueiredo","Cidades",0,0
"763",1500131,"Abel Figueiredo","Outros",0,0
"764",1500131,"Abel Figueiredo","Região Antropizada",56084.28,91.32
"765",1500131,"Abel Figueiredo","Região Conservada",0,0
"766",1500206,"Acará","Arco do Desmatamento",216635.14,49.87
"767",1500206,"Acará","Cidades",0,0
"768",1500206,"Acará","Outros",3653.45,0.84
"769",1500206,"Acará","Região Antropizada",0,0
"770",1500206,"Acará","Região Conservada",214084.1,49.29
"771",1500305,"Afuá","Arco do Desmatamento",0,0
"772",1500305,"Afuá","Cidades",0,0
"773",1500305,"Afuá","Outros",471587.85,56.32
"774",1500305,"Afuá","Região Antropizada",0,0
"775",1500305,"Afuá","Região Conservada",365697.37,43.68
"776",1500347,"Água Azul do Norte","Arco do Desmatamento",94534.72,13.29
"777",1500347,"Água Azul do Norte","Cidades",0,0
"778",1500347,"Água Azul do Norte","Outros",0,0
"779",1500347,"Água Azul do Norte","Região Antropizada",480392.27,67.53
"780",1500347,"Água Azul do Norte","Região Conservada",136471.66,19.18
"781",1500404,"Alenquer","Arco do Desmatamento",192293.97,8.13
"782",1500404,"Alenquer","Cidades",0,0
"783",1500404,"Alenquer","Outros",113251.97,4.79
"784",1500404,"Alenquer","Região Antropizada",147667.3,6.25
"785",1500404,"Alenquer","Região Conservada",1911176.54,80.83
"786",1500503,"Almeirim","Arco do Desmatamento",170204.16,2.33
"787",1500503,"Almeirim","Cidades",0,0
"788",1500503,"Almeirim","Outros",175301.71,2.4
"789",1500503,"Almeirim","Região Antropizada",19931.76,0.27
"790",1500503,"Almeirim","Região Conservada",6930031.45,94.99
"791",1500602,"Altamira","Arco do Desmatamento",1053826.58,6.61
"792",1500602,"Altamira","Cidades",0,0
"793",1500602,"Altamira","Outros",149274.73,0.94
"794",1500602,"Altamira","Região Antropizada",487764.37,3.06
"795",1500602,"Altamira","Região Conservada",14262456.56,89.4
"796",1500701,"Anajás","Arco do Desmatamento",0,0
"797",1500701,"Anajás","Cidades",0,0
"798",1500701,"Anajás","Outros",0,0
"799",1500701,"Anajás","Região Antropizada",0,0
"800",1500701,"Anajás","Região Conservada",691296.5,100
"801",1500800,"Ananindeua","Arco do Desmatamento",0,0
"802",1500800,"Ananindeua","Cidades",7895.21,41.45
"803",1500800,"Ananindeua","Outros",5479.09,28.76
"804",1500800,"Ananindeua","Região Antropizada",0,0
"805",1500800,"Ananindeua","Região Conservada",5673.5,29.79
"806",1500859,"Anapu","Arco do Desmatamento",356236.97,29.95
"807",1500859,"Anapu","Cidades",0,0
"808",1500859,"Anapu","Outros",3617.31,0.3
"809",1500859,"Anapu","Região Antropizada",185360.85,15.58
"810",1500859,"Anapu","Região Conservada",644316.67,54.17
"811",1500909,"Augusto Corrêa","Arco do Desmatamento",73017.04,66.9
"812",1500909,"Augusto Corrêa","Cidades",0,0
"813",1500909,"Augusto Corrêa","Outros",767.47,0.7
"814",1500909,"Augusto Corrêa","Região Antropizada",367.69,0.34
"815",1500909,"Augusto Corrêa","Região Conservada",34998.04,32.06
"816",1500958,"Aurora do Pará","Arco do Desmatamento",68465.52,37.79
"817",1500958,"Aurora do Pará","Cidades",0,0
"818",1500958,"Aurora do Pará","Outros",0,0
"819",1500958,"Aurora do Pará","Região Antropizada",112715.59,62.21
"820",1500958,"Aurora do Pará","Região Conservada",6.52,0
"821",1501006,"Aveiro","Arco do Desmatamento",107872.02,6.32
"822",1501006,"Aveiro","Cidades",0,0
"823",1501006,"Aveiro","Outros",127878.69,7.49
"824",1501006,"Aveiro","Região Antropizada",0,0
"825",1501006,"Aveiro","Região Conservada",1471715.44,86.19
"826",1501105,"Bagre","Arco do Desmatamento",0,0
"827",1501105,"Bagre","Cidades",0,0
"828",1501105,"Bagre","Outros",38933.49,8.85
"829",1501105,"Bagre","Região Antropizada",0,0
"830",1501105,"Bagre","Região Conservada",400800.39,91.15
"831",1501204,"Baião","Arco do Desmatamento",187138.17,49.79
"832",1501204,"Baião","Cidades",0,0
"833",1501204,"Baião","Outros",46669.97,12.42
"834",1501204,"Baião","Região Antropizada",17447.42,4.64
"835",1501204,"Baião","Região Conservada",124579.51,33.15
"836",1501253,"Bannach","Arco do Desmatamento",17225.8,5.83
"837",1501253,"Bannach","Cidades",0,0
"838",1501253,"Bannach","Outros",0,0
"839",1501253,"Bannach","Região Antropizada",269280.25,91.08
"840",1501253,"Bannach","Região Conservada",9157.95,3.1
"841",1501303,"Barcarena","Arco do Desmatamento",10289.84,7.85
"842",1501303,"Barcarena","Cidades",0,0
"843",1501303,"Barcarena","Outros",77682.7,59.27
"844",1501303,"Barcarena","Região Antropizada",0,0
"845",1501303,"Barcarena","Região Conservada",43083.03,32.87
"846",1501402,"Belém","Arco do Desmatamento",0,0
"847",1501402,"Belém","Cidades",16805.65,15.86
"848",1501402,"Belém","Outros",78868.86,74.44
"849",1501402,"Belém","Região Antropizada",0,0
"850",1501402,"Belém","Região Conservada",10268.91,9.69
"851",1501451,"Belterra","Arco do Desmatamento",103634.22,23.56
"852",1501451,"Belterra","Cidades",0,0
"853",1501451,"Belterra","Outros",80746.37,18.36
"854",1501451,"Belterra","Região Antropizada",18712.71,4.25
"855",1501451,"Belterra","Região Conservada",236768.79,53.83
"856",1501501,"Benevides","Arco do Desmatamento",11752.68,62.57
"857",1501501,"Benevides","Cidades",394.59,2.1
"858",1501501,"Benevides","Outros",3113.3,16.57
"859",1501501,"Benevides","Região Antropizada",317.2,1.69
"860",1501501,"Benevides","Região Conservada",3205.63,17.07
"861",1501576,"Bom Jesus do Tocantins","Arco do Desmatamento",47532.68,16.88
"862",1501576,"Bom Jesus do Tocantins","Cidades",0,0
"863",1501576,"Bom Jesus do Tocantins","Outros",11736.3,4.17
"864",1501576,"Bom Jesus do Tocantins","Região Antropizada",175909.5,62.46
"865",1501576,"Bom Jesus do Tocantins","Região Conservada",46475.77,16.5
"866",1501600,"Bonito","Arco do Desmatamento",39950.69,68.09
"867",1501600,"Bonito","Cidades",0,0
"868",1501600,"Bonito","Outros",0,0
"869",1501600,"Bonito","Região Antropizada",18719.57,31.91
"870",1501600,"Bonito","Região Conservada",0,0
"871",1501709,"Bragança","Arco do Desmatamento",115981.33,55.44
"872",1501709,"Bragança","Cidades",0,0
"873",1501709,"Bragança","Outros",3403.8,1.63
"874",1501709,"Bragança","Região Antropizada",65424.34,31.28
"875",1501709,"Bragança","Região Conservada",24377.85,11.65
"876",1501725,"Brasil Novo","Arco do Desmatamento",234488.79,36.85
"877",1501725,"Brasil Novo","Cidades",0,0
"878",1501725,"Brasil Novo","Outros",6907.47,1.09
"879",1501725,"Brasil Novo","Região Antropizada",192539.07,30.26
"880",1501725,"Brasil Novo","Região Conservada",202324.15,31.8
"881",1501758,"Brejo Grande do Araguaia","Arco do Desmatamento",8248.13,6.4
