"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100023,"Ariquemes",NA,NA,NA,NA,NA,NA,1.1,2,1.7,2,2.1
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100031,"Cabixi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100049,"Cacoal",42.9,45.8,46.2,46.6,43.7,43.9,44.1,45.2,47,50.7,51.2
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100056,"Cerejeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100064,"Colorado do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100072,"Corumbiara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100080,"Costa Marques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100098,"Espigão D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100106,"Guajará-Mirim",11,5.7,5.6,4.3,4.7,5.3,5.1,7.8,7.4,7.9,8
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100114,"Jaru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100122,"Ji-Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100130,"Machadinho D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100155,"Ouro Preto do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100189,"Pimenta Bueno",NA,NA,NA,NA,NA,NA,NA,NA,5.8,6,6
"Saneamento","TX_SNIS_ESGOTO_MUN","Rondônia",1100205,"Porto Velho",2,1.5,2.7,2.2,2.7,2,3.7,3.4,4.6,4.8,4.7
