"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",51.4,51.5,46,61.4,64.4,63,61.7,67.2,67.2,72.3,70.8
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100023,"Ariquemes",51.7,54.7,54.3,61.1,55.8,55.5,65.5,72.6,79.6,72.7,73.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100031,"Cabixi",40,45.8,50,51.6,52.7,58.7,70.9,65.8,71.6,79.3,90
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100049,"Cacoal",56.6,59,64.1,68.4,68.8,65.3,71.4,74.6,79,78.4,77.7
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100056,"Cerejeiras",43.8,71.2,60.6,60,58.3,61.6,71.5,76.8,74.4,81.8,79.3
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100064,"Colorado do Oeste",53.5,70.6,65.4,67.3,73.8,76.9,78.5,81.2,83.1,78.7,78
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100072,"Corumbiara",46.7,73.3,55.1,44.8,37.9,46.4,75.7,69.1,79.3,83.7,87.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100080,"Costa Marques",54.4,58.2,53.7,61.5,64.5,64,65.3,62.4,76.4,78,79.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100098,"Espigão D'Oeste",46.5,50.3,59.9,60.3,56.6,61.5,69.7,63.6,69,63.9,67.8
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100106,"Guajará-Mirim",1.5,1.2,1.5,14.5,38.7,38,37.3,35.3,34.2,33.3,38.2
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100114,"Jaru",38.3,36.1,40.4,59.8,59.3,63.6,70.4,73.9,78.8,85.8,85.6
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100122,"Ji-Paraná",29.9,41.4,50.4,52.2,54.6,56.3,66.4,69.7,72.7,75.7,79.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100130,"Machadinho D'Oeste",46.5,40.7,51,61.4,63.2,63.3,71.5,72.9,75.3,73.5,73.2
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",28,27.7,52.2,52.8,56.8,64.2,62.1,60.5,65.2,69.7,78.9
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100155,"Ouro Preto do Oeste",53.2,64,68.3,63.7,67,68.1,73.7,73,74,71.5,78.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100189,"Pimenta Bueno",56.5,58.4,61.8,69.8,70.7,68.8,70.9,70.2,75.6,77.6,76.9
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100205,"Porto Velho",40.8,45.9,43.1,47.4,45.6,34.6,49,51.1,53.8,54.4,54.6
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100254,"Presidente Médici",45.1,48.1,59.5,58.4,64.7,67.5,69.5,68.8,75.8,70.4,78.3
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100262,"Rio Crespo",59.6,56.4,45,53.7,57.9,61.1,75,80,79.6,69.6,70
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100288,"Rolim de Moura",30.2,29,56.1,62.7,65.4,60.8,66.3,68.2,64.5,71.4,75.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",37.4,44.1,51.9,77.1,69.4,68.9,67,78.9,69.6,79.6,83.8
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100304,"Vilhena",91.6,92.3,79.3,71.3,64.7,65.9,74.7,72,73.2,77,80.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100320,"São Miguel do Guaporé",46.1,46.8,69.8,67.1,68.5,69.2,63.3,72.1,76.6,78,78.2
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100338,"Nova Mamoré",20.1,31.7,26.9,31.3,33.7,40.7,48,54.3,53.2,54.1,57.2
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100346,"Alvorada D'Oeste",26.6,28.4,52.5,46,45,53.3,49,64.5,64,82.1,75.1
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",38.1,26,58.8,77.2,74.8,59.9,81.9,78,77.3,79.4,81.8
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100403,"Alto Paraíso",46.2,55.3,49.3,56.7,64.9,61.4,68.8,79.1,87.6,69.9,77
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100452,"Buritis",63.3,72.6,77.5,68.3,70.9,65,69.1,68.8,65.7,75.9,82.2
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",35.7,24.2,60,68.8,78.7,72,73.4,74.7,67,81.1,78.6
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100601,"Cacaulândia",51.8,61.4,60.3,72.1,57.1,69,70.8,76.1,78.9,76.2,76
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100700,"Campo Novo de Rondônia",54.9,60.1,73.9,65.2,70.5,65.7,61.5,63.6,73,72.8,74.7
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100809,"Candeias do Jamari",37.2,42.7,48.2,47.2,53.1,43.6,57,51.6,55.2,59.1,62.3
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100908,"Castanheiras",29.4,30.2,37.3,58.5,30.6,71.7,65.4,76.4,64.1,75,75
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100924,"Chupinguaia",73.6,90.2,58.8,43.2,50,57,68.2,62.7,69.8,68.5,68.5
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1100940,"Cujubim",47.8,41.9,51.6,47.8,45.8,48.3,59.9,65.6,65.6,72.9,71.7
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101005,"Governador Jorge Teixeira",27.2,29.1,24.6,59.4,62.9,66.9,79.5,84.8,89.9,85.7,82.1
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101104,"Itapuã do Oeste",49.6,57.9,51.1,61.4,60.2,68,63.4,62,82.1,76.1,81.7
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101203,"Ministro Andreazza",69.3,64.3,75,78,73.1,86,84.9,88.2,79,78.3,69
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101302,"Mirante da Serra",66,73.8,61.7,62.8,64.8,67.9,73.7,79.7,82.7,82.5,81.7
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101401,"Monte Negro",48.3,57.2,58.4,68.2,64.1,68.6,69.6,81.5,82.5,76.8,67.3
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101435,"Nova União",43.9,71.2,80,84.8,75.6,74.5,60.3,62.2,71.3,87.4,82.7
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101450,"Parecis",40,39.4,54.4,60.3,60,67.3,85.2,88,72.5,81.1,61.4
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101468,"Pimenteiras do Oeste",33.3,62.2,45.9,45.1,52.4,56.8,51.9,64.7,63.5,61.5,72.5
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101476,"Primavera de Rondônia",54,50,45.7,53.5,66.7,70.2,62.5,78.6,84.1,84.2,83.7
"Saúde","TX_DATASUS_PRE_NATAL_MUN","Rondônia",1101484,"São Felipe D'Oeste",62.2,62.7,76.4,79.7,77,64.4,79.5,72.2,78.7,83.3,77.8
