"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",16.4,28.7,12.4,29.1,15.5,42.9,35.2,3.9,15.7,30.2,34.9
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100023,"Ariquemes",95.9,47.6,62.2,80.9,62.2,50.6,47.9,57.6,43.8,38.6,35.2
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100031,"Cabixi",14.9,0,0,0,0,0,0,15.9,80.3,0,0
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100049,"Cacoal",20.3,25.5,16.5,17.6,17.5,17.3,27.5,26.2,12.4,20,24.6
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100056,"Cerejeiras",12,52.9,17.7,35.6,16.6,16.7,11.1,33.4,27.9,12.2,18.4
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100064,"Colorado do Oeste",5.6,10.8,10.9,5.5,0,15.8,10.6,10.7,16.2,12.3,18.9
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100072,"Corumbiara",0,0,46.2,11.7,22.1,11.2,22.6,45.7,0,39.6,13.5
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100080,"Costa Marques",0,43.9,7.1,0,6.3,30.8,18,29.4,17.2,11.2,16.4
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100098,"Espigão D'Oeste",13.8,7,13.8,3.4,9.5,21.8,18.5,24.5,21.2,12.5,21.6
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100106,"Guajará-Mirim",2.5,26.4,19.1,23.7,15.3,26,12.9,29.8,12.6,21.8,23.8
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100114,"Jaru",24.1,19.2,23.1,23.2,34.2,52.1,28.7,43,26.8,28.9,19.3
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100122,"Ji-Paraná",40.5,3.4,5.1,6.8,14.1,23.2,22.2,33.4,33.2,20.3,19.4
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100130,"Machadinho D'Oeste",72.4,54.6,47.2,40.1,39.3,57.7,53.8,50.1,31.1,23,15
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",11.3,15.1,20.1,40.2,9.3,41.8,23.2,50.8,13.8,29.3,39.1
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100155,"Ouro Preto do Oeste",24.5,39.5,13.3,37.4,10,30,7.5,22.6,7.5,19.3,16.7
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100189,"Pimenta Bueno",29.4,23.7,20.6,20.5,16.2,26.9,29.3,37.1,21,16.5,24.5
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100205,"Porto Velho",41.8,47.4,38.3,41.6,37.7,36,41.4,44,35.4,31.8,27.4
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100254,"Presidente Médici",8.9,4.5,22.7,4.6,4.3,30.7,4.4,9,9,15.5,10.5
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100262,"Rio Crespo",30.4,150.8,59.8,59.3,27.3,0,26.7,0,0,26.9,0
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100288,"Rolim de Moura",15.8,17.8,7.9,19.6,19.9,35.8,14.2,22.9,22.8,16.5,20
"Segurança","TX_DATASUS_HOMICIDIO_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",0,0,0,11.8,11.3,11.5,0,0,36.6,0,30.8
