"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",11,"Rondônia",34.7,40,38.3,42.2,31.9,31.5,28.9,27.4,27.3,23,22.5
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",12,"Acre",17.8,19.1,22.1,22.3,17.4,17.7,14.8,15.3,14.5,11.5,13.7
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",13,"Amazonas",12.6,14.7,15.8,14.4,13.9,13.4,12.3,11.8,10.8,11.9,11.4
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",14,"Roraima",30.4,33.6,29.8,31.7,31.8,29.6,32.4,21.2,26.4,16.3,20.1
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",15,"Pará",14.6,19.2,19.1,21.8,21.9,22.2,21.6,20.8,19.2,17.7,16.4
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",16,"Amapá",18.5,21.1,22.2,18.3,18.6,17.3,12.4,12.5,12,8.1,10.2
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",17,"Tocantins",36,39.1,37.7,37.1,34.6,39.3,36,36.4,37.2,30.5,29.5
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",21,"Maranhão",18.9,21.4,23.3,26.7,24.4,26.9,24,24.6,20.9,19.8,18.6
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",22,"Piauí",25.8,31.2,32.2,36.2,34.5,37.9,35.3,32.8,31.1,29.6,26.9
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",23,"Ceará",18.9,26.1,26.4,29.1,28,30,26.1,23,22.4,21.2,18.2
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",24,"Rio Grande do Norte",16.2,20.6,19,18.9,18.5,17.4,17.4,17.6,16.3,15.4,13.5
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",25,"Paraíba",21.5,22.5,21.7,25.9,26,24.6,25.7,25.5,22.8,21.7,19.4
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",26,"Pernambuco",20.3,22.7,23.1,23,20.4,21,20.4,20.1,18,16.6,15.6
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",27,"Alagoas",20.9,24.9,26.5,26.4,23.6,25.1,22,21.7,18.6,17.9,18.5
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",28,"Sergipe",25.4,30,27.3,29.8,30.2,23.8,25.2,21,18.1,17.5,17.4
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",29,"Bahia",13,18.4,19.4,21.2,18.9,19,15.8,16.3,15.6,14.8,16.6
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",31,"Minas Gerais",19.8,22,23.8,22.7,21,21.2,18.9,17.3,17.6,15.7,15.1
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",32,"Espírito Santo",27.4,31.8,32,32.5,27.8,25.5,21.7,21.1,23,19.6,19.3
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",33,"Rio de Janeiro",14.9,18.2,17.3,18.9,16.5,17.7,13.4,13.7,12.9,12.2,9
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",35,"São Paulo",17.7,18.5,18.9,18,16.1,16.9,14.1,13.1,12.1,10.4,11.3
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",41,"Paraná",29.3,32.5,32.5,34.4,28.7,27.7,24.5,24.5,22.6,21.7,21.3
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",42,"Santa Catarina",30.6,30.4,32.1,30.7,25.9,28,23.4,22.1,21.7,19.7,20.2
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",43,"Rio Grande do Sul",19.1,21.2,20.2,20,19,18.8,16.2,16.1,16.7,15.6,14.9
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",50,"Mato Grosso do Sul",29.7,32,34.1,32.4,31,31.7,24.9,23.8,21.7,20.8,22.6
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",51,"Mato Grosso",36,37.3,35,37.4,37.3,36.4,32.9,32.1,30.6,30.9,28.1
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",52,"Goiás",29.9,33.7,31.8,33.8,31.4,33.2,28.6,26.7,24.4,22.3,21.1
"Segurança","TX_DATASUS_TRANSITO_UF","Amazônia Legal",53,"Distrito Federal",20.1,21.4,21.3,21.3,18.9,18.3,16,14.6,11.2,12,11.2
