AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100015,Alta Floresta D'Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100023,Ariquemes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100031,Cabixi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100049,Cacoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100056,Cerejeiras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100064,Colorado do Oeste,67.3,21.5,10.9,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100072,Corumbiara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100080,Costa Marques,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100098,Espigão D'Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100106,Guajará-Mirim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100114,Jaru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100122,Ji-Paraná,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100130,Machadinho D'Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100155,Ouro Preto do Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100189,Pimenta Bueno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100205,Porto Velho,30.6,23.6,36.3,41.8,40.4,43.7,45.4,43,47.4,44.8,41.7
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100254,Presidente Médici,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100262,Rio Crespo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100288,Rolim de Moura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100296,Santa Luzia D'Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100304,Vilhena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100320,São Miguel do Guaporé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100338,Nova Mamoré,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100346,Alvorada D'Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100379,Alto Alegre dos Parecis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100403,Alto Paraíso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100452,Buritis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100502,Novo Horizonte do Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100601,Cacaulândia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100700,Campo Novo de Rondônia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100809,Candeias do Jamari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100908,Castanheiras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100924,Chupinguaia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1100940,Cujubim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101005,Governador Jorge Teixeira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101104,Itapuã do Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101203,Ministro Andreazza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101302,Mirante da Serra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101401,Monte Negro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101435,Nova União,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101450,Parecis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101468,Pimenteiras do Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101476,Primavera de Rondônia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101484,São Felipe D'Oeste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101492,São Francisco do Guaporé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101500,Seringueiras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101559,Teixeirópolis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101609,Theobroma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101708,Urupá,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101757,Vale do Anari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Rondônia,1101807,Vale do Paraíso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200013,Acrelândia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200054,Assis Brasil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200104,Brasiléia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200138,Bujari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200179,Capixaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200203,Cruzeiro do Sul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200252,Epitaciolândia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200302,Feijó,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200328,Jordão,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200336,Mâncio Lima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200344,Manoel Urbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200351,Marechal Thaumaturgo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200385,Plácido de Castro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200393,Porto Walter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200401,Rio Branco,47.1,55.4,64,60.3,58.5,65.7,55.1,58.9,51.9,47.4,48.9
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200427,Rodrigues Alves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200435,Santa Rosa do Purus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200450,Senador Guiomard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200500,Sena Madureira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200609,Tarauacá,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200708,Xapuri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Acre,1200807,Porto Acre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Amazonas,1300029,Alvarães,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Amazonas,1300060,Amaturá,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Amazonas,1300086,Anamã,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciência e Tecnologia,TX_CAPES_TITULADOS_MUN,Amazonas,1300102,Anori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
