AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,11,Rondônia,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.7
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,12,Acre,0.8,0.9,0.8,0.9,1,0.9,0.9,1,0.9,0.9,1
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,13,Amazonas,1,1.1,1,1.1,1.1,1,1.1,1.1,1.1,1.1,1.1
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,14,Roraima,0.9,0.9,0.9,0.8,0.8,0.9,1,0.9,0.9,1,0.6
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,15,Pará,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,16,Amapá,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,17,Tocantins,0.7,0.7,0.8,0.8,0.9,1.5,0.9,0.9,0.9,0.9,1
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,21,Maranhão,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.5,0.5
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,22,Piauí,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,23,Ceará,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,24,Rio Grande do Norte,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.8
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,25,Paraíba,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,26,Pernambuco,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1,1
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,27,Alagoas,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,28,Sergipe,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0.9,0.9,0.9
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,29,Bahia,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,31,Minas Gerais,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,32,Espírito Santo,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,33,Rio de Janeiro,1.9,1.9,1.9,2,2,2.1,2,2,2,1.9,2
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,35,São Paulo,1.8,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.2
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,41,Paraná,1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,42,Santa Catarina,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.4
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,43,Rio Grande do Sul,0.9,0.9,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,50,Mato Grosso do Sul,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,51,Mato Grosso,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,52,Goiás,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9
Ciência e Tecnologia,TX_RAIS_OCUPADOS_TEC_UF,Amazônia Legal,53,Distrito Federal,1.9,1.8,1.7,2,2,2.5,2.1,2.2,2.4,2.3,2.4
