AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2012,2013,2014,2015,2016,2017,2018,2019
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,11,Rondônia,6.9,6.9,7,7.1,7.2,7.3,7.4,7.4
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,12,Acre,4.7,4.8,4.9,5,5,5.1,5.2,5.3
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,13,Amazonas,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.6
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,14,Roraima,1.9,1.9,2,2,2.1,2.2,2.3,2.4
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,15,Pará,6.3,6.4,6.5,6.6,6.6,6.7,6.8,6.9
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,16,Amapá,5.1,5.2,5.3,5.4,5.5,5.6,5.8,5.9
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,17,Tocantins,5.2,5.2,5.3,5.4,5.4,5.5,5.6,5.6
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,21,Maranhão,20.4,20.5,20.6,20.7,20.9,21,21.1,21.2
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,22,Piauí,12.8,12.8,12.8,12.9,12.9,12.9,13,13
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,23,Ceará,58.7,59,59.4,59.8,60.2,60.5,60.9,61.3
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,24,Rio Grande do Norte,62.5,63.1,63.7,64.3,64.8,65.3,65.9,66.4
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,25,Paraíba,68.3,68.5,68.9,69.3,69.6,70,70.4,70.8
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,26,Pernambuco,92.4,93.1,93.7,94.4,95,95.5,96.2,96.8
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,27,Alagoas,116.1,116.7,117.2,117.8,118.3,118.8,119.4,119.9
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,28,Sergipe,98.2,99.2,100.1,101.1,102.1,103,103.9,104.9
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,29,Bahia,25.5,25.6,25.8,25.9,26,26.1,26.2,26.3
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,31,Minas Gerais,34.5,34.7,34.9,35.2,35.4,35.6,35.9,36.1
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,32,Espírito Santo,80,81,82,83.1,84.1,85.1,86.1,87.1
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,33,Rio de Janeiro,377.1,379.5,382,384.7,387.1,389.5,391.9,394.3
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,35,São Paulo,173.7,175.4,177,178.7,180.3,181.9,183.5,185
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,41,Paraná,54.2,54.7,55.1,55.6,56,56.4,56.9,57.3
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,42,Santa Catarina,68.1,69.1,70,71,71.9,72.9,73.8,74.7
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,43,Rio Grande do Sul,40.9,41.1,41.3,41.5,41.7,41.9,42.1,42.3
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,50,Mato Grosso do Sul,7,7.1,7.2,7.2,7.3,7.4,7.5,7.6
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,51,Mato Grosso,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,52,Goiás,18.6,18.9,19.2,19.5,19.8,20.1,20.4,20.6
Demografia,TX_IBGE_DENSIDADE_DEMOG_UF,Amazônia Legal,53,Distrito Federal,470.3,477.5,484.8,492.2,499.4,506.4,513.5,520.5
