AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2012,2013,2014,2015,2016,2017,2018,2019
Demografia,TX_PNAD_POP_UF,Amazônia Legal,11,Rondônia,1628074,1647705,1667748,1688138,1707684,1727248,1747154,1766689
Demografia,TX_PNAD_POP_UF,Amazônia Legal,12,Acre,777461,790155,803127,816230,828436,840491,853023,865422
Demografia,TX_PNAD_POP_UF,Amazônia Legal,13,Amazonas,3540643,3605007,3670689,3736140,3798072,3859229,3921508,3983005
Demografia,TX_PNAD_POP_UF,Amazônia Legal,14,Roraima,426804,436505,446318,456542,467919,486747,513466,539741
Demografia,TX_PNAD_POP_UF,Amazônia Legal,15,Pará,7920522,8014493,8109173,8204007,8293480,8381474,8472029,8561098
Demografia,TX_PNAD_POP_UF,Amazônia Legal,16,Amapá,721361,737941,755067,772106,788892,805344,821545,837575
Demografia,TX_PNAD_POP_UF,Amazônia Legal,17,Tocantins,1437474,1455039,1472751,1490782,1507623,1524403,1542150,1559657
Demografia,TX_PNAD_POP_UF,Amazônia Legal,21,Maranhão,6765940,6803063,6841945,6882640,6921259,6960070,7000726,7040610
Demografia,TX_PNAD_POP_UF,Amazônia Legal,22,Piauí,3212635,3220646,3228556,3237691,3246228,3254626,3263754,3272447
Demografia,TX_PNAD_POP_UF,Amazônia Legal,23,Ceará,8734806,8789334,8843725,8901925,8959457,9015354,9072980,9129378
Demografia,TX_PNAD_POP_UF,Amazônia Legal,24,Rio Grande do Norte,3302720,3332952,3363084,3393814,3422843,3450669,3479010,3506853
Demografia,TX_PNAD_POP_UF,Amazônia Legal,25,Paraíba,3855184,3870182,3889589,3911887,3932871,3953448,3975329,3996784
Demografia,TX_PNAD_POP_UF,Amazônia Legal,26,Pernambuco,9071206,9133857,9196374,9261237,9320464,9377552,9439033,9499409
Demografia,TX_PNAD_POP_UF,Amazônia Legal,27,Alagoas,3224172,3240801,3256780,3272460,3286849,3300736,3315564,3330079
Demografia,TX_PNAD_POP_UF,Amazônia Legal,28,Sergipe,2151985,2173287,2194668,2216309,2236783,2256916,2277956,2298549
Demografia,TX_PNAD_POP_UF,Amazônia Legal,29,Bahia,14422526,14485978,14546705,14609867,14670485,14730620,14793319,14853512
Demografia,TX_PNAD_POP_UF,Amazônia Legal,31,Minas Gerais,20225150,20361190,20498406,20638664,20769869,20898151,21030104,21158152
Demografia,TX_PNAD_POP_UF,Amazônia Legal,32,Espírito Santo,3686124,3733092,3780994,3829385,3875864,3921759,3968734,4014926
Demografia,TX_PNAD_POP_UF,Amazônia Legal,33,Rio de Janeiro,16510152,16615861,16725692,16840638,16947230,17050949,17159435,17264410
Demografia,TX_PNAD_POP_UF,Amazônia Legal,35,São Paulo,43114156,43522921,43931869,44350313,44754215,45143417,45532653,45912673
Demografia,TX_PNAD_POP_UF,Amazônia Legal,41,Paraná,10808804,10894879,10984606,11075678,11162815,11248537,11335547,11420565
Demografia,TX_PNAD_POP_UF,Amazônia Legal,42,Santa Catarina,6519681,6608855,6698752,6790833,6882511,6973130,7063804,7153029
Demografia,TX_PNAD_POP_UF,Amazônia Legal,43,Rio Grande do Sul,10995534,11047661,11100998,11157010,11211227,11261515,11310970,11358646
Demografia,TX_PNAD_POP_UF,Amazônia Legal,50,Mato Grosso do Sul,2493059,2523936,2555315,2587251,2618029,2648371,2679112,2709334
Demografia,TX_PNAD_POP_UF,Amazônia Legal,51,Mato Grosso,3136219,3176443,3219155,3263522,3305274,3346410,3388919,3430698
Demografia,TX_PNAD_POP_UF,Amazônia Legal,52,Goiás,6315944,6417228,6520487,6625151,6725748,6824117,6923260,7020504
Demografia,TX_PNAD_POP_UF,Amazônia Legal,53,Distrito Federal,2722198,2763488,2805774,2848633,2890224,2931057,2972209,3012718
