AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2012,2013,2014,2015,2016,2017,2018,2019
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,11,Rondônia,1000.91,990.49,990.01,989.6,968.27,1009.35,1148.02,1109.88
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,12,Acre,887.15,877.21,881.59,917.94,831.43,814.49,937.28,888.9
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,13,Amazonas,958.95,937.77,961.8,905.69,798.74,896.13,819.86,836.83
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,14,Roraima,1167.17,1188.95,1141.49,1195.79,1157.95,1044.69,1241.97,1049.63
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,15,Pará,807.98,811.73,822.95,806.72,754.64,754.66,877.17,793.85
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,16,Amapá,893.5,976.12,976.35,997.92,948.51,964.67,879.04,873.2
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,17,Tocantins,892.69,911.91,996.26,977.71,925.5,979.88,1064.28,1036.79
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,21,Maranhão,579.67,594.22,612.4,624.76,638.99,636.52,628.17,636.43
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,22,Piauí,712.68,861.46,868.75,886.45,816.54,800.88,835.53,830.03
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,23,Ceará,802.79,822.74,832.61,842.92,824.08,863.45,881.55,937.55
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,24,Rio Grande do Norte,823.72,876.99,918.21,994.12,996.67,898.22,978.38,1040.59
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,25,Paraíba,784.45,805.93,898.46,941.62,864.08,956.43,912.95,907.72
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,26,Pernambuco,917.16,976.75,1056.35,1003.12,939.25,888.73,884.21,952.96
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,27,Alagoas,679.24,680.51,770.38,727.92,732.25,700.02,733.83,727.73
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,28,Sergipe,947.19,961.85,1000.6,948.93,964.13,882.32,933.44,968.69
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,29,Bahia,844.53,850.14,916.8,890.7,846.31,908.53,864.05,911.24
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,31,Minas Gerais,1225.4,1272.67,1340.11,1327.79,1254.76,1298.36,1325,1330.14
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,32,Espírito Santo,1245.52,1281.62,1355.31,1275.63,1267.09,1262.54,1326.06,1438.6
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,33,Rio de Janeiro,1554.75,1551.91,1621.59,1555.26,1575.83,1536.13,1707.78,1807.15
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,35,São Paulo,1788.77,1840.11,1899.26,1799.8,1867.04,1786.22,1904.81,1887.78
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,41,Paraná,1511.59,1549.28,1591.78,1475.47,1504.17,1531.18,1603.96,1584.96
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,42,Santa Catarina,1588.94,1629.6,1647.1,1638.08,1573.62,1672.45,1659.53,1707.71
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,43,Rio Grande do Sul,1646.3,1714.65,1761.58,1734.7,1687.2,1733.91,1718.32,1809.93
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,50,Mato Grosso do Sul,1271.6,1316.04,1388.76,1253.86,1379.03,1342.86,1462.3,1489.33
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,51,Mato Grosso,1282.89,1324.6,1348.91,1269.55,1240.95,1306.6,1393.51,1360.19
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,52,Goiás,1273.65,1357.19,1356.09,1284.37,1233.27,1332.9,1324.79,1283.11
Desenvolvimento Social,TX_PNAD_RENDA_DOM_PC_UF,Amazônia Legal,53,Distrito Federal,2627.86,2644.27,2632.78,2667.28,2551.19,2602.44,2479.55,2596.53
