"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",365679775.55,374233183.32,400779254.98,448145648.68,471562623.38,487346539.31,491368116.69,509670752.78,493734516.92,473328689.48,498864000
"2","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100023,"Ariquemes",1683079606.8,1722447565.19,1844628650.49,2062637456.61,2170416544.2,2243063676.49,2261573409.12,2345813215.68,2272465014.92,2178545049.07,2296074000
"3","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100031,"Cabixi",101812772.11,104194216.79,111585189.23,124772967.64,131292735.12,135687302.01,136806991.89,141902822.29,137465846.39,131784444.25,138894000
"4","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100049,"Cacoal",1559527512.75,1596005534.33,1709217507.96,1911222647.7,2011089850.49,2078404076.79,2095555040.51,2173610942.01,2105647111.52,2018621655.24,2127523000
"5","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100056,"Cerejeiras",328779297.86,336469587.54,360336914.59,402923600.28,423977585.25,438168757.82,441784520.77,458240251.29,443912129.29,425565438.91,448524000
"6","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100064,"Colorado do Oeste",249262946.69,255093314.59,273188250.34,305475206.46,321437216.14,332196207.09,334937485.92,347413344.06,336550525.34,322641042.19,340047000
"7","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100072,"Corumbiara",242186323.49,247851166.12,265432383.16,296802706.36,312311551.5,322765092.62,325428546.01,337550212.13,326995790.93,313481200.69,330393000
"8","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100080,"Costa Marques",158327532.31,162030881.63,173524473.29,194032591.95,204171385.68,211005311.51,212746524.63,220670974.93,213771099.5,204936035.27,215992000
"9","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100098,"Espigão D'Oeste",423675246.22,433585193.08,464341374.31,519219904.26,546350725.22,564637912.31,569297297.1,590502664.12,572038999.72,548396882.92,577982000
"10","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100106,"Guajará-Mirim",589769911.27,603564884.03,646378502.31,722771225.35,760538222.62,785994589.98,792480607.24,821999177.27,796297147.68,763386541.61,804570000
"11","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100114,"Jaru",1036224641.89,1060462383.48,1135685831.52,1269907704.42,1336264248.69,1380991039,1392386959.3,1444251032.18,1399092613.79,1341268739.87,1413628000
"12","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100122,"Ji-Paraná",2218689967.14,2270586083.02,2431649140.89,2719035399.35,2861113278.1,2956879077.24,2981279205.38,3092326842.64,2995636872.37,2871828536.09,3026759000
"13","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100130,"Machadinho D'Oeste",445027530.98,455436916.99,487743140.96,545387426.07,573885579.72,593094400.14,597988607.5,620262677.59,600868485.8,576034859.19,607111000
"14","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",264597096.33,270786136.6,289994236.01,324267420.02,341211380.07,352632242.28,355542159.01,368785506.57,357254429.33,342489263.06,360966000
"15","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100155,"Ouro Preto do Oeste",570083059.28,583417548.07,624802023.65,698644714.54,735151028.16,759757647.64,766027157.98,794560381.51,769716300.15,737904268.66,777713000
"16","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100189,"Pimenta Bueno",789036155.91,807492052.13,864771157.33,966974778.39,1017502154.88,1051559494.63,1060236950.07,1099728993.62,1065342989.46,1021312838.7,1076411000
"17","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100205,"Porto Velho",12105566751.9,12388721182.78,13267509849.64,14835540348.21,15610742503.85,16133257722.84,16266389158.19,16872284801.72,16344727140.84,15669206855.68,16514535000
"18","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100254,"Presidente Médici",304242019.55,311358371.7,333444445.34,372852824.59,392335519.97,405467584.64,408813497.93,424041113.3,410782319.93,393804869.8,415050000
"19","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100262,"Rio Crespo",77935216.28,79758154.63,85415765.4,95510691.03,100501415.45,103865350.2,104722445.73,108623180.74,105226782.93,100877806.91,106320000
"20","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100288,"Rolim de Moura",951118242.19,973365308.36,1042410562.43,1165608628.42,1226515228.39,1267568552.6,1278028512,1325632925.02,1284183422.87,1231108694.58,1297525000
"21","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",116266558.74,118986083.73,127426310.96,142486284.1,149931626.29,154950065.14,156228711.08,162047967.86,156981099.45,150493140.61,158612000
"22","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100304,"Vilhena",1873305454.31,1917122877.38,2053113173.13,2295761877.29,2415722425.7,2496580317.75,2517182066.44,2610942865.67,2529304668.65,2424769634.43,2555582000
"23","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100320,"São Miguel do Guaporé",476395869.11,487538974.1,522122343.82,583829760.54,614336643.22,634899422.06,640138603.93,663982690.51,643221474.16,616637417.42,649904000
"24","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100338,"Nova Mamoré",346739876.02,354850271.36,380021424.41,424934538.5,447138662.01,462105070.93,465918356.04,483273031.34,468162191.7,448813257.06,473026000
"25","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100346,"Alvorada D'Oeste",192559799.06,197063855.87,211042496.65,235984710.75,248315630.43,256627131.05,258744814.84,268382624.1,259990914.8,249245606.21,262692000
"26","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",245885900.59,251637277.92,269487061.18,301336589.52,317082343.86,327695570.63,330399710.27,342706543.9,331990896.03,318269860.32,335440000
"27","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100403,"Alto Paraíso",234409661.44,239892604.59,256909284.44,287272298.9,302283151.23,312401026.59,314978955.84,326711392.3,316495876.15,303415242.7,319784000
"28","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100452,"Buritis",488365434.07,499788512.35,535240797.86,598498628.8,629772004.51,650851428.3,656222245.92,680665421.12,659382574.03,632130586.24,666233000
"29","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",123370303.86,126255988.51,135211903.35,151192022.5,159092266.03,164417325.38,165774095.03,171948901.32,166572453.42,159688088.19,168303000
"30","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100601,"Cacaulândia",103201121.43,105615040.2,113106798.15,126474409.03,133083082,137537574.52,138672532.82,143837851.48,139340371.66,133581496.23,140788000
"31","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100700,"Campo Novo de Rondônia",202704864.84,207446219.11,222161328.41,248417629.9,261398207.46,270147601.77,272376856.31,282522436.19,273688607.38,262377179.27,276532000
"32","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100809,"Candeias do Jamari",394481060.19,403708142.44,432345007.78,483442023.41,508703341.16,525730413.23,530068733.84,549812902.84,532621513.99,510608504.29,538155000
"33","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100908,"Castanheiras",81719824.28,83631286.23,89563635.95,100148780.73,105381859.47,108909150.07,109807866.98,113898025.38,110336695.27,105776528.85,111483000
"34","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100924,"Chupinguaia",205806293.54,210620191.57,225560445.26,252218473.89,265397657.13,274280919.08,276544281.7,286845091.17,277876102.85,266391607.42,280763000
"35","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100940,"Cujubim",237516954.35,243072578.42,260314828.36,291080329.56,306290163.08,316542159.2,319154261.03,331042220.58,320691289.36,307437261.36,324023000
"36","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101005,"Governador Jorge Teixeira",133871619.78,137002934.74,146721179.64,164061531.15,172634245.7,178412575.63,179884833.91,186585241.49,180751148.79,173280784.4,182629000
"37","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101104,"Itapuã do Oeste",117890942.1,120648462.12,129206609.46,144476988.49,152026351.05,157114903.51,158411413.67,164311972.46,159174313.82,152595710.4,160828000
"38","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101203,"Ministro Andreazza",159872015.96,163611491.41,175217202.95,195925378.12,206163075.7,213063666.41,214821865.04,222823618.28,215856434.63,206935184.43,218099000
"39","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101302,"Mirante da Serra",155692307.5,159334017.76,170636308.53,190803087.3,200773129.59,207493310.62,209205542.76,216998097.44,210213064.46,201525052.24,212397000
"40","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101401,"Monte Negro",196639816.12,201239306.29,215514130.87,240984828.38,253577019.43,262064626.72,264227180.65,274069198.82,265499683.36,254526699.82,268258000
"41","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101435,"Nova União",89058870.41,91141995.83,97607114.53,109142883.81,114845931.81,118689999.27,119669427.61,124126912.56,120245748.61,115276045.43,121495000
"42","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101450,"Parecis",75056627.17,76812234.08,82260877.22,91982940.05,96789328.75,100029014.32,100854452.46,104611111.22,101340161.63,97151817.93,102393000
"43","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101468,"Pimenteiras do Oeste",72588532.05,74286409.14,79555883.98,88958255.17,93606594.87,96739749.52,97538044.68,101171172.84,98007782.23,93957164.29,99026000
"44","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101476,"Primavera de Rondônia",46441530.88,47527818.33,50899183.9,56914741.73,59888710.28,61893276.21,62404018.73,64728463.5,62704552.85,60113001.64,63356000
"45","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101484,"São Felipe D'Oeste",66806430.98,68369062.23,73218792.58,81872209.92,86150282.18,89033862.74,89768569.03,93112297.27,90200889.23,86472926.69,91138000
"46","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101492,"São Francisco do Guaporé",250264258.82,256118047.84,274285672.61,306702328.4,322728458.93,333530669.74,336282960.54,348808935.34,337902479.68,323937120.86,341413000
"47","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101500,"Seringueiras",176319630.54,180443822.8,193243528.61,216082158.46,227373109.18,234983631.87,236922713.78,245747686.47,238063719.76,228224652.37,240537000
"48","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101559,"Teixeirópolis",61145279.03,62575493.49,67014259.51,74934389.5,78849939.52,81489166.54,82161614.1,85221996.06,82557299.64,79145243.26,83415000
"49","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101609,"Theobroma",135475478.44,138644308.35,148478983.39,166027082.24,174702502.82,180550060.45,182039957.23,188820639.53,182916651.06,175356787.43,184817000
"50","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101708,"Urupá",153194158.35,156777435.83,167898376.55,187741570.79,197551639.52,204163992.4,205848751.04,213516270.87,206840106.64,198291497.25,208989000
"51","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101757,"Vale do Anari",110523307.99,113108495.87,121131798.9,135447850.46,142525413.07,147295954.73,148511439.05,154043240.43,149226661.49,143059190.11,150777000
"52","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101807,"Vale do Paraíso",103157139.93,105570029.95,113058595.12,126420509.09,133026365.63,137478959.77,138613434.37,143776551.72,139280988.6,133524567.44,140728000
"53","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200013,"Acrelândia",172695859.35,183317606.85,187988691.07,201643427.97,210277182.43,223275301.93,228366958.83,238428533.42,234850424.44,229176394.02,229627000
"54","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200054,"Assis Brasil",68995766.32,73239386.35,75105586.49,80560952,84010325.41,89203357.94,91237586.04,95257404.77,93827872.11,91560973.07,91741000
"55","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200104,"Brasiléia",291736701.25,309680116.85,317571022.33,340638094.77,355223175.47,377181018.12,385782400.88,402779511.24,396734978.88,387149787.18,387911000
"56","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200138,"Bujari",119051370.89,126373686.58,129593792.63,139006960.68,144958813.31,153919328.93,157429365.23,164365514.44,161898872.9,157987365.69,158298000
"57","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200179,"Capixaba",128593650.6,136502869.11,139981075.1,150148733.27,156577642.5,166256366.96,170047741.87,177539841.64,174875492.31,170650467.53,170986000
"58","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200203,"Cruzeiro do Sul",968458662.94,1028024210.26,1054219117.3,1130793322.87,1179210432.2,1252102402.39,1280655832.97,1337079994.57,1317014367.9,1285195053.12,1287722000
"59","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200252,"Epitaciolândia",327836120.08,347999848.97,356867172.92,382788558.53,399178393.09,423853293.12,433519008.61,452619336.71,445826855.58,435055594.92,435911000
"60","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200302,"Feijó",263879230.97,280109258.56,287246674.12,308111108.76,321303483.47,341164606.9,348944657.4,364318740.92,358851391.27,350181474.17,350870000
