"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",15327.99,15226.97,16456.4,18372.65,19463.54,20247.89,19098.57,19868.66,19303.09,18557.54,19611.75
"2","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100023,"Ariquemes",20428.7,20364.47,21564.26,22828.65,23702.27,24184.76,22332.34,22805.88,21766.7,20572.5,21389.67
"3","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100031,"Cabixi",15484.83,15374.68,16666.94,19764.45,21104.76,22127.74,21063.43,22089.48,21631.13,20954.75,22315.87
"4","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100049,"Cacoal",20478.33,20392.85,21725.04,24323.86,25470.05,26199.47,24405.8,25112.19,24140.13,22970.99,24037.91
"5","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100056,"Cerejeiras",20182.89,20047.04,21678.31,23661.03,25029.67,26000.99,24487.81,25439.42,24680.98,23696.5,25009.7
"6","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100064,"Colorado do Oeste",14127.35,14003.81,15328.71,16431.35,17528.48,18360.48,17453.75,18283.95,17885.45,17310,18413.77
"7","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100072,"Corumbiara",25557.86,25391.99,27420.7,33792.86,36084.52,37838.82,36014.67,37765.74,36982.11,35830.52,38156.02
"8","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100080,"Costa Marques",11587.2,11596,12006.95,14185.74,14559.75,14699.08,13419.95,13573.07,12838.33,12033.12,12413.33
"9","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100098,"Espigão D'Oeste",15203.48,15151.32,16071.62,18073.02,18863.75,19344.2,17959.47,18426.14,17663.7,16764.39,17498.7
"10","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100106,"Guajará-Mirim",14949.43,14887.77,15857.38,17350.95,18136.55,18624.58,17317.82,17791.03,17076.2,16225.7,16955.81
"11","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100114,"Jaru",19755.3,19654.57,21053.44,24418.95,25755.34,26678.08,25044.28,25943.54,25101.23,24034.49,25301.64
"12","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100122,"Ji-Paraná",20604.67,20509.87,21904.78,23317.34,24378.32,25038.78,23286.51,23926.64,22969.33,21829.04,22814.71
"13","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100130,"Machadinho D'Oeste",14139.08,14137.86,14709.22,17516.86,18058.07,18303.69,16781.88,17034.57,16166.72,15199.21,15724.6
"14","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",15410.43,15339.38,16385.71,16316.16,17160.96,17728.23,16593.18,17144.04,16545.68,15804.77,16598.43
"15","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100155,"Ouro Preto do Oeste",15818.06,15707.76,17012.99,18420.29,19498.99,20269.93,19103.4,19859.04,19279.54,18521.69,19560.68
"16","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100189,"Pimenta Bueno",23987.97,23888.18,25446.42,28590.11,29943.27,30805.9,28702.37,29538.79,28400.06,27028.87,28288.64
"17","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100205,"Porto Velho",32775.77,32671.97,34656.49,34619.85,35826.48,36442.79,33539.5,34153.52,32510.78,30650.67,31793.2
"18","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100254,"Presidente Médici",13706.45,13598.81,14807.25,16705.62,17826.14,18677.4,17761.37,18612.17,18210.86,17630.16,18760.17
"19","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100262,"Rio Crespo",24554.26,24465.69,25962.24,28802.98,30036.29,30784.04,28565.86,29286.38,28060.48,26616.84,27767.04
"20","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100288,"Rolim de Moura",19452.66,19370.84,20642.2,23013.91,24097.04,24785.28,23087.03,23753.88,22833.17,21726.47,22734.08
"21","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",12550.36,12438.44,13631.4,16034.92,17277.21,18281.04,17579.47,18613.37,18399.1,17997.27,19347.65
"22","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100304,"Vilhena",28066.18,28026.06,29386.44,30127.32,30995.84,31357.77,28693.36,29076.06,27552.04,25865.59,26723.64
"23","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100320,"São Miguel do Guaporé",21058.96,20939.7,22504.3,26746.83,28078.83,28955.14,27046.59,27894.92,26875.92,25630.22,26876.64
"24","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100338,"Nova Mamoré",16385.02,16390.31,17013.09,18847.45,19320.69,19482.49,17764.84,17948.86,16962.4,15884.38,16372.78
"25","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100346,"Alvorada D'Oeste",11680.91,11585.86,12322.21,14002.53,14936.28,15644.18,14871.25,15578.28,15237.12,14746.52,15685.91
"26","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",21169.69,21036.39,22693.65,23512.53,24723.77,25535.38,23895.26,24683.56,23815.7,22744.93,23883.23
"27","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100403,"Alto Paraíso",13987.93,13972.43,14622.87,16765.23,17328.78,17607.99,16186.8,16466.48,15660.36,14751.09,15288.97
"28","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1100452,"Buritis",14766.73,14752.16,15427.92,18481.88,19142.59,19488.32,17951.64,18294.02,17426.46,16440.33,17063.65
