"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",11,"Rondônia",31891350727.47,32637303184.74,34952416402.02,39083293675.77,41125514774.3,42502048104.01,42852774458.65,44448968248.5,43059150924.22,41279535415.17,43506499000
"2","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",12,"Acre",10732855842.93,11392985652.34,11683288348.56,12531915080.04,13068493330.2,13876312019.95,14192752840.83,14818068526.05,14595693027.08,14243058338.91,14271063000
"3","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",13,"Amazonas",76449342621.64,78352686640.65,78212325990.75,85902848088.63,94795276929.72,96091875766.81,100287514100.28,100527745977.27,95057504426.59,88586133973.12,93204175000
"4","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",14,"Roraima",8238190714.97,8785260746.07,9285506999.01,10108352164.91,10432976623.58,10936056579.49,11537624992.37,11825297829.26,11790546435.1,11813973544.01,12103236000
"5","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",15,"Pará",124660932414.91,130567999287.16,126114499382.47,137428730111.97,143463605722.51,148038551384.02,151801537818.24,157963877620.98,156553256549.22,150363313969.91,155195371000
"6","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",16,"Amapá",12377840284.74,12753477498.87,13051623064.39,14219238095.11,14730612598.9,16089549122.56,16636961988.78,16914221344.61,15990264420.43,15216344379.77,15479885000
"7","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",17,"Tocantins",21837632818.24,23151758806.25,23823826612.76,27855472153.87,30310025797,31884051678.31,32597501265.25,34617073377.35,34475070827.34,33065306207.56,34101687000
"8","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",21,"Maranhão",67423909279.8,70773561397.7,71214362725.42,77039229508.38,82080872518.75,85578964141.14,90329100245.99,93884476071.66,90044779131.84,84996580847.19,89524184000
"9","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",22,"Piauí",32086751787.28,34090742754.92,36232379951.02,37765827401.18,39722728750.81,42164857523.35,43143525988.39,45449275466.34,44941107127.86,42101875102.46,45358616000
"10","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",23,"Ceará",117749633943.66,127019140220.14,127490579363.01,136097512103.23,141389874760.09,143696665718.47,150972521855.11,157287571954.67,151914447039.31,145717833700.1,147890392000
"11","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",24,"Rio Grande do Norte",54973172944.72,57350213583.65,58052618173.67,60460854383.54,63711534407.05,64076886759.26,66933792431.06,67995620063.45,66638092976.66,63958796131.86,64294547000
"12","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",25,"Paraíba",47189167054.58,49334218649.24,50032457724.12,55273770636.19,58397152164.99,60798367542.88,64314246487.99,66169991393.31,64409777172.28,62428347721.28,62386787000
"13","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",26,"Pernambuco",146893969088.39,154071004245.34,156541039872.54,167849556324.17,175462374996.07,182367313325.28,187595308609.99,191189385908.4,183143006519.7,177832338498.48,181550642000
"14","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",27,"Alagoas",41838022092.84,44686070558.45,45115805102.34,47523059428.25,49733936462.63,50751499221.2,50945166916.71,53373110878.31,51838491939.14,51140444481.38,52843468000
"15","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",28,"Sergipe",36741932387.01,37704386310.31,39328354817.66,41594823648.44,43610718533.81,44261760748.25,44698642186.76,44898658956,43420099058.09,41171323872.13,40703766000
"16","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",29,"Bahia",244750831310.78,257292081760.52,256570247872.59,272257210246.94,277862167514.59,286081819474.8,289891640184.03,296578672545.13,286397475768.55,268649455652.42,268660841000
"17","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",31,"Minas Gerais",521214324597.45,545601195381.75,524201661908.69,571820596705.64,586003889223.95,605493708965.73,608316855867.01,604055368074.8,578300844742.43,566763139830.64,576199051000
"18","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",32,"Espírito Santo",94852346668.43,103031745964.28,95896943332.11,110501896289.37,118686739782.26,117820909539,117707475950.5,121608670178.19,119054784613.18,112820358513.84,113351863000
"19","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",33,"Rio de Janeiro",612067395446.07,636857125306.84,649092293350.07,681399722931.86,699394555496.59,713643610066.34,722856744266.86,733911684666.02,713444031318.73,682117434699.18,671362364000
"20","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",35,"São Paulo",1864506431361.96,1980126346252.97,1977959212610.17,2128637381113.42,2210031935500.46,2242609148633.14,2305265789715.52,2273512861519.87,2179686543462.92,2113700579146.02,2119854035000
"21","Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",41,"Paraná",359607352129.76,374064001400.69,367775983778.42,404135684626.49,422730971789.68,422607443100.37,445851546567.3,439121486357.94,424038201525.64,413201698808.34,421374933000
