AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100015,Alta Floresta D'Oeste,7.5,7.9,9.2,9.6
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100023,Ariquemes,12.3,14.1,15.7,16.8
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100031,Cabixi,21.8,27,37,39.9
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100049,Cacoal,11.6,11.3,12.2,15.4
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100056,Cerejeiras,19.8,18,21.9,27.4
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100064,Colorado do Oeste,15.8,17.4,17.1,20.8
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100072,Corumbiara,0,0,0,7.1
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100080,Costa Marques,7,7.1,5.7,8
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100098,Espigão D'Oeste,7.7,7.7,7.9,8.5
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100106,Guajará-Mirim,8.4,8.1,11.6,11.9
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100114,Jaru,13.6,14.3,16.7,21.7
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100122,Ji-Paraná,5,6.8,8.2,13.4
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100130,Machadinho D'Oeste,6.7,7.8,7.4,13.9
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,7.6,6.7,13.2,17.1
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100155,Ouro Preto do Oeste,20.8,23.1,20.9,25.2
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100189,Pimenta Bueno,18.5,18.4,20.2,21.9
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100205,Porto Velho,9.9,9.9,11.5,12.5
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100254,Presidente Médici,23.3,27,24.7,25
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100262,Rio Crespo,0,0,0,6.1
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100288,Rolim de Moura,13.9,14,13.7,11
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100296,Santa Luzia D'Oeste,13,13.6,14.9,24.2
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100304,Vilhena,8.8,9,9.9,14.8
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100320,São Miguel do Guaporé,14.6,14.8,19.6,23.1
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100338,Nova Mamoré,4,4.4,4,4.7
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100346,Alvorada D'Oeste,14,16.7,22.6,24.2
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100379,Alto Alegre dos Parecis,3.9,7.9,11.6,15.6
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100403,Alto Paraíso,6.4,6.9,7.9,11.8
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100452,Buritis,2.4,2.6,2,11.1
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100502,Novo Horizonte do Oeste,13.2,14.1,15.7,28.6
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100601,Cacaulândia,0,0,0,0
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100700,Campo Novo de Rondônia,8.2,9.4,16.9,16.3
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100809,Candeias do Jamari,13.5,13.6,13.8,19
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100908,Castanheiras,0,0,0,0
Educação,TX_INEP_CRECHE_0_3_MUN,Rondônia,1100924,Chupinguaia,18.6,18.8,14.4,27.5
