AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2009,2011,2013,2015,2017,2019
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100015,Alta Floresta D'Oeste,3.4,3.3,3.9,4.3,4.8,5.2
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100023,Ariquemes,3.5,4,4.2,4.3,4.9,5.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100031,Cabixi,3.2,4,4.1,4.3,5.1,4.6
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100049,Cacoal,3.6,4.1,4.5,4.6,5.1,5.3
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100056,Cerejeiras,3.7,3.6,3.6,4,5.3,5.3
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100064,Colorado do Oeste,3.9,3.8,3.9,4.6,5,5.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100072,Corumbiara,4.4,4,4.3,4.4,4.4,4.9
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100080,Costa Marques,3.1,3.5,2.6,NA,5,4.5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100098,Espigão D'Oeste,4.4,4.2,4.9,4.7,5.2,5.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100106,Guajará-Mirim,3.3,3.6,3.5,3.6,4.4,4.5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100114,Jaru,3.9,4,3.7,4.3,5.2,5.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100122,Ji-Paraná,3.3,3.7,3.9,4.1,4.8,4.9
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100130,Machadinho D'Oeste,3.6,3.4,3.8,3.7,4.8,4.5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,3.8,4.1,5.1,5.5,6,6.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100155,Ouro Preto do Oeste,3.5,3.7,4.2,4.1,5,5.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100189,Pimenta Bueno,3.8,4,4.1,4.4,4.8,4.9
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100205,Porto Velho,3.3,3.1,3.2,3.7,4.5,4.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100254,Presidente Médici,4.2,3.8,4.6,4.4,5.4,5.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100262,Rio Crespo,2.9,3,3.5,NA,4.5,4.2
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100288,Rolim de Moura,3.4,3.1,3.9,4.4,5.3,5.3
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100296,Santa Luzia D'Oeste,4.2,3.9,4.6,4.8,5.5,5.3
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100304,Vilhena,3.6,4.3,4.1,4.3,4.9,4.9
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100320,São Miguel do Guaporé,3.4,4.1,4.2,4.2,5.3,4.6
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100338,Nova Mamoré,3.1,3.1,3.9,3.6,4,4.5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100346,Alvorada D'Oeste,3.7,3.7,3.7,4.1,4.8,4.7
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100379,Alto Alegre dos Parecis,3.5,3.6,4.1,3.9,4.4,4.5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100403,Alto Paraíso,3.2,3.7,3.9,4.1,4.3,4.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100452,Buritis,3.4,3.7,3.8,4.1,4.9,5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100502,Novo Horizonte do Oeste,3.5,3.5,4.3,4.9,5.8,5.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100601,Cacaulândia,3.9,3.9,3.8,3.7,4,4.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100700,Campo Novo de Rondônia,3.6,3.7,3.8,4.4,4.7,4.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100809,Candeias do Jamari,2.5,3,3.1,3.2,4.1,3.8
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100908,Castanheiras,3.6,3.7,NA,NA,3.8,4.6
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100924,Chupinguaia,3.9,3.9,3.7,4.3,4.3,NA
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1100940,Cujubim,3.3,3.3,3.2,3.6,4.2,4.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101005,Governador Jorge Teixeira,3.5,3.4,3.3,3.4,4.8,4.8
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101104,Itapuã do Oeste,3.3,3.3,3.4,3.6,4.6,3.9
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101203,Ministro Andreazza,3.6,3.9,4.8,5,5.2,5.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101302,Mirante da Serra,3.5,3.7,4.5,3.8,4.7,4.9
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101401,Monte Negro,3.8,3.8,4.2,4.1,4.9,4.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101435,Nova União,3.4,4,3.8,3.6,5,4.3
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101450,Parecis,3.5,3.5,3.7,4.4,4.7,5.1
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101468,Pimenteiras do Oeste,3.4,3.3,3.7,4.4,5,4.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101476,Primavera de Rondônia,4,4.2,3.8,5,5.2,5.3
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101484,São Felipe D'Oeste,3.8,3.4,4,4.2,4.5,4.5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101492,São Francisco do Guaporé,3.4,3.3,3.8,4.6,5.6,5.4
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101500,Seringueiras,3.7,3.7,3.8,4.8,5.5,5.2
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101559,Teixeirópolis,3,3.8,4.2,3.5,5.1,5
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101609,Theobroma,3.7,4.4,3.9,4.6,4.9,5.3
Educação,TX_INEP_IDEB_AF_MUN,Rondônia,1101708,Urupá,3.5,3.3,4.4,4.6,5.1,4.4
