AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100015,Alta Floresta D'Oeste,59.4,64.9,66.9,56.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100023,Ariquemes,79.9,85.4,95.2,86.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100031,Cabixi,59.2,47.7,62,73.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100049,Cacoal,87.2,85.5,103,94.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100056,Cerejeiras,97.4,94.1,100.5,86.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100064,Colorado do Oeste,59.9,66.9,94.3,87.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100072,Corumbiara,60.4,72,93.8,88.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100080,Costa Marques,64.5,62.9,68.8,76.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100098,Espigão D'Oeste,69.4,68.7,75.8,69.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100106,Guajará-Mirim,67.8,66.5,73.1,59.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100114,Jaru,73.1,79.9,88.6,85
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100122,Ji-Paraná,76.5,75.4,88,79.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100130,Machadinho D'Oeste,60.1,62.7,77,69.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,53.9,60.7,55.8,48.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100155,Ouro Preto do Oeste,78.6,85.6,98.8,86.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100189,Pimenta Bueno,85.8,88.8,97,91.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100205,Porto Velho,90.7,87.2,84.9,89.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100254,Presidente Médici,70.2,62.6,79.8,66.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100262,Rio Crespo,79.2,84.9,88.5,69.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100288,Rolim de Moura,87.9,87.7,92.7,83.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100296,Santa Luzia D'Oeste,64.3,73.5,90.3,80.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100304,Vilhena,88.3,92.6,100.1,84.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100320,São Miguel do Guaporé,56.6,63,76.6,78
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100338,Nova Mamoré,70.5,68.1,68.3,55.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100346,Alvorada D'Oeste,54.3,55.2,75.3,67.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100379,Alto Alegre dos Parecis,35.8,34.2,38.8,43.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100403,Alto Paraíso,21.8,24.6,31.3,42.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100452,Buritis,50,53.4,59.9,54.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100502,Novo Horizonte do Oeste,50.7,68.4,75.2,52.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100601,Cacaulândia,56.4,58.3,66,37.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100700,Campo Novo de Rondônia,46.5,47.8,56.9,55.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100809,Candeias do Jamari,95.9,93.7,101,79.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100908,Castanheiras,58.8,65.3,65.4,81.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100924,Chupinguaia,79,89.7,92,67.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1100940,Cujubim,51.2,48.2,43.4,45.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101005,Governador Jorge Teixeira,42.6,37.7,65.7,79.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101104,Itapuã do Oeste,76.1,76.5,85,76.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101203,Ministro Andreazza,35.4,37.4,57.9,51.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101302,Mirante da Serra,51.3,56.8,66.2,61.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101401,Monte Negro,29.8,44.4,49.9,68.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101435,Nova União,54.4,63.9,79,65.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101450,Parecis,35.9,41.4,39.5,33.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101468,Pimenteiras do Oeste,60.9,75,83.6,82.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101476,Primavera de Rondônia,87.8,85.6,130.6,133.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101484,São Felipe D'Oeste,65.5,65,78.4,63.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101492,São Francisco do Guaporé,54.8,55.1,66.7,68.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101500,Seringueiras,45.5,54,73.4,57.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101559,Teixeirópolis,76.3,98.4,119,105.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101609,Theobroma,56,58.1,55.6,67.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101708,Urupá,34.5,43.7,60.8,18.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101757,Vale do Anari,55.8,38.9,56.3,72.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Rondônia,1101807,Vale do Paraíso,49.2,61.9,63.7,82.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200013,Acrelândia,79.7,82.2,97.2,100.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200054,Assis Brasil,116.2,115.4,91.1,102
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200104,Brasiléia,92,97.7,75.5,76.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200138,Bujari,92.1,70.7,66.7,86.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200179,Capixaba,87.6,93.7,104.2,120.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200203,Cruzeiro do Sul,85.7,94.3,90.5,99.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200252,Epitaciolândia,71.4,76.1,79.7,88.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200302,Feijó,70,57.8,66.1,64.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200328,Jordão,93.8,62.2,72.1,53.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Acre,1200336,Mâncio Lima,100.1,100,92.9,108.6
