AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,11,Rondônia,17.1,20.2,17.5,14.8
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,12,Acre,15.1,18,20.1,23.4
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,13,Amazonas,11.7,10.3,12.9,13.3
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,14,Roraima,16.7,19.3,19,10.7
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,15,Pará,14.1,18.9,18.4,19.1
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,16,Amapá,11.1,6.1,9.8,11.7
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,17,Tocantins,23.5,28.1,30.8,27.9
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,21,Maranhão,27.3,28,30,30.5
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,22,Piauí,22.4,26.4,26.3,29.2
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,23,Ceará,34,33,34.9,32.2
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,24,Rio Grande do Norte,30.4,34.6,35.1,36.1
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,25,Paraíba,26.7,30.6,28.7,32.8
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,26,Pernambuco,25.4,26.5,30.7,31.8
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,27,Alagoas,24.3,23.6,30.1,29.7
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,28,Sergipe,22.8,25.4,26.8,29.6
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,29,Bahia,26.2,28.3,29.3,30.7
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,31,Minas Gerais,28.4,32.2,33.9,35.8
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,32,Espírito Santo,32.4,32.6,35.9,36.4
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,33,Rio de Janeiro,28.1,31,31.7,33.6
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,35,São Paulo,42.6,46,47.5,49
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,41,Paraná,35.3,36.2,37.6,40.8
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,42,Santa Catarina,45,46.1,47.7,51.8
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,43,Rio Grande do Sul,36.7,39.9,34.3,40.3
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,50,Mato Grosso do Sul,32.7,31.6,37.1,34
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,51,Mato Grosso,27.3,27.8,29,30.3
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,52,Goiás,21.1,23.3,25,25
Educação,TX_PNAD_CRECHE_0_3_UF,Amazônia Legal,53,Distrito Federal,23.8,21.5,26.9,26.3
