AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2012,2013,2014,2015,2016,2017,2018,2019
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,11,Rondônia,7.6,7.6,7.5,7.9,8,8.2,8.4,8.7
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,12,Acre,7.6,7.5,7.7,7.9,7.9,7.9,8.5,8.6
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,13,Amazonas,8.6,8.8,8.7,9.1,9.1,9.4,9.6,9.8
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,14,Roraima,9.5,9.6,9.5,9.6,9.6,9.9,10,10.1
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,15,Pará,7.5,7.6,7.9,7.9,8,8.2,8.5,8.6
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,16,Amapá,9,9.1,9.2,9.3,9.9,9.6,9.8,9.7
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,17,Tocantins,7.9,8,8.2,8.1,8.1,8.6,8.6,8.7
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,21,Maranhão,6.5,6.8,6.9,6.9,7.1,7.3,7.6,7.7
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,22,Piauí,6.4,6.8,7,7.1,7.2,7.4,7.5,7.5
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,23,Ceará,7.1,7.1,7.3,7.4,7.5,7.9,8.1,8.2
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,24,Rio Grande do Norte,7.4,7.4,7.6,8.1,8.2,8.1,8.4,8.6
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,25,Paraíba,6.6,6.6,7.2,7.4,7.5,7.7,7.6,7.8
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,26,Pernambuco,7.5,7.7,8,8.1,8,8.2,8.6,8.5
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,27,Alagoas,6.7,6.6,6.9,6.9,7.1,7.2,7.5,7.5
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,28,Sergipe,7.4,7.3,7.7,7.8,7.8,7.9,8.2,8.3
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,29,Bahia,7.1,7.2,7.4,7.8,7.6,7.9,8,8.2
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,31,Minas Gerais,8,8.1,8.5,8.6,8.7,8.9,8.9,9
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,32,Espírito Santo,8.5,8.6,8.9,8.9,9,9.2,9.4,9.5
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,33,Rio de Janeiro,9.6,9.7,9.9,10,10.1,10.2,10.6,10.7
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,35,São Paulo,9.7,9.8,9.9,10,10.3,10.3,10.4,10.5
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,41,Paraná,8.5,8.8,8.9,9,9.2,9.2,9.4,9.6
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,42,Santa Catarina,8.8,9,9,9.3,9.3,9.6,9.7,9.8
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,43,Rio Grande do Sul,8.9,9,9.2,9.4,9.5,9.5,9.6,9.8
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,50,Mato Grosso do Sul,8.2,8.4,8.5,8.3,8.9,9.1,9.2,9.6
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,51,Mato Grosso,8.3,8.4,8.5,8.6,8.5,8.8,9.1,9.3
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,52,Goiás,8.5,8.5,8.7,8.9,8.9,9,9.3,9.3
Educação,TX_PNAD_ESCOLARIDADE_MEDIA_25_MAIS_UF,Amazônia Legal,53,Distrito Federal,10.9,10.9,11,11.1,11.2,11.3,11.2,11.6
