AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,11,Rondônia,93.1,94.2,95.3,96.9
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,12,Acre,89.4,88.6,87.9,90.7
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,13,Amazonas,88.3,88.6,90.7,90.1
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,14,Roraima,92.9,92.6,91.3,92.8
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,15,Pará,85.4,86.6,87.4,87
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,16,Amapá,95.7,94.4,96,94.2
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,17,Tocantins,93.9,94.2,94.7,95.9
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,21,Maranhão,82.4,82.9,83.7,84.7
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,22,Piauí,88.3,86.1,88.4,89
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,23,Ceará,90.7,91.2,91.1,92.1
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,24,Rio Grande do Norte,92.5,93.8,93.4,94.4
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,25,Paraíba,91.5,91.1,91.7,92.1
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,26,Pernambuco,89.7,91.6,91.2,90.7
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,27,Alagoas,89.5,90.4,91.2,91.9
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,28,Sergipe,89.8,90.8,92.1,93
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,29,Bahia,88.9,89.6,89.6,91.2
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,31,Minas Gerais,94.1,95.1,95.5,95.6
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,32,Espírito Santo,95.6,96.2,96.1,96.7
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,33,Rio de Janeiro,96.1,96.2,96.4,96.4
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,35,São Paulo,98.1,97.7,97.7,97.8
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,41,Paraná,96.1,96.4,97,97.1
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,42,Santa Catarina,96.8,97.1,97.2,97.7
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,43,Rio Grande do Sul,98,97.7,97.7,98
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,50,Mato Grosso do Sul,97.5,97.6,98.2,97.9
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,51,Mato Grosso,96.9,96.2,97,97.4
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,52,Goiás,97.5,98.1,98.1,97.5
Infraestrutura,TX_PNAD_DOM_CELULAR_UF,Amazônia Legal,53,Distrito Federal,99,99,98.8,99.1
