AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,11,Rondônia,35.7,48.1,54.8
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,12,Acre,29.4,32.9,37.9
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,13,Amazonas,30.5,33.8,38.2
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,14,Roraima,35,37.9,43.4
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,15,Pará,23.6,29,33.3
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,16,Amapá,38.9,44.3,48.3
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,17,Tocantins,35.9,41,49
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,21,Maranhão,23.9,30.1,34.6
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,22,Piauí,29.1,38.2,46.7
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,23,Ceará,43.5,57.4,63.3
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,24,Rio Grande do Norte,55.2,62.6,68.4
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,25,Paraíba,50.4,61.8,65.8
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,26,Pernambuco,48.9,56.3,67.5
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,27,Alagoas,39,46.1,55.3
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,28,Sergipe,44.4,50.5,59.6
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,29,Bahia,44,52.1,57.1
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,31,Minas Gerais,53.1,60.8,64.3
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,32,Espírito Santo,58,60.6,68
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,33,Rio de Janeiro,60.9,64.5,73
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,35,São Paulo,66.3,67.9,72.2
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,41,Paraná,56.1,62.3,66.1
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,42,Santa Catarina,64.6,71.6,76.8
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,43,Rio Grande do Sul,55.5,59.9,65.6
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,50,Mato Grosso do Sul,54.4,59.8,64.5
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,51,Mato Grosso,45.5,55.1,56.8
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,52,Goiás,54.7,62.9,66.3
Infraestrutura,TX_PNAD_TIC_DOM_QUALI_INTERNET_UF,Amazônia Legal,53,Distrito Federal,75.4,78.1,81.6
