AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,11,Rondônia,58.6,66.5,73.4
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,12,Acre,52.9,57.1,61.9
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,13,Amazonas,53.9,59.7,63.3
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,14,Roraima,64,71.7,77
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,15,Pará,52,57.3,61.8
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,16,Amapá,61.5,70.2,73.1
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,17,Tocantins,57.9,61.8,67.6
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,21,Maranhão,42.8,48.1,52.7
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,22,Piauí,48.8,54.2,57.7
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,23,Ceará,50.6,59.4,65.4
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,24,Rio Grande do Norte,59.9,65.5,69
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,25,Paraíba,54.1,59.7,64.9
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,26,Pernambuco,53.5,59.8,68.1
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,27,Alagoas,49.1,52.7,60.9
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,28,Sergipe,57.7,64.6,71.1
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,29,Bahia,54.9,60.7,65.1
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,31,Minas Gerais,64.5,69.8,74.8
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,32,Espírito Santo,67.6,71.7,77.1
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,33,Rio de Janeiro,73.9,77.8,83.7
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,35,São Paulo,75.7,79.6,83.4
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,41,Paraná,67.2,72.8,77.9
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,42,Santa Catarina,69.6,76.3,81
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,43,Rio Grande do Sul,67.7,71.7,76.7
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,50,Mato Grosso do Sul,71.3,74.8,80.3
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,51,Mato Grosso,64.6,72.8,77.8
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,52,Goiás,69.4,75.3,79.8
Infraestrutura,TX_PNAD_TIC_POP_INTERNET_UF,Amazônia Legal,53,Distrito Federal,85.3,85.3,90.3
