AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100015,Alta Floresta D'Oeste,10,4,14,10,13,20,10,31,39,28,60
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100023,Ariquemes,17,8,7,14,25,20,20,60,41,35,37
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100031,Cabixi,2,2,1,2,3,10,14,14,4,7,9
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100049,Cacoal,6,3,4,6,4,8,5,6,16,10,12
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100056,Cerejeiras,1,2,3,2,1,5,6,13,3,2,2
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100064,Colorado do Oeste,2,0,1,0,1,1,11,2,4,1,4
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100072,Corumbiara,2,2,6,5,1,3,6,3,5,13,8
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100080,Costa Marques,36,41,35,34,61,27,48,49,51,61,85
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100098,Espigão D'Oeste,10,6,3,14,5,5,3,5,9,11,14
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100106,Guajará-Mirim,16,7,12,14,49,20,42,25,8,31,37
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100114,Jaru,3,0,2,1,1,3,4,3,4,3,5
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100122,Ji-Paraná,10,2,2,3,6,1,3,6,2,2,7
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100130,Machadinho D'Oeste,54,35,108,131,161,122,192,181,196,146,158
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,4,2,10,4,4,4,3,4,7,2,11
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100155,Ouro Preto do Oeste,1,NA,0,1,1,1,0,16,67,48,45
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100189,Pimenta Bueno,28,8,8,65,13,8,13,20,42,40,41
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100205,Porto Velho,206,264,633,384,606,441,570,593,693,762,825
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100254,Presidente Médici,4,0,1,0,1,1,1,1,1,1,2
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100262,Rio Crespo,11,4,5,7,10,9,17,17,16,13,21
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100288,Rolim de Moura,0,0,1,2,1,1,1,1,5,4,5
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100296,Santa Luzia D'Oeste,2,1,0,5,1,1,1,1,1,2,3
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100304,Vilhena,12,17,15,17,16,15,32,27,30,35,50
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100320,São Miguel do Guaporé,7,7,11,25,15,22,10,35,20,18,34
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100338,Nova Mamoré,57,118,151,152,262,269,294,278,354,296,296
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100346,Alvorada D'Oeste,3,2,4,4,3,5,3,3,2,3,5
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100379,Alto Alegre dos Parecis,8,6,16,6,9,10,7,10,19,15,20
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100403,Alto Paraíso,22,17,30,26,54,28,47,89,106,131,92
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100452,Buritis,33,67,84,43,101,113,109,157,134,89,62
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100502,Novo Horizonte do Oeste,1,1,1,1,1,1,2,3,2,2,3
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100601,Cacaulândia,5,2,3,2,8,5,9,12,24,9,12
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100700,Campo Novo de Rondônia,49,39,52,27,74,34,41,62,54,43,29
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100809,Candeias do Jamari,24,25,35,35,93,78,95,191,210,204,211
Meio Ambiente,TX_INPE_DESMATAMENTO_MUN,Rondônia,1100908,Castanheiras,1,NA,1,NA,1,2,3,9,8,3,4
