AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100015,Alta Floresta D'Oeste,27.6,27.8,28,28.3,28.6,28.4,28.3,28.6,28.9,29.6,30.1
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100023,Ariquemes,60.3,60.2,60,60.1,60.4,60.7,61.2,62.3,62.9,63.2,64.2
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100031,Cabixi,66.5,66.5,66.4,66.4,66.4,66.3,67,68.1,69.1,69.4,69.6
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100049,Cacoal,60.3,60,59.9,60.1,60.3,60.5,60.9,60.9,61.2,61.9,61.5
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100056,Cerejeiras,26.7,26.6,26.7,26.8,27,27.3,27.4,27.4,27.6,28.1,28.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100064,Colorado do Oeste,74.9,74.7,74.7,74.3,74.2,74.4,74.8,75.4,75.5,75.3,76.5
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100072,Corumbiara,64.9,64.5,64.4,64.3,64.2,64.2,64.5,64.2,64.2,64.9,64.7
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100080,Costa Marques,29.6,29.9,30,31.2,31.1,31.1,31.5,32.5,33.4,33.6,34.1
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100098,Espigão D'Oeste,42.4,42.2,42.3,42.3,42.5,42.6,42.6,42.3,42.3,42.8,42.9
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100106,Guajará-Mirim,4.6,4.7,4.7,4.8,5,4.8,4.8,4.7,4.6,4.7,4.8
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100114,Jaru,82.5,82.4,82.2,82.1,82.1,81.6,81.6,81.9,82.1,82.2,82.5
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100122,Ji-Paraná,32.9,32.7,32.6,32.7,32.7,32.2,32.1,32,32,32.1,32.3
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100130,Machadinho D'Oeste,28.7,28.6,28.6,28.9,29.3,29.4,30.4,32,33.6,34.9,36.3
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,102.6,103,103.4,104.1,104.7,103.3,103.1,103.8,104.4,105.4,105.6
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100155,Ouro Preto do Oeste,79.8,79.7,79.5,79.4,79.6,79.3,79.3,79.5,80.3,82.1,83.9
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100189,Pimenta Bueno,32.7,32.4,32.4,32.7,32.5,32.1,32.3,31.9,32.4,34,33.7
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100205,Porto Velho,18.4,18.7,18.9,20,20.6,20.8,22,23,24.3,25.9,26.5
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100254,Presidente Médici,83.4,83.3,83.2,83.1,83.1,82.4,82.3,82.2,82.4,82.7,83.2
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100262,Rio Crespo,52.4,52.5,52.4,52.6,53,53.1,53.8,55,55.8,56.4,57.2
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100288,Rolim de Moura,82.1,81.9,81.8,81.8,82.1,81.8,81.8,81.9,82.3,82.6,82.9
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100296,Santa Luzia D'Oeste,75,74.8,74.6,74.6,74.7,74.6,74.8,74.8,75,75.3,74.7
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100304,Vilhena,13.5,13.8,13.9,14.3,14.4,14.5,14.6,14.7,14.7,14.7,15
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100320,São Miguel do Guaporé,21,21.2,21.2,21.6,21.7,21.3,21.2,21.3,21.6,22,22
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100338,Nova Mamoré,23.5,23.9,24.2,25.1,26.3,27.2,28.4,30.4,32.5,35.5,36.1
Meio Ambiente,TX_MAPBIOMAS_SOLO_AGROPEC_MUN,Rondônia,1100346,Alvorada D'Oeste,42.4,42.3,42.4,42.7,42.9,42.3,42.3,42.5,42.7,43.2,43.3
