AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,11,Rondônia,67.2,67.1,67,66.6,66.2,66,65.6,64.9,64.3,63.5,62.9
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,12,Acre,89.7,89.4,89.2,89,88.9,88.9,88.7,88.4,88.2,87.9,87.6
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,13,Amazonas,96,95.8,96,95.9,95.9,95.9,95.7,95.6,95.6,95.4,95.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,14,Roraima,96,96,95.9,95.9,95.9,95.8,95.5,95.3,95,95,94.6
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,15,Pará,81.6,81.3,81.2,81.1,81.1,81,80.9,80.8,80.4,79.7,79.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,16,Amapá,96.2,96.1,96.1,96.2,96.1,96,95.8,95.8,95.8,95.6,95.7
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,17,Tocantins,73.9,73.7,73.5,73,72.4,71.8,71,70.2,69.6,68.9,67.5
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,21,Maranhão,73.9,73.6,73.4,73.1,72.6,71.8,70.8,70.3,69.6,68.8,67.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,22,Piauí,88.2,88,87.9,87.6,87,86.5,86,85.9,85.7,85.7,85.3
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,23,Ceará,68.6,68.4,68.2,68.7,68.8,68.8,68.9,69,69.2,70.1,69.2
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,24,Rio Grande do Norte,54.1,53.9,53.5,52.9,52.3,51.2,50.3,50,49.9,50.7,49.9
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,25,Paraíba,55.7,55.6,55.2,54.8,54.7,54.3,54,53.8,52.9,53.4,52.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,26,Pernambuco,50,49.9,49.6,49.2,48.8,48.2,47.7,47.4,47.3,47.8,47.6
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,27,Alagoas,15,14.9,14.6,14.3,14.4,14.3,14.4,14.8,16,17,18.7
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,28,Sergipe,13.7,13.7,13.5,13.8,13.8,13.4,13.4,13.8,14.4,15.4,17.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,29,Bahia,54.8,54.4,54.1,53.8,53.5,53.1,52.9,52.8,52.7,52.9,52.8
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,31,Minas Gerais,38.3,38.3,38.3,38.2,38,37.7,37.5,37.1,36.6,36.2,35.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,32,Espírito Santo,22.4,22.7,22.7,22.7,22.8,22.7,22.9,22.8,22.9,22.7,22.7
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,33,Rio de Janeiro,29.3,29.4,29.4,29.4,29.5,29.6,29.7,29.8,29.8,29.9,29.9
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,35,São Paulo,21.8,21.9,22,22,22,21.9,21.9,21.9,21.8,21.7,21.4
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,41,Paraná,27.6,27.6,27.6,27.4,27.4,27.2,27.3,27.1,27.1,27.1,27.1
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,42,Santa Catarina,49.7,49.3,49,48.8,48.5,48.2,47.9,47.5,47.1,47,46.9
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,43,Rio Grande do Sul,50.7,50.5,50,49,48.6,47.9,47.6,47.1,47.1,46.8,45.5
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,50,Mato Grosso do Sul,41.1,40.8,40.8,40.8,40.6,40.8,40.8,40.7,40.5,40.4,39.8
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,51,Mato Grosso,66.8,66.7,66.5,66.3,66.1,65.8,65.5,65,64.5,64,63.2
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,52,Goiás,38.6,38.5,38.2,38.2,38,37.8,37.5,37.2,36.7,36.2,35.1
Meio Ambiente,TX_MAPBIOMAS_SOLO_NATURAL_UF,Amazônia Legal,53,Distrito Federal,52.3,52.7,52.6,53.2,53.4,53.4,52.6,52,51.8,51.1,49.3
