AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,11,Rondônia,73.1,40.4,37.7,57.7,52.8,55.6,44.7,59.6,73.9,68,73.5
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,12,Acre,36,26,35,35.7,38.2,28.9,37.3,32.6,42.3,30.8,46
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,13,Amazonas,17.2,12.4,16.8,14.3,14.7,14.8,13.4,17,24.3,21.4,22.6
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,14,Roraima,109.6,25.4,48.6,27.3,24.2,30.6,37.8,27.7,34,23.2,29.9
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,15,Pará,64,49.6,43.8,35.8,23.2,28.6,24.1,26.4,33.9,28.4,30.5
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,16,Amapá,15.4,11.8,9.4,10.6,6.7,6,6.8,5,3.6,4.2,3.9
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,17,Tocantins,54.8,53,51,47.3,47.8,69.5,54.7,69.3,43.2,43.8,40.3
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,21,Maranhão,34.3,20.2,18.6,13.5,12.1,15.1,14.4,13.3,11.6,12.6,12.2
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,22,Piauí,10.2,11.5,11.5,13.4,12.9,15.7,14.6,11.5,11.1,9.6,8.6
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,23,Ceará,3,2.5,3.5,3.2,3.3,3.5,3.6,3.7,3.6,3.6,3.4
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,24,Rio Grande do Norte,3.2,2.7,3.6,3.7,4.1,4.4,4.4,3.8,3.5,3.1,3
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,25,Paraíba,2.6,2.2,3.1,3.1,3.3,3.2,3.4,3.5,4.4,3.7,3.5
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,26,Pernambuco,2.5,2,2.7,3,2.9,2.9,3,2.9,2.8,2.5,2.4
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,27,Alagoas,2.4,2.2,2.3,2.5,2.4,2.2,2.2,2.2,2.1,2.1,2
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,28,Sergipe,4.1,3.7,3.9,3.9,4.1,3.9,3.9,3.8,3.7,3.5,3.5
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,29,Bahia,8.2,6.3,6.8,7.8,7.6,7.6,6.5,6.7,6,5.2,5.2
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,31,Minas Gerais,9.4,7.8,8.2,8.6,8.9,9.6,9,7.9,6.7,6.6,6.5
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,32,Espírito Santo,5.6,5.7,6.7,7.3,7.3,7.3,7.6,7.7,7.1,7.2,7.2
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,33,Rio de Janeiro,3.9,3.8,4,4.1,4.4,4.8,4.6,4.5,4.1,4.2,3.9
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,35,São Paulo,3.5,3.3,3.7,3.9,3.9,3.8,3.7,3.5,3.4,3.4,3.2
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,41,Paraná,5.8,5.4,5.5,5.7,6,6.1,6.1,6,6.1,5.9,5.8
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,42,Santa Catarina,6.5,5.8,5.9,5.8,6,6.2,6.1,5.9,5.9,5.8,5.7
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,43,Rio Grande do Sul,9.6,9.3,14,13.6,14.3,12.7,11.8,9.3,8.6,8.4,8.2
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,50,Mato Grosso do Sul,33.7,28.6,30.4,26.8,28.5,29,26.5,31.1,30.4,27.3,26.1
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,51,Mato Grosso,128.7,57.9,54.1,60.6,51.7,66.9,58,76.7,70.7,69.9,66.2
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,52,Goiás,16,15.6,15.8,13.9,14.1,17.4,14.5,14.5,12.2,12.8,12.1
Meio Ambiente,TX_SEEG_CO2_PER_CAPITA_UF,Amazônia Legal,53,Distrito Federal,2.4,2.5,2.7,2.9,3,3.1,3.2,3.1,2.8,2.7,2.5
