"","COD","NOME","TERRITORIO","AREA","PCT"
"1476",1600055,"Serra do Navio","Arco do Desmatamento",0,0
"1477",1600055,"Serra do Navio","Cidades",0,0
"1478",1600055,"Serra do Navio","Outros",0,0
"1479",1600055,"Serra do Navio","Região Antropizada",0,0
"1480",1600055,"Serra do Navio","Região Conservada",771298.26,100
"1481",1600105,"Amapá","Arco do Desmatamento",0,0
"1482",1600105,"Amapá","Cidades",0,0
"1483",1600105,"Amapá","Outros",155275.74,16.97
"1484",1600105,"Amapá","Região Antropizada",0,0
"1485",1600105,"Amapá","Região Conservada",759456.19,83.03
"1486",1600154,"Pedra Branca do Amapari","Arco do Desmatamento",0,0
"1487",1600154,"Pedra Branca do Amapari","Cidades",0,0
"1488",1600154,"Pedra Branca do Amapari","Outros",0,0
"1489",1600154,"Pedra Branca do Amapari","Região Antropizada",0,0
"1490",1600154,"Pedra Branca do Amapari","Região Conservada",962229.56,100
"1491",1600204,"Calçoene","Arco do Desmatamento",0,0
"1492",1600204,"Calçoene","Cidades",0,0
"1493",1600204,"Calçoene","Outros",23447.77,1.65
"1494",1600204,"Calçoene","Região Antropizada",0,0
"1495",1600204,"Calçoene","Região Conservada",1399739.63,98.35
"1496",1600212,"Cutias","Arco do Desmatamento",1465.79,0.67
"1497",1600212,"Cutias","Cidades",0,0
"1498",1600212,"Cutias","Outros",0,0
"1499",1600212,"Cutias","Região Antropizada",0,0
"1500",1600212,"Cutias","Região Conservada",216447.76,99.33
"1501",1600238,"Ferreira Gomes","Arco do Desmatamento",48893.06,9.83
"1502",1600238,"Ferreira Gomes","Cidades",0,0
"1503",1600238,"Ferreira Gomes","Outros",19419.18,3.9
"1504",1600238,"Ferreira Gomes","Região Antropizada",0,0
"1505",1600238,"Ferreira Gomes","Região Conservada",429124.59,86.27
"1506",1600253,"Itaubal","Arco do Desmatamento",6216.5,3.83
"1507",1600253,"Itaubal","Cidades",0,0
"1508",1600253,"Itaubal","Outros",55017.08,33.9
"1509",1600253,"Itaubal","Região Antropizada",0,0
"1510",1600253,"Itaubal","Região Conservada",101060.39,62.27
"1511",1600279,"Laranjal do Jari","Arco do Desmatamento",12357.91,0.4
"1512",1600279,"Laranjal do Jari","Cidades",0,0
"1513",1600279,"Laranjal do Jari","Outros",0,0
"1514",1600279,"Laranjal do Jari","Região Antropizada",41.74,0
"1515",1600279,"Laranjal do Jari","Região Conservada",3064947.51,99.6
"1516",1600303,"Macapá","Arco do Desmatamento",53849.55,8.28
"1517",1600303,"Macapá","Cidades",15648.04,2.41
"1518",1600303,"Macapá","Outros",132035.31,20.3
"1519",1600303,"Macapá","Região Antropizada",0,0
"1520",1600303,"Macapá","Região Conservada",448811.02,69.01
"1521",1600402,"Mazagão","Arco do Desmatamento",10031.83,0.75
"1522",1600402,"Mazagão","Cidades",0,0
"1523",1600402,"Mazagão","Outros",46537.77,3.5
"1524",1600402,"Mazagão","Região Antropizada",0,0
"1525",1600402,"Mazagão","Região Conservada",1272917.53,95.75
"1526",1600501,"Oiapoque","Arco do Desmatamento",1600.39,0.07
"1527",1600501,"Oiapoque","Cidades",0,0
"1528",1600501,"Oiapoque","Outros",18760.75,0.83
"1529",1600501,"Oiapoque","Região Antropizada",0,0
"1530",1600501,"Oiapoque","Região Conservada",2242166.83,99.1
"1531",1600535,"Porto Grande","Arco do Desmatamento",9480.41,2.14
"1532",1600535,"Porto Grande","Cidades",0,0
"1533",1600535,"Porto Grande","Outros",554.22,0.13
"1534",1600535,"Porto Grande","Região Antropizada",0,0
"1535",1600535,"Porto Grande","Região Conservada",432759.84,97.73
"1536",1600550,"Pracuúba","Arco do Desmatamento",621.63,0.13
"1537",1600550,"Pracuúba","Cidades",0,0
"1538",1600550,"Pracuúba","Outros",4214.14,0.85
"1539",1600550,"Pracuúba","Região Antropizada",0,0
"1540",1600550,"Pracuúba","Região Conservada",489941.37,99.02
"1541",1600600,"Santana","Arco do Desmatamento",0,0
"1542",1600600,"Santana","Cidades",4327.46,2.81
"1543",1600600,"Santana","Outros",7426.33,4.82
"1544",1600600,"Santana","Região Antropizada",0,0
"1545",1600600,"Santana","Região Conservada",142370.39,92.37
"1546",1600709,"Tartarugalzinho","Arco do Desmatamento",19317.97,2.89
"1547",1600709,"Tartarugalzinho","Cidades",0,0
"1548",1600709,"Tartarugalzinho","Outros",23785.63,3.56
"1549",1600709,"Tartarugalzinho","Região Antropizada",0,0
"1550",1600709,"Tartarugalzinho","Região Conservada",625394.25,93.55
"1551",1600808,"Vitória do Jari","Arco do Desmatamento",16243.29,6.47
"1552",1600808,"Vitória do Jari","Cidades",0,0
"1553",1600808,"Vitória do Jari","Outros",25048.7,9.98
"1554",1600808,"Vitória do Jari","Região Antropizada",0,0
"1555",1600808,"Vitória do Jari","Região Conservada",209607.96,83.54
