"","COD","NOME","TERRITORIO","AREA","PCT"
"1",1100015,"Alta Floresta D'Oeste","Arco do Desmatamento",116484,16.48
"2",1100015,"Alta Floresta D'Oeste","Cidades",0,0
"3",1100015,"Alta Floresta D'Oeste","Outros",115.17,0.02
"4",1100015,"Alta Floresta D'Oeste","Região Antropizada",226471.2,32.04
"5",1100015,"Alta Floresta D'Oeste","Região Conservada",363658.83,51.46
"6",1100023,"Ariquemes","Arco do Desmatamento",40328.42,9.11
"7",1100023,"Ariquemes","Cidades",9856.98,2.23
"8",1100023,"Ariquemes","Outros",0,0
"9",1100023,"Ariquemes","Região Antropizada",392419.47,88.66
"10",1100023,"Ariquemes","Região Conservada",0,0
"11",1100031,"Cabixi","Arco do Desmatamento",19744.69,15.02
"12",1100031,"Cabixi","Cidades",0,0
"13",1100031,"Cabixi","Outros",0,0
"14",1100031,"Cabixi","Região Antropizada",109659.66,83.43
"15",1100031,"Cabixi","Região Conservada",2034.65,1.55
"16",1100049,"Cacoal","Arco do Desmatamento",15292.75,4.03
"17",1100049,"Cacoal","Cidades",0,0
"18",1100049,"Cacoal","Outros",0,0
"19",1100049,"Cacoal","Região Antropizada",289593.28,76.35
"20",1100049,"Cacoal","Região Conservada",74408.18,19.62
"21",1100056,"Cerejeiras","Arco do Desmatamento",16742.97,6.02
"22",1100056,"Cerejeiras","Cidades",0,0
"23",1100056,"Cerejeiras","Outros",0,0
"24",1100056,"Cerejeiras","Região Antropizada",91747.19,32.96
"25",1100056,"Cerejeiras","Região Conservada",169826.97,61.02
"26",1100064,"Colorado do Oeste","Arco do Desmatamento",14814.7,10.21
"27",1100064,"Colorado do Oeste","Cidades",0,0
"28",1100064,"Colorado do Oeste","Outros",0,0
"29",1100064,"Colorado do Oeste","Região Antropizada",130286.54,89.79
"30",1100064,"Colorado do Oeste","Região Conservada",0,0
"31",1100072,"Corumbiara","Arco do Desmatamento",48095.56,15.72
"32",1100072,"Corumbiara","Cidades",0,0
"33",1100072,"Corumbiara","Outros",0,0
"34",1100072,"Corumbiara","Região Antropizada",234978.1,76.78
"35",1100072,"Corumbiara","Região Conservada",22959.94,7.5
"36",1100080,"Costa Marques","Arco do Desmatamento",108385.33,21.73
"37",1100080,"Costa Marques","Cidades",0,0
"38",1100080,"Costa Marques","Outros",3514.48,0.7
"39",1100080,"Costa Marques","Região Antropizada",183600.3,36.81
