"","COD","NOME","TERRITORIO","AREA","PCT"
"681",1400027,"Amajari","Arco do Desmatamento",22222.77,0.78
"682",1400027,"Amajari","Cidades",0,0
"683",1400027,"Amajari","Outros",0,0
"684",1400027,"Amajari","Região Antropizada",0,0
"685",1400027,"Amajari","Região Conservada",2824327.35,99.22
"686",1400050,"Alto Alegre","Arco do Desmatamento",138551.44,5.42
"687",1400050,"Alto Alegre","Cidades",0,0
"688",1400050,"Alto Alegre","Outros",0,0
"689",1400050,"Alto Alegre","Região Antropizada",3274.2,0.13
"690",1400050,"Alto Alegre","Região Conservada",2416346.45,94.46
"691",1400100,"Boa Vista","Arco do Desmatamento",14870.57,2.61
"692",1400100,"Boa Vista","Cidades",17186.12,3.02
"693",1400100,"Boa Vista","Outros",0,0
"694",1400100,"Boa Vista","Região Antropizada",0,0
"695",1400100,"Boa Vista","Região Conservada",536737.73,94.36
"696",1400159,"Bonfim","Arco do Desmatamento",86701.2,10.71
"697",1400159,"Bonfim","Cidades",0,0
"698",1400159,"Bonfim","Outros",0,0
"699",1400159,"Bonfim","Região Antropizada",9991.23,1.23
"700",1400159,"Bonfim","Região Conservada",712837.03,88.06
"701",1400175,"Cantá","Arco do Desmatamento",244189.01,31.86
"702",1400175,"Cantá","Cidades",2795.58,0.36
"703",1400175,"Cantá","Outros",0,0
"704",1400175,"Cantá","Região Antropizada",0,0
"705",1400175,"Cantá","Região Conservada",519494.86,67.78
"706",1400209,"Caracaraí","Arco do Desmatamento",149708.45,3.16
"707",1400209,"Caracaraí","Cidades",0,0
"708",1400209,"Caracaraí","Outros",33248.31,0.7
"709",1400209,"Caracaraí","Região Antropizada",0,0
"710",1400209,"Caracaraí","Região Conservada",4556125.48,96.14
"711",1400233,"Caroebe","Arco do Desmatamento",140615.33,11.65
"712",1400233,"Caroebe","Cidades",0,0
"713",1400233,"Caroebe","Outros",9971.41,0.83
"714",1400233,"Caroebe","Região Antropizada",0,0
"715",1400233,"Caroebe","Região Conservada",1055917.55,87.52
"716",1400282,"Iracema","Arco do Desmatamento",209518.79,14.66
"717",1400282,"Iracema","Cidades",0,0
"718",1400282,"Iracema","Outros",0,0
"719",1400282,"Iracema","Região Antropizada",47160.35,3.3
"720",1400282,"Iracema","Região Conservada",1172912.87,82.05
"721",1400308,"Mucajaí","Arco do Desmatamento",265212.84,21.47
"722",1400308,"Mucajaí","Cidades",0,0
"723",1400308,"Mucajaí","Outros",0,0
"724",1400308,"Mucajaí","Região Antropizada",129284.34,10.47
"725",1400308,"Mucajaí","Região Conservada",840632.81,68.06
"726",1400407,"Normandia","Arco do Desmatamento",0,0
"727",1400407,"Normandia","Cidades",0,0
"728",1400407,"Normandia","Outros",0,0
"729",1400407,"Normandia","Região Antropizada",0,0
"730",1400407,"Normandia","Região Conservada",696676.17,100
"731",1400456,"Pacaraima","Arco do Desmatamento",37586.59,4.68
"732",1400456,"Pacaraima","Cidades",0,0
"733",1400456,"Pacaraima","Outros",0,0
"734",1400456,"Pacaraima","Região Antropizada",0,0
"735",1400456,"Pacaraima","Região Conservada",765252.26,95.32
"736",1400472,"Rorainópolis","Arco do Desmatamento",157990.85,4.7
"737",1400472,"Rorainópolis","Cidades",0,0
"738",1400472,"Rorainópolis","Outros",36409.03,1.08
"739",1400472,"Rorainópolis","Região Antropizada",19806.32,0.59
"740",1400472,"Rorainópolis","Região Conservada",3145462.49,93.62
"741",1400506,"São João da Baliza","Arco do Desmatamento",78959.76,18.43
"742",1400506,"São João da Baliza","Cidades",0,0
"743",1400506,"São João da Baliza","Outros",0,0
"744",1400506,"São João da Baliza","Região Antropizada",0,0
"745",1400506,"São João da Baliza","Região Conservada",349442.75,81.57
"746",1400605,"São Luiz","Arco do Desmatamento",133840.5,87.65
"747",1400605,"São Luiz","Cidades",0,0
"748",1400605,"São Luiz","Outros",0,0
"749",1400605,"São Luiz","Região Antropizada",196.47,0.13
"750",1400605,"São Luiz","Região Conservada",18653.16,12.22
"751",1400704,"Uiramutã","Arco do Desmatamento",0,0
"752",1400704,"Uiramutã","Cidades",0,0
"753",1400704,"Uiramutã","Outros",0,0
"754",1400704,"Uiramutã","Região Antropizada",0,0
"755",1400704,"Uiramutã","Região Conservada",806561.53,100
