"","COD","NOME","TERRITORIO","AREA","PCT"
"1556",1700251,"Abreulândia","Arco do Desmatamento",179555.08,94.74
"1557",1700251,"Abreulândia","Cidades",0,0
"1558",1700251,"Abreulândia","Outros",0,0
"1559",1700251,"Abreulândia","Região Antropizada",5309.96,2.8
"1560",1700251,"Abreulândia","Região Conservada",4651.91,2.45
"1561",1700301,"Aguiarnópolis","Arco do Desmatamento",20722.77,88.03
"1562",1700301,"Aguiarnópolis","Cidades",0,0
"1563",1700301,"Aguiarnópolis","Outros",1755.67,7.46
"1564",1700301,"Aguiarnópolis","Região Antropizada",1061.37,4.51
"1565",1700301,"Aguiarnópolis","Região Conservada",0,0
"1566",1700350,"Aliança do Tocantins","Arco do Desmatamento",91059.45,57.64
"1567",1700350,"Aliança do Tocantins","Cidades",0,0
"1568",1700350,"Aliança do Tocantins","Outros",0,0
"1569",1700350,"Aliança do Tocantins","Região Antropizada",66914.93,42.36
"1570",1700350,"Aliança do Tocantins","Região Conservada",0,0
"1571",1700400,"Almas","Arco do Desmatamento",164994.05,41.11
"1572",1700400,"Almas","Cidades",0,0
"1573",1700400,"Almas","Outros",0,0
"1574",1700400,"Almas","Região Antropizada",32150.78,8.01
"1575",1700400,"Almas","Região Conservada",204174.54,50.88
"1576",1700707,"Alvorada","Arco do Desmatamento",3797.57,3.13
"1577",1700707,"Alvorada","Cidades",0,0
"1578",1700707,"Alvorada","Outros",0,0
"1579",1700707,"Alvorada","Região Antropizada",117419.93,96.87
"1580",1700707,"Alvorada","Região Conservada",0,0
"1581",1701002,"Ananás","Arco do Desmatamento",33667.3,21.35
"1582",1701002,"Ananás","Cidades",0,0
"1583",1701002,"Ananás","Outros",0,0
"1584",1701002,"Ananás","Região Antropizada",117500.17,74.51
"1585",1701002,"Ananás","Região Conservada",6532.44,4.14
"1586",1701051,"Angico","Arco do Desmatamento",44759.92,99.09
"1587",1701051,"Angico","Cidades",0,0
"1588",1701051,"Angico","Outros",0,0
"1589",1701051,"Angico","Região Antropizada",0,0
"1590",1701051,"Angico","Região Conservada",411.73,0.91
"1591",1701101,"Aparecida do Rio Negro","Arco do Desmatamento",78828.36,67.93
"1592",1701101,"Aparecida do Rio Negro","Cidades",0,0
"1593",1701101,"Aparecida do Rio Negro","Outros",0,0
"1594",1701101,"Aparecida do Rio Negro","Região Antropizada",16312.46,14.06
"1595",1701101,"Aparecida do Rio Negro","Região Conservada",20899.04,18.01
"1596",1701309,"Aragominas","Arco do Desmatamento",0,0
"1597",1701309,"Aragominas","Cidades",0,0
"1598",1701309,"Aragominas","Outros",0,0
"1599",1701309,"Aragominas","Região Antropizada",117305.08,100
"1600",1701309,"Aragominas","Região Conservada",0,0
"1601",1701903,"Araguacema","Arco do Desmatamento",170953.23,61.53
"1602",1701903,"Araguacema","Cidades",0,0
"1603",1701903,"Araguacema","Outros",13741.22,4.95
"1604",1701903,"Araguacema","Região Antropizada",65451.67,23.56
"1605",1701903,"Araguacema","Região Conservada",27699.07,9.97
"1606",1702000,"Araguaçu","Arco do Desmatamento",31461.05,6.09
"1607",1702000,"Araguaçu","Cidades",0,0
"1608",1702000,"Araguaçu","Outros",0,0
"1609",1702000,"Araguaçu","Região Antropizada",472834.61,91.5
"1610",1702000,"Araguaçu","Região Conservada",12471.94,2.41
"1611",1702109,"Araguaína","Arco do Desmatamento",89730.14,22.43
"1612",1702109,"Araguaína","Cidades",0,0
"1613",1702109,"Araguaína","Outros",0,0
"1614",1702109,"Araguaína","Região Antropizada",280838.8,70.2
"1615",1702109,"Araguaína","Região Conservada",29471.23,7.37
"1616",1702158,"Araguanã","Arco do Desmatamento",3117.43,3.73
"1617",1702158,"Araguanã","Cidades",0,0
"1618",1702158,"Araguanã","Outros",0,0
"1619",1702158,"Araguanã","Região Antropizada",80485.43,96.27
"1620",1702158,"Araguanã","Região Conservada",0,0
"1621",1702208,"Araguatins","Arco do Desmatamento",97237.16,37.04
"1622",1702208,"Araguatins","Cidades",0,0
"1623",1702208,"Araguatins","Outros",0,0
"1624",1702208,"Araguatins","Região Antropizada",156998.71,59.8
"1625",1702208,"Araguatins","Região Conservada",8290.41,3.16
"1626",1702307,"Arapoema","Arco do Desmatamento",0,0
"1627",1702307,"Arapoema","Cidades",0,0
"1628",1702307,"Arapoema","Outros",0,0
"1629",1702307,"Arapoema","Região Antropizada",155225.26,100
"1630",1702307,"Arapoema","Região Conservada",0,0
"1631",1702406,"Arraias","Arco do Desmatamento",168832.21,29.18
"1632",1702406,"Arraias","Cidades",0,0
"1633",1702406,"Arraias","Outros",0,0
"1634",1702406,"Arraias","Região Antropizada",212562.14,36.73
"1635",1702406,"Arraias","Região Conservada",197292.9,34.09
"1636",1702554,"Augustinópolis","Arco do Desmatamento",0,0
"1637",1702554,"Augustinópolis","Cidades",0,0
"1638",1702554,"Augustinópolis","Outros",0,0
"1639",1702554,"Augustinópolis","Região Antropizada",39494.95,100
"1640",1702554,"Augustinópolis","Região Conservada",0,0
"1641",1702703,"Aurora do Tocantins","Arco do Desmatamento",32268.96,42.86
"1642",1702703,"Aurora do Tocantins","Cidades",0,0
"1643",1702703,"Aurora do Tocantins","Outros",0,0
"1644",1702703,"Aurora do Tocantins","Região Antropizada",38575.87,51.24
"1645",1702703,"Aurora do Tocantins","Região Conservada",4438.29,5.9
"1646",1702901,"Axixá do Tocantins","Arco do Desmatamento",27.04,0.18
"1647",1702901,"Axixá do Tocantins","Cidades",0,0
"1648",1702901,"Axixá do Tocantins","Outros",0,0
"1649",1702901,"Axixá do Tocantins","Região Antropizada",14997.25,99.82
"1650",1702901,"Axixá do Tocantins","Região Conservada",0,0
"1651",1703008,"Babaçulândia","Arco do Desmatamento",20423.31,11.42
"1652",1703008,"Babaçulândia","Cidades",0,0
"1653",1703008,"Babaçulândia","Outros",18379.25,10.28
"1654",1703008,"Babaçulândia","Região Antropizada",33148.29,18.53
"1655",1703008,"Babaçulândia","Região Conservada",106902.87,59.77
"1656",1703057,"Bandeirantes do Tocantins","Arco do Desmatamento",0,0
"1657",1703057,"Bandeirantes do Tocantins","Cidades",0,0
"1658",1703057,"Bandeirantes do Tocantins","Outros",0,0
"1659",1703057,"Bandeirantes do Tocantins","Região Antropizada",154178.65,100
"1660",1703057,"Bandeirantes do Tocantins","Região Conservada",0,0
"1661",1703073,"Barra do Ouro","Arco do Desmatamento",73691.81,66.61
"1662",1703073,"Barra do Ouro","Cidades",0,0
"1663",1703073,"Barra do Ouro","Outros",0,0
"1664",1703073,"Barra do Ouro","Região Antropizada",5646.72,5.1
"1665",1703073,"Barra do Ouro","Região Conservada",31295.35,28.29
"1666",1703107,"Barrolândia","Arco do Desmatamento",30776.13,43.15
"1667",1703107,"Barrolândia","Cidades",0,0
"1668",1703107,"Barrolândia","Outros",0,0
"1669",1703107,"Barrolândia","Região Antropizada",40553.45,56.85
"1670",1703107,"Barrolândia","Região Conservada",0,0
"1671",1703206,"Bernardo Sayão","Arco do Desmatamento",0,0
"1672",1703206,"Bernardo Sayão","Cidades",0,0
"1673",1703206,"Bernardo Sayão","Outros",0,0
"1674",1703206,"Bernardo Sayão","Região Antropizada",92693.92,100
"1675",1703206,"Bernardo Sayão","Região Conservada",0,0
"1676",1703305,"Bom Jesus do Tocantins","Arco do Desmatamento",67973.76,51.01
"1677",1703305,"Bom Jesus do Tocantins","Cidades",0,0
"1678",1703305,"Bom Jesus do Tocantins","Outros",0,0
"1679",1703305,"Bom Jesus do Tocantins","Região Antropizada",9884.59,7.42
"1680",1703305,"Bom Jesus do Tocantins","Região Conservada",55406.75,41.58
"1681",1703602,"Brasilândia do Tocantins","Arco do Desmatamento",27106.76,42.26
"1682",1703602,"Brasilândia do Tocantins","Cidades",0,0
"1683",1703602,"Brasilândia do Tocantins","Outros",0,0
"1684",1703602,"Brasilândia do Tocantins","Região Antropizada",25436.02,39.65
"1685",1703602,"Brasilândia do Tocantins","Região Conservada",11607.13,18.09
"1686",1703701,"Brejinho de Nazaré","Arco do Desmatamento",116063.38,67.31
"1687",1703701,"Brejinho de Nazaré","Cidades",0,0
"1688",1703701,"Brejinho de Nazaré","Outros",1539.48,0.89
"1689",1703701,"Brejinho de Nazaré","Região Antropizada",54836.72,31.8
"1690",1703701,"Brejinho de Nazaré","Região Conservada",0,0
"1691",1703800,"Buriti do Tocantins","Arco do Desmatamento",0,0
"1692",1703800,"Buriti do Tocantins","Cidades",0,0
"1693",1703800,"Buriti do Tocantins","Outros",0,0
"1694",1703800,"Buriti do Tocantins","Região Antropizada",25195.11,100
"1695",1703800,"Buriti do Tocantins","Região Conservada",0,0
"1696",1703826,"Cachoeirinha","Arco do Desmatamento",8116.95,23.04
"1697",1703826,"Cachoeirinha","Cidades",0,0
"1698",1703826,"Cachoeirinha","Outros",0,0
"1699",1703826,"Cachoeirinha","Região Antropizada",6682.94,18.97
"1700",1703826,"Cachoeirinha","Região Conservada",20434.11,58
"1701",1703842,"Campos Lindos","Arco do Desmatamento",95258.24,29.4
"1702",1703842,"Campos Lindos","Cidades",0,0
"1703",1703842,"Campos Lindos","Outros",0,0
"1704",1703842,"Campos Lindos","Região Antropizada",65352.8,20.17
"1705",1703842,"Campos Lindos","Região Conservada",163409.85,50.43
"1706",1703867,"Cariri do Tocantins","Arco do Desmatamento",25319.32,22.43
"1707",1703867,"Cariri do Tocantins","Cidades",0,0
"1708",1703867,"Cariri do Tocantins","Outros",0,0
"1709",1703867,"Cariri do Tocantins","Região Antropizada",87544.55,77.57
"1710",1703867,"Cariri do Tocantins","Região Conservada",0,0
"1711",1703883,"Carmolândia","Arco do Desmatamento",0,0
"1712",1703883,"Carmolândia","Cidades",0,0
"1713",1703883,"Carmolândia","Outros",0,0
"1714",1703883,"Carmolândia","Região Antropizada",33940.32,100
"1715",1703883,"Carmolândia","Região Conservada",0,0
"1716",1703891,"Carrasco Bonito","Arco do Desmatamento",0,0
"1717",1703891,"Carrasco Bonito","Cidades",0,0
"1718",1703891,"Carrasco Bonito","Outros",0,0
"1719",1703891,"Carrasco Bonito","Região Antropizada",19291.6,100
"1720",1703891,"Carrasco Bonito","Região Conservada",0,0
"1721",1703909,"Caseara","Arco do Desmatamento",66158.53,39.11
"1722",1703909,"Caseara","Cidades",0,0
"1723",1703909,"Caseara","Outros",4304.63,2.54
"1724",1703909,"Caseara","Região Antropizada",94623.56,55.94
"1725",1703909,"Caseara","Região Conservada",4076.43,2.41
"1726",1704105,"Centenário","Arco do Desmatamento",1266.56,0.65
"1727",1704105,"Centenário","Cidades",0,0
"1728",1704105,"Centenário","Outros",0,0
"1729",1704105,"Centenário","Região Antropizada",0,0
"1730",1704105,"Centenário","Região Conservada",194200.76,99.35
"1731",1704600,"Chapada de Areia","Arco do Desmatamento",39737.71,60.28
"1732",1704600,"Chapada de Areia","Cidades",0,0
"1733",1704600,"Chapada de Areia","Outros",0,0
"1734",1704600,"Chapada de Areia","Região Antropizada",26187.41,39.72
"1735",1704600,"Chapada de Areia","Região Conservada",0,0
"1736",1705102,"Chapada da Natividade","Arco do Desmatamento",121999.65,74.1
"1737",1705102,"Chapada da Natividade","Cidades",0,0
"1738",1705102,"Chapada da Natividade","Outros",0,0
"1739",1705102,"Chapada da Natividade","Região Antropizada",12028.91,7.31
"1740",1705102,"Chapada da Natividade","Região Conservada",30616.23,18.6
"1741",1705508,"Colinas do Tocantins","Arco do Desmatamento",436.23,0.52
"1742",1705508,"Colinas do Tocantins","Cidades",0,0
"1743",1705508,"Colinas do Tocantins","Outros",0,0
"1744",1705508,"Colinas do Tocantins","Região Antropizada",83944.94,99.48
"1745",1705508,"Colinas do Tocantins","Região Conservada",0,0
"1746",1705557,"Combinado","Arco do Desmatamento",7086.69,33.81
"1747",1705557,"Combinado","Cidades",0,0
"1748",1705557,"Combinado","Outros",0,0
"1749",1705557,"Combinado","Região Antropizada",13874.64,66.19
"1750",1705557,"Combinado","Região Conservada",0,0
"1751",1705607,"Conceição do Tocantins","Arco do Desmatamento",216176.45,86.44
"1752",1705607,"Conceição do Tocantins","Cidades",0,0
"1753",1705607,"Conceição do Tocantins","Outros",0,0
"1754",1705607,"Conceição do Tocantins","Região Antropizada",9652.98,3.86
"1755",1705607,"Conceição do Tocantins","Região Conservada",24245.58,9.7
"1756",1706001,"Couto Magalhães","Arco do Desmatamento",103442.57,65.23
"1757",1706001,"Couto Magalhães","Cidades",0,0
"1758",1706001,"Couto Magalhães","Outros",246.29,0.16
"1759",1706001,"Couto Magalhães","Região Antropizada",54891.37,34.61
"1760",1706001,"Couto Magalhães","Região Conservada",0,0
"1761",1706100,"Cristalândia","Arco do Desmatamento",166716.32,90.2
"1762",1706100,"Cristalândia","Cidades",0,0
"1763",1706100,"Cristalândia","Outros",0,0
"1764",1706100,"Cristalândia","Região Antropizada",15334,8.3
"1765",1706100,"Cristalândia","Região Conservada",2774.2,1.5
"1766",1706258,"Crixás do Tocantins","Arco do Desmatamento",75355.05,76.37
"1767",1706258,"Crixás do Tocantins","Cidades",0,0
"1768",1706258,"Crixás do Tocantins","Outros",0,0
"1769",1706258,"Crixás do Tocantins","Região Antropizada",23313.73,23.63
"1770",1706258,"Crixás do Tocantins","Região Conservada",0,0
"1771",1706506,"Darcinópolis","Arco do Desmatamento",44361.75,27.06
"1772",1706506,"Darcinópolis","Cidades",0,0
"1773",1706506,"Darcinópolis","Outros",14993.92,9.15
"1774",1706506,"Darcinópolis","Região Antropizada",13.68,0.01
"1775",1706506,"Darcinópolis","Região Conservada",104550.81,63.78
"1776",1707009,"Dianópolis","Arco do Desmatamento",113518.14,35.28
"1777",1707009,"Dianópolis","Cidades",0,0
"1778",1707009,"Dianópolis","Outros",0,0
"1779",1707009,"Dianópolis","Região Antropizada",44140.37,13.72
"1780",1707009,"Dianópolis","Região Conservada",164070.07,51
"1781",1707108,"Divinópolis do Tocantins","Arco do Desmatamento",151229.76,64.42
"1782",1707108,"Divinópolis do Tocantins","Cidades",0,0
"1783",1707108,"Divinópolis do Tocantins","Outros",0,0
"1784",1707108,"Divinópolis do Tocantins","Região Antropizada",83519.34,35.58
"1785",1707108,"Divinópolis do Tocantins","Região Conservada",0,0
"1786",1707207,"Dois Irmãos do Tocantins","Arco do Desmatamento",282843.45,75.28
"1787",1707207,"Dois Irmãos do Tocantins","Cidades",0,0
"1788",1707207,"Dois Irmãos do Tocantins","Outros",0,0
"1789",1707207,"Dois Irmãos do Tocantins","Região Antropizada",32012.97,8.52
"1790",1707207,"Dois Irmãos do Tocantins","Região Conservada",60847.72,16.2
"1791",1707306,"Dueré","Arco do Desmatamento",234045.66,68.34
"1792",1707306,"Dueré","Cidades",0,0
"1793",1707306,"Dueré","Outros",0,0
"1794",1707306,"Dueré","Região Antropizada",59089.68,17.25
"1795",1707306,"Dueré","Região Conservada",49349.11,14.41
"1796",1707405,"Esperantina","Arco do Desmatamento",0,0
"1797",1707405,"Esperantina","Cidades",0,0
"1798",1707405,"Esperantina","Outros",0,0
"1799",1707405,"Esperantina","Região Antropizada",50401.59,100
"1800",1707405,"Esperantina","Região Conservada",0,0
"1801",1707553,"Fátima","Arco do Desmatamento",18287.69,47.76
"1802",1707553,"Fátima","Cidades",0,0
"1803",1707553,"Fátima","Outros",0,0
"1804",1707553,"Fátima","Região Antropizada",20003.21,52.24
"1805",1707553,"Fátima","Região Conservada",0,0
"1806",1707652,"Figueirópolis","Arco do Desmatamento",62158.61,32.21
"1807",1707652,"Figueirópolis","Cidades",0,0
"1808",1707652,"Figueirópolis","Outros",0,0
"1809",1707652,"Figueirópolis","Região Antropizada",130845.95,67.79
"1810",1707652,"Figueirópolis","Região Conservada",0,0
"1811",1707702,"Filadélfia","Arco do Desmatamento",114117.09,57.4
"1812",1707702,"Filadélfia","Cidades",0,0
"1813",1707702,"Filadélfia","Outros",16703.35,8.4
"1814",1707702,"Filadélfia","Região Antropizada",57191.84,28.77
"1815",1707702,"Filadélfia","Região Conservada",10794.78,5.43
"1816",1708205,"Formoso do Araguaia","Arco do Desmatamento",331350.41,24.68
"1817",1708205,"Formoso do Araguaia","Cidades",0,0
"1818",1708205,"Formoso do Araguaia","Outros",0,0
"1819",1708205,"Formoso do Araguaia","Região Antropizada",128448.51,9.57
"1820",1708205,"Formoso do Araguaia","Região Conservada",882560.25,65.75
"1821",1708254,"Fortaleza do Tabocão","Arco do Desmatamento",21320.65,34.3
"1822",1708254,"Fortaleza do Tabocão","Cidades",0,0
"1823",1708254,"Fortaleza do Tabocão","Outros",0,0
"1824",1708254,"Fortaleza do Tabocão","Região Antropizada",40839.85,65.7
"1825",1708254,"Fortaleza do Tabocão","Região Conservada",0,0
"1826",1708304,"Goianorte","Arco do Desmatamento",93181.39,51.74
"1827",1708304,"Goianorte","Cidades",0,0
"1828",1708304,"Goianorte","Outros",0,0
"1829",1708304,"Goianorte","Região Antropizada",85672.94,47.57
"1830",1708304,"Goianorte","Região Conservada",1239.51,0.69
"1831",1709005,"Goiatins","Arco do Desmatamento",85551.74,13.35
"1832",1709005,"Goiatins","Cidades",0,0
"1833",1709005,"Goiatins","Outros",0,0
"1834",1709005,"Goiatins","Região Antropizada",5167.32,0.81
"1835",1709005,"Goiatins","Região Conservada",550139.33,85.84
"1836",1709302,"Guaraí","Arco do Desmatamento",93867.47,41.39
"1837",1709302,"Guaraí","Cidades",0,0
"1838",1709302,"Guaraí","Outros",0,0
"1839",1709302,"Guaraí","Região Antropizada",115598.31,50.97
"1840",1709302,"Guaraí","Região Conservada",17347.12,7.65
"1841",1709500,"Gurupi","Arco do Desmatamento",68072.47,37.07
"1842",1709500,"Gurupi","Cidades",0,0
"1843",1709500,"Gurupi","Outros",0,0
"1844",1709500,"Gurupi","Região Antropizada",115536.78,62.93
"1845",1709500,"Gurupi","Região Conservada",0,0
"1846",1709807,"Ipueiras","Arco do Desmatamento",48170.75,59.09
"1847",1709807,"Ipueiras","Cidades",0,0
"1848",1709807,"Ipueiras","Outros",0,0
"1849",1709807,"Ipueiras","Região Antropizada",12837.58,15.75
"1850",1709807,"Ipueiras","Região Conservada",20514.96,25.16
"1851",1710508,"Itacajá","Arco do Desmatamento",123212.84,40.38
"1852",1710508,"Itacajá","Cidades",0,0
"1853",1710508,"Itacajá","Outros",0,0
"1854",1710508,"Itacajá","Região Antropizada",8734.33,2.86
"1855",1710508,"Itacajá","Região Conservada",173189.2,56.76
"1856",1710706,"Itaguatins","Arco do Desmatamento",11944.3,16.14
"1857",1710706,"Itaguatins","Cidades",0,0
"1858",1710706,"Itaguatins","Outros",0,0
"1859",1710706,"Itaguatins","Região Antropizada",54896.61,74.2
"1860",1710706,"Itaguatins","Região Conservada",7146.44,9.66
"1861",1710904,"Itapiratins","Arco do Desmatamento",101913.91,81.93
"1862",1710904,"Itapiratins","Cidades",0,0
"1863",1710904,"Itapiratins","Outros",0,0
"1864",1710904,"Itapiratins","Região Antropizada",9998.34,8.04
"1865",1710904,"Itapiratins","Região Conservada",12481.78,10.03
"1866",1711100,"Itaporã do Tocantins","Arco do Desmatamento",0,0
"1867",1711100,"Itaporã do Tocantins","Cidades",0,0
"1868",1711100,"Itaporã do Tocantins","Outros",0,0
"1869",1711100,"Itaporã do Tocantins","Região Antropizada",97301.41,100
"1870",1711100,"Itaporã do Tocantins","Região Conservada",0,0
"1871",1711506,"Jaú do Tocantins","Arco do Desmatamento",173003.19,79.61
"1872",1711506,"Jaú do Tocantins","Cidades",0,0
"1873",1711506,"Jaú do Tocantins","Outros",0,0
"1874",1711506,"Jaú do Tocantins","Região Antropizada",20854.02,9.6
"1875",1711506,"Jaú do Tocantins","Região Conservada",23453.14,10.79
"1876",1711803,"Juarina","Arco do Desmatamento",9683.35,20.13
"1877",1711803,"Juarina","Cidades",0,0
"1878",1711803,"Juarina","Outros",0,0
"1879",1711803,"Juarina","Região Antropizada",38417.78,79.87
"1880",1711803,"Juarina","Região Conservada",0,0
"1881",1711902,"Lagoa da Confusão","Arco do Desmatamento",231981.97,21.96
"1882",1711902,"Lagoa da Confusão","Cidades",0,0
"1883",1711902,"Lagoa da Confusão","Outros",0,0
"1884",1711902,"Lagoa da Confusão","Região Antropizada",20744.91,1.96
"1885",1711902,"Lagoa da Confusão","Região Conservada",803717.64,76.08
"1886",1711951,"Lagoa do Tocantins","Arco do Desmatamento",9854.06,10.81
"1887",1711951,"Lagoa do Tocantins","Cidades",0,0
"1888",1711951,"Lagoa do Tocantins","Outros",0,0
"1889",1711951,"Lagoa do Tocantins","Região Antropizada",0,0
"1890",1711951,"Lagoa do Tocantins","Região Conservada",81278.45,89.19
"1891",1712009,"Lajeado","Arco do Desmatamento",9072.45,28.14
"1892",1712009,"Lajeado","Cidades",0,0
"1893",1712009,"Lajeado","Outros",6916.54,21.45
"1894",1712009,"Lajeado","Região Antropizada",0,0
"1895",1712009,"Lajeado","Região Conservada",16257.14,50.42
"1896",1712157,"Lavandeira","Arco do Desmatamento",18983.22,36.53
"1897",1712157,"Lavandeira","Cidades",0,0
"1898",1712157,"Lavandeira","Outros",0,0
"1899",1712157,"Lavandeira","Região Antropizada",25359.73,48.8
"1900",1712157,"Lavandeira","Região Conservada",7620.02,14.66
"1901",1712405,"Lizarda","Arco do Desmatamento",6702.4,1.17
"1902",1712405,"Lizarda","Cidades",0,0
"1903",1712405,"Lizarda","Outros",0,0
"1904",1712405,"Lizarda","Região Antropizada",0,0
"1905",1712405,"Lizarda","Região Conservada",565623.22,98.83
"1906",1712454,"Luzinópolis","Arco do Desmatamento",15173.25,54.28
"1907",1712454,"Luzinópolis","Cidades",0,0
"1908",1712454,"Luzinópolis","Outros",0,0
"1909",1712454,"Luzinópolis","Região Antropizada",3234.22,11.57
"1910",1712454,"Luzinópolis","Região Conservada",9545.58,34.15
"1911",1712504,"Marianópolis do Tocantins","Arco do Desmatamento",102035.31,48.79
"1912",1712504,"Marianópolis do Tocantins","Cidades",0,0
"1913",1712504,"Marianópolis do Tocantins","Outros",0,0
"1914",1712504,"Marianópolis do Tocantins","Região Antropizada",101350.39,48.46
"1915",1712504,"Marianópolis do Tocantins","Região Conservada",5751.32,2.75
"1916",1712702,"Mateiros","Arco do Desmatamento",65755.42,6.79
"1917",1712702,"Mateiros","Cidades",0,0
"1918",1712702,"Mateiros","Outros",0,0
"1919",1712702,"Mateiros","Região Antropizada",75084.96,7.76
"1920",1712702,"Mateiros","Região Conservada",827323.06,85.45
"1921",1712801,"Maurilândia do Tocantins","Arco do Desmatamento",24429.85,33.1
"1922",1712801,"Maurilândia do Tocantins","Cidades",0,0
"1923",1712801,"Maurilândia do Tocantins","Outros",0,0
"1924",1712801,"Maurilândia do Tocantins","Região Antropizada",4603.66,6.24
"1925",1712801,"Maurilândia do Tocantins","Região Conservada",44775.03,60.66
"1926",1713205,"Miracema do Tocantins","Arco do Desmatamento",88860.06,33.46
"1927",1713205,"Miracema do Tocantins","Cidades",0,0
"1928",1713205,"Miracema do Tocantins","Outros",15914.04,5.99
"1929",1713205,"Miracema do Tocantins","Região Antropizada",137196.83,51.65
"1930",1713205,"Miracema do Tocantins","Região Conservada",23637.47,8.9
"1931",1713304,"Miranorte","Arco do Desmatamento",29703.29,28.79
"1932",1713304,"Miranorte","Cidades",0,0
"1933",1713304,"Miranorte","Outros",0,0
