AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2011,2012,2013,2014,2015,2016,2017,2018
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100015,Alta Floresta D'Oeste,38.3,41.5,38.8,38.9,40.5,40.6,42,47.4
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100023,Ariquemes,35.7,36,34.9,36.9,41.2,39.2,80.3,91.3
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100031,Cabixi,24.7,23.5,24.1,28.8,33.2,30.5,36.6,42.7
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100049,Cacoal,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100056,Cerejeiras,42.2,41.1,41.2,44.5,50.9,48.9,55,61.4
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100064,Colorado do Oeste,68.7,66.7,63.9,70.1,72.7,70.7,80.7,73.5
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100072,Corumbiara,13.7,12.5,13.1,17.2,19.7,17.9,22.4,26.9
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100080,Costa Marques,16,14.2,13.8,14.7,16.5,15.5,16.6,16.1
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100098,Espigão D'Oeste,30.9,31.3,29.9,34,38.9,36.1,43.3,47
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100106,Guajará-Mirim,44.4,41.4,35.6,38.8,40.6,34.3,41.1,44.2
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100114,Jaru,30.6,31.4,32.5,35.4,39.4,38.4,42.4,47.3
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100122,Ji-Paraná,51.3,51,47.4,51.5,58.5,52.5,61.9,66.4
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100130,Machadinho D'Oeste,30.3,30.8,24.3,32.9,34.7,26.1,34.2,34.5
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,33.4,30.3,28.9,31.6,36.8,31.6,37.5,40.9
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100155,Ouro Preto do Oeste,54.8,52.9,49.1,54.2,58,52.5,61.5,69
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100189,Pimenta Bueno,79.5,76.9,71.3,76.8,81.2,73.8,79.1,87.5
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100205,Porto Velho,34.8,32.9,30.8,31.4,34,33.1,31.8,35.3
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100254,Presidente Médici,40.8,40.1,39.1,42.9,52.1,44.3,52.1,62.8
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100262,Rio Crespo,12.9,11.3,10.2,12,15,12.7,16.7,17.5
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100288,Rolim de Moura,55.2,56,54.8,56.9,66.1,59,100,70.7
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100296,Santa Luzia D'Oeste,25.8,24.5,24.1,27.6,31.9,33.4,40.2,50.3
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100304,Vilhena,99,98.4,98.3,97.9,97,95.5,96.3,100
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100320,São Miguel do Guaporé,11.5,10.4,10.9,10.6,14.2,14,16.3,17.2
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100338,Nova Mamoré,8.7,8.4,8.2,8.4,9.9,7.9,9.7,9.7
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100346,Alvorada D'Oeste,NA,51.8,51.4,52.3,53.1,53.9,53.8,61.2
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100379,Alto Alegre dos Parecis,22.6,7.1,5.7,NA,NA,29.5,29.4,NA
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100403,Alto Paraíso,6.5,7.3,7,7.4,7.2,6,6.7,6.7
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100452,Buritis,NA,NA,NA,NA,NA,3.9,9.1,10.7
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100502,Novo Horizonte do Oeste,16.9,14.9,16.1,16.7,21.9,16.6,23.7,21.1
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100601,Cacaulândia,11.8,10.2,8.5,10,11.7,9.3,11.5,12.5
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100700,Campo Novo de Rondônia,NA,18.7,21.5,21.3,26.6,26.5,26.6,27.5
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100809,Candeias do Jamari,51,57,48,51.8,52.2,49,48.6,48.8
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100908,Castanheiras,20.9,17,16.2,17.7,20.1,16.9,27,23.4
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100924,Chupinguaia,NA,NA,NA,NA,NA,NA,78.4,NA
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1100940,Cujubim,11,9.8,8.8,9.2,10,7.3,8.8,8.1
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101005,Governador Jorge Teixeira,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101104,Itapuã do Oeste,54,53.2,48.6,48.8,57.5,66.5,65.5,68.1
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101203,Ministro Andreazza,22.3,20.4,20.8,21,24,24.2,26.5,29.3
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101302,Mirante da Serra,19.3,17.5,16.8,19.6,23.4,19.5,23.9,26.7
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101401,Monte Negro,29.1,29.5,26.9,30.8,31.8,26,31.7,32.6
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101435,Nova União,10.8,9,8.9,13,17,14.6,19.5,20.6
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101450,Parecis,31.9,29.5,25.8,28.8,29.5,24.9,29.8,29
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101468,Pimenteiras do Oeste,55.8,50.9,55.7,53.4,54.2,52.8,77.4,55.8
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101476,Primavera de Rondônia,41,42.3,40.1,42.3,44.3,57.9,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101484,São Felipe D'Oeste,24,22.6,16.2,19.4,32.7,20.3,22.6,40.3
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101492,São Francisco do Guaporé,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101500,Seringueiras,14.2,14.9,13.9,16.6,18.9,18.5,22.9,24.1
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101559,Teixeirópolis,12.1,11.6,10.2,12,13,10.1,12.8,14.2
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101609,Theobroma,8.4,9.2,7.4,9.8,10.5,7.5,11.6,13.5
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101708,Urupá,24.2,21.2,20.3,23.8,26.3,23.4,28.1,32.4
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101757,Vale do Anari,14.9,12.8,9.5,12.5,13.3,7.7,10.8,10.4
Saneamento,TX_SNIS_AGUA_MUN,Rondônia,1101807,Vale do Paraíso,7.6,6.2,5.8,5.9,7.5,6,7.7,8.8
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200013,Acrelândia,34,31,29.4,30.1,29.6,34.4,36.2,35.4
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200054,Assis Brasil,54.1,55.7,50.2,51.1,65.5,68.3,72.1,69.4
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200104,Brasiléia,56,47.1,51.5,54.3,54.3,57.1,61.3,59.9
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200138,Bujari,49.8,45.9,45.4,43,42.7,42.2,42.2,40.4
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200179,Capixaba,38.1,44.7,36.5,36.8,36.5,36.7,35.9,34.8
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200203,Cruzeiro do Sul,42.1,40.4,39.6,49.6,49.3,52.6,54,52.2
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200252,Epitaciolândia,62.6,57.8,59.7,60.1,61.6,62.8,64.2,62.9
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200302,Feijó,13.8,13.4,12.7,14.8,17.2,19.1,20.6,19.3
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200328,Jordão,28.1,32.7,36.2,40,41.1,41.5,43.9,42.5
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200336,Mâncio Lima,45.3,46.8,44.5,46.6,61.6,62.1,65.7,64.2
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200344,Manoel Urbano,58.3,65.9,61.4,65.2,66.3,68.5,73.6,71.3
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200351,Marechal Thaumaturgo,20.3,22.7,21,24.4,18,28.4,28.9,27.7
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200385,Plácido de Castro,46.1,39.8,38.2,40.6,41.3,41.8,43.1,40.9
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200393,Porto Walter,NA,41.8,37.4,36.6,36.6,36.4,40,38.7
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200401,Rio Branco,90,88.6,49,50.2,54.6,54.6,54.9,52.7
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200427,Rodrigues Alves,27,54.5,51.1,50.2,31.6,30.6,32.4,31.5
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200435,Santa Rosa do Purus,37.5,46.5,32.4,41.7,43,45.4,56,54.7
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200450,Senador Guiomard,41.4,46.7,36.2,34.9,36.2,37,36.7,29.2
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200500,Sena Madureira,38.8,37.7,36.7,35,35,34.9,35.5,33.5
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200609,Tarauacá,32.6,34.3,28.9,28.6,34.3,35,37.3,36.7
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200708,Xapuri,51.2,49.2,47.7,48.7,50.3,51.3,53.3,52
Saneamento,TX_SNIS_AGUA_MUN,Acre,1200807,Porto Acre,25.8,22.7,21.7,21.9,21.4,23.9,23.5,21.7
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300029,Alvarães,15.3,19,17.5,14.2,14,14.8,14.6,19.1
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300060,Amaturá,52.4,51.5,52.4,51.4,NA,NA,52.4,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300086,Anamã,43.4,42.3,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300102,Anori,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300144,Apuí,13.1,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300201,Atalaia do Norte,NA,33,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300300,Autazes,13.8,21.2,18,17.7,17.3,18.9,19.8,20.4
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300409,Barcelos,38.7,40.5,38.7,38.5,38.3,38.1,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300508,Barreirinha,99.2,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300607,Benjamin Constant,43.3,46.2,40.6,41.1,40.1,43.3,40.4,40.6
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300631,Beruri,NA,50.2,52.6,59.1,61.8,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300680,Boa Vista do Ramos,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300706,Boca do Acre,NA,NA,NA,NA,NA,NA,NA,40.7
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300805,Borba,NA,42.5,NA,97,97.3,98.2,97.3,97.1
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300839,Caapiranga,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1300904,Canutama,100,51.9,NA,59.1,59,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301001,Carauari,63.6,70.2,76.2,81.4,80.7,76.6,76,73.1
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301100,Careiro,40.8,40.6,38.4,38.1,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301159,Careiro da Várzea,4.2,6.7,4.2,6,5.8,4.2,4.1,4.2
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301209,Coari,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301308,Codajás,39.9,46.9,40.6,36.3,35.6,34.9,33.3,36.5
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301407,Eirunepé,41.8,47,44.7,42.6,42,44.9,44.5,48.1
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301506,Envira,31.7,31.1,41.9,57.8,61.3,61.7,60.6,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301605,Fonte Boa,60.2,61.2,NA,86.8,91.8,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301654,Guajará,NA,41.8,39.9,51.4,75.8,75.9,77,77.3
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301704,Humaitá,70.1,NA,60.8,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301803,Ipixuna,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301852,Iranduba,84.6,83.4,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301902,Itacoatiara,74,73.1,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1301951,Itamarati,16.3,22,22,16.6,16.6,21.1,20.5,28.4
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302009,Itapiranga,NA,NA,NA,NA,NA,NA,NA,88.6
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302108,Japurá,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302207,Juruá,29.8,40,33.5,35.7,34.6,42.9,44.3,47
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302306,Jutaí,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302405,Lábrea,64.2,NA,NA,NA,NA,56.7,55.7,55.3
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302504,Manacapuru,75.7,75.2,NA,70.7,70.7,100,71.5,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302553,Manaquiri,28.3,34.8,23.7,22.9,22.1,21.6,21.9,21.3
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302603,Manaus,95.6,97.6,82.8,83.9,85.4,87.8,89.3,91.4
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302702,Manicoré,52.4,57.4,54.2,54,53.7,52.9,52.6,53.3
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302801,Maraã,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1302900,Maués,49.5,48.6,45.6,44.7,NA,49.5,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1303007,Nhamundá,NA,19.5,NA,NA,29.5,29.1,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1303106,Nova Olinda do Norte,36.9,36.3,NA,NA,59.2,58.1,NA,44.4
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1303205,Novo Airão,59.5,63.8,62.4,67.7,68.6,75.5,78.5,77.1
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1303304,Novo Aripuanã,NA,NA,NA,NA,NA,65.6,NA,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1303403,Parintins,NA,91.4,87,90.6,95,100,100,NA
Saneamento,TX_SNIS_AGUA_MUN,Amazonas,1303502,Pauini,20.4,NA,NA,1.4,NA,NA,NA,NA
