AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2011,2012,2013,2014,2015,2016,2017,2018
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100015,Alta Floresta D'Oeste,52.8,50.7,50.7,76.2,60.2,61.3,61.7,61.8
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100023,Ariquemes,NA,56.4,47.2,53.9,53.9,53.7,56.5,44.9
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100031,Cabixi,NA,56.7,57.8,42.8,35.8,40.4,43.5,44.6
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100049,Cacoal,45.1,48.8,56.3,41,53.4,54.1,55.6,56
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100056,Cerejeiras,NA,23.5,8.3,34.4,22.4,31.6,39.8,43.6
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100064,Colorado do Oeste,NA,41.4,45.6,47.9,53,55.4,62,63
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100072,Corumbiara,NA,62.3,66.2,47.2,27.1,33.1,45.4,36.5
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100080,Costa Marques,NA,80.6,77.2,73.1,70.5,72.6,78.5,79.1
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100098,Espigão D'Oeste,NA,18.5,32.4,18.1,15,20.6,26.2,26.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100106,Guajará-Mirim,NA,67.9,68,46.2,43.4,47.7,52.1,50
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100114,Jaru,NA,35,40.9,51.6,42.7,49.3,63.5,61.8
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100122,Ji-Paraná,NA,37.6,51.6,49.1,46,43.6,48.6,48.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100130,Machadinho D'Oeste,NA,63.2,60.8,58.5,55.3,60,63.1,65.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,NA,33.7,37.1,32.5,30.1,33.2,41.4,47.5
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100155,Ouro Preto do Oeste,NA,29.6,24.7,26.3,26.6,32.9,39.1,41.1
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100189,Pimenta Bueno,NA,57.4,53.7,54.4,48.7,46.6,64.2,50.2
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100205,Porto Velho,NA,70.7,70.3,70.7,67,70.9,77.1,77.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100254,Presidente Médici,NA,29.2,26.4,23.4,26.4,31.1,38.9,42.3
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100262,Rio Crespo,NA,53,43.6,57.8,25.7,28.9,40.6,32.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100288,Rolim de Moura,NA,45.4,44.4,43.2,42.2,43.8,40.8,41.2
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100296,Santa Luzia D'Oeste,NA,56.4,46.1,37.1,27.4,31.7,44.3,39.9
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100304,Vilhena,1,NA,NA,NA,NA,6.2,NA,38.5
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100320,São Miguel do Guaporé,NA,36,44.8,66.3,29.4,23.6,31.8,31.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100338,Nova Mamoré,NA,71.4,66.3,70.8,71.1,68.2,71.6,69.8
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100346,Alvorada D'Oeste,NA,NA,18.5,0,0,11.5,11,12.2
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100379,Alto Alegre dos Parecis,NA,65.3,64.2,NA,NA,0,7.7,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100403,Alto Paraíso,NA,75.1,87,52.9,39.1,42.9,33.6,55.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100452,Buritis,NA,NA,NA,NA,NA,69,21.4,3.6
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100502,Novo Horizonte do Oeste,NA,46.9,41.7,22.9,3.1,11.6,17.4,6.2
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100601,Cacaulândia,NA,40,47.7,54.9,53.3,44.1,32,42.5
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100700,Campo Novo de Rondônia,NA,14.6,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100809,Candeias do Jamari,NA,46.9,44.5,16.4,16.2,34.3,36.6,39.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100908,Castanheiras,NA,81.6,100,72,70.7,76.8,76.5,74
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100924,Chupinguaia,NA,NA,NA,NA,NA,NA,0.2,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1100940,Cujubim,NA,51.4,8,17.9,44.2,30.4,38.3,35.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101005,Governador Jorge Teixeira,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101104,Itapuã do Oeste,20,20,20,20,20,20,11.7,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101203,Ministro Andreazza,NA,67.3,60.9,56,49.7,53.4,60.3,62.9
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101302,Mirante da Serra,NA,46.8,51.1,57.6,57.4,68.8,72.9,75.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101401,Monte Negro,NA,64.8,54.2,40.8,25.9,47.6,58,58.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101435,Nova União,NA,72.7,71,82.3,75.3,46.6,50.8,49.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101450,Parecis,NA,58.9,58,40.5,44.3,32.1,35.6,41.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101468,Pimenteiras do Oeste,NA,11,69.8,71,63.6,64,65.4,6
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101476,Primavera de Rondônia,3.5,3,3,0,0,0.4,NA,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101484,São Felipe D'Oeste,NA,51.3,53.5,21,4.8,36.9,49.8,49.9
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101492,São Francisco do Guaporé,NA,NA,NA,NA,NA,NA,NA,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101500,Seringueiras,NA,54.9,53.7,23.3,23.8,24,31.7,49.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101559,Teixeirópolis,NA,74.7,81.2,79.4,70.8,44.4,49.2,53.8
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101609,Theobroma,NA,73.2,69.6,67.1,55.2,52.8,54.4,64.9
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101708,Urupá,NA,63.1,50.8,41.7,40.6,31.6,34,36.7
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101757,Vale do Anari,NA,63.5,65.2,63.2,58.9,57.2,56.7,64.9
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Rondônia,1101807,Vale do Paraíso,NA,56.2,100,0,34.7,61.8,NA,NA
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Acre,1200013,Acrelândia,60.4,57,65.3,62.5,69.5,73.7,71,71.4
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Acre,1200054,Assis Brasil,65,62.8,58.7,56.9,58.5,58.7,58.7,61.5
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Acre,1200104,Brasiléia,68.6,69.8,66.3,62.1,70.2,72.3,71.1,71.2
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Acre,1200138,Bujari,40.1,32.2,30.8,31.5,41.6,48,52.2,53.9
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Acre,1200179,Capixaba,57.1,54.7,49.8,46.7,54,58.3,58.5,61.2
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Acre,1200203,Cruzeiro do Sul,55.6,55.1,47.6,42.4,52.8,69.7,68.4,69.3
Saneamento,TX_SNIS_AGUA_PERDIDA_MUN,Acre,1200252,Epitaciolândia,65.6,65.6,56.2,50.7,57.3,67.9,67.5,68.7
