AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100015,Alta Floresta D'Oeste,19.7,10.3,22.1,15.1,13,18.3,5.9,18.8,15.3,14.1,7.4
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100023,Ariquemes,21.9,9.4,12.2,10.1,11.2,11.5,14,10.1,15.6,13.3,15.5
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100031,Cabixi,16.1,9.1,10.4,22.2,15.6,13.5,26.7,34.9,0,0,12.2
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100049,Cacoal,16.7,17.5,12.7,9.2,14.2,15.2,17.6,18.4,12.7,9.6,13.1
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100056,Cerejeiras,19.1,9.2,12.5,17.7,24.5,11.1,20,3.6,11.4,3.6,15.2
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100064,Colorado do Oeste,22.8,14.7,38.2,12.7,14,15.6,11,8,4.5,20.6,8.5
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100072,Corumbiara,0,24.6,22.9,40.8,0,8.6,24,0,21.6,23,7.8
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100080,Costa Marques,22.3,31.7,7.6,27.2,21.4,17.1,18.7,28.6,18.8,32.4,8.1
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100098,Espigão D'Oeste,14.8,15.1,26.3,22.2,12.6,17.3,22.2,14.6,14.4,7.5,12.6
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100106,Guajará-Mirim,19.9,20.2,18.1,12.6,11.7,12.5,20.6,19.3,18.1,21.4,23.8
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100114,Jaru,14.1,16,19.5,8.2,13.6,14.2,10.4,15.2,12.4,8.3,12.1
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100122,Ji-Paraná,13.6,22.8,30,13.1,12,15.2,12.8,15.8,10.1,11.2,17.1
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100130,Machadinho D'Oeste,21.8,16.3,12,8.8,16.6,13.6,9.9,22.9,17.6,6.7,3.9
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100148,Nova Brasilândia D'Oeste,6.9,27.2,24.6,13.7,3.7,18,15.7,7.8,3.6,0,6.9
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100155,Ouro Preto do Oeste,19.4,22.6,12.2,19,12.4,15.6,5.9,9.1,12,5.2,13
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100189,Pimenta Bueno,14.6,6.7,16.6,14,16.3,20.7,23.5,16.8,10,14.6,12.3
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100205,Porto Velho,16.7,19.7,21.8,12.7,14.3,13.9,13.3,13.3,15.6,13.8,12.2
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100254,Presidente Médici,28,37.9,16.4,42.1,12.3,19.4,6.9,19.1,18.1,38.1,10.2
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100262,Rio Crespo,0,21.3,0,0,0,0,0,0,28.6,0,0
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100288,Rolim de Moura,16.6,16,12.6,5.4,11.9,11.4,11.6,24.6,10.5,5.2,13.3
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100296,Santa Luzia D'Oeste,26.1,8.7,15.7,18.9,0,10.2,19.4,0,8.8,8.9,9.7
Saúde,TX_DATASUS_MORT_INFANTIL_MUN,Rondônia,1100304,Vilhena,12,12.9,19.9,13.5,17.3,12.2,13.4,12.4,14,15,10.3
