"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",11,"Rondônia",1,0,2,0,1,0,0,0,1,1,0
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",12,"Acre",0,0,0,2,0,0,0,0,1,1,1
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",13,"Amazonas",1,0,1,2,1,5,3,8,9,12,18
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",14,"Roraima",0,0,0,0,0,0,0,0,0,0,0
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",15,"Pará",0,0,2,0,0,1,0,3,4,4,8
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",16,"Amapá",0,0,0,0,0,0,0,0,0,0,0
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",17,"Tocantins",0,0,0,0,0,0,0,0,0,1,0
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",21,"Maranhão",0,0,1,1,1,0,2,1,2,3,2
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",22,"Piauí",0,0,0,0,0,1,1,0,1,0,1
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",23,"Ceará",5,3,0,2,1,4,9,16,16,13,18
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",24,"Rio Grande do Norte",0,0,0,0,0,1,1,1,5,11,7
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",25,"Paraíba",1,0,0,0,1,0,1,1,4,3,6
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",26,"Pernambuco",1,6,1,7,4,3,9,6,11,12,21
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",27,"Alagoas",1,1,0,2,0,2,1,1,2,0,1
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",28,"Sergipe",0,1,0,0,1,2,1,5,2,3,5
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",29,"Bahia",5,2,1,4,6,2,11,17,25,19,42
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",31,"Minas Gerais",33,60,59,77,62,68,105,118,157,193,227
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",32,"Espírito Santo",2,2,4,2,2,2,4,19,17,22,30
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",33,"Rio de Janeiro",50,53,77,78,59,79,104,118,212,191,280
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",35,"São Paulo",370,389,306,330,344,477,509,684,989,878,1107
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",41,"Paraná",37,39,42,68,59,79,82,147,171,195,263
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",42,"Santa Catarina",51,52,54,41,62,67,88,107,175,151,193
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",43,"Rio Grande do Sul",92,108,88,100,107,120,132,204,280,266,299
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",50,"Mato Grosso do Sul",0,0,1,0,0,0,3,4,5,5,5
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",51,"Mato Grosso",4,2,0,0,2,2,2,2,4,4,13
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",52,"Goiás",3,2,2,2,3,5,4,7,11,22,18
"Ciência e Tecnologia","TX_INPI_PATENTES_CONCEDIDAS_UF","Amazônia Legal",53,"Distrito Federal",9,5,12,10,15,14,15,22,36,19,35
