"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",11,"Rondônia",0,0,1,0,2,0,1,0,0,0,1
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",12,"Acre",0,0,0,0,0,2,0,0,0,0,1
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",13,"Amazonas",1,0,1,0,1,2,1,5,4,0,9
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",14,"Roraima",0,0,0,0,0,0,0,0,0,0,0
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",15,"Pará",1,0,0,0,2,0,0,1,0,0,4
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",16,"Amapá",0,0,0,0,0,0,0,0,0,0,0
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",17,"Tocantins",1,0,0,0,0,0,0,0,0,0,1
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",21,"Maranhão",0,1,0,0,1,1,1,0,2,1,2
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",22,"Piauí",0,0,0,0,0,0,0,1,1,0,1
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",23,"Ceará",0,6,5,3,0,2,1,4,9,16,15
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",24,"Rio Grande do Norte",0,1,0,0,0,0,0,1,1,1,4
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",25,"Paraíba",0,0,1,0,0,0,1,0,1,1,4
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",26,"Pernambuco",0,4,1,6,1,7,4,3,9,5,11
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",27,"Alagoas",0,0,1,1,0,2,0,2,1,1,2
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",28,"Sergipe",0,0,0,1,0,0,1,2,1,5,2
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",29,"Bahia",0,1,5,2,1,4,6,2,10,17,24
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",31,"Minas Gerais",31,40,33,48,57,74,61,66,106,116,157
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",32,"Espírito Santo",0,3,2,2,4,2,2,2,4,19,16
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",33,"Rio de Janeiro",40,47,50,65,79,80,59,81,104,120,213
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",35,"São Paulo",301,395,369,389,306,331,342,477,504,685,985
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",41,"Paraná",40,49,37,39,42,68,57,79,82,146,170
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",42,"Santa Catarina",36,52,51,52,54,41,61,65,88,107,177
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",43,"Rio Grande do Sul",61,80,92,108,88,100,109,119,132,202,282
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",50,"Mato Grosso do Sul",0,1,0,0,1,0,0,0,4,4,5
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",51,"Mato Grosso",0,0,4,2,0,0,2,2,2,1,4
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",52,"Goiás",1,4,3,2,2,2,2,5,4,8,10
"Ciência e Tecnologia","TX_MCTIC_PATENTES_CONCEDIDAS_UF","Amazônia Legal",53,"Distrito Federal",8,5,9,5,12,10,15,15,15,20,36
