"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",362.94,388.56,434.46,457.14,472.35,476.36,494.24,478.76,459.01,483.56,499.31
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100023,"Ariquemes",1790.88,1917.29,2143.79,2255.72,2330.77,2350.53,2438.75,2362.38,2264.93,2386.08,2463.77
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100031,"Cabixi",102.13,109.34,122.25,128.64,132.92,134.04,139.08,134.72,129.16,136.07,140.5
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100049,"Cacoal",1584.94,1696.82,1897.26,1996.32,2062.75,2080.23,2158.31,2090.72,2004.48,2111.7,2180.45
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100056,"Cerejeiras",343.22,367.45,410.85,432.3,446.69,450.48,467.38,452.75,434.07,457.29,472.18
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100064,"Colorado do Oeste",240.18,257.14,287.51,302.52,312.59,315.24,327.07,316.83,303.76,320.01,330.43
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100072,"Corumbiara",233.06,249.51,278.99,293.55,303.32,305.89,317.37,307.43,294.75,310.52,320.63
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100080,"Costa Marques",167.3,179.11,200.27,210.73,217.74,219.58,227.83,220.69,211.59,222.91,230.16
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100098,"Espigão D'Oeste",442.23,473.45,529.38,557.02,575.56,580.43,602.22,583.36,559.3,589.21,608.4
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100106,"Guajará-Mirim",608.32,651.26,728.19,766.21,791.71,798.41,828.38,802.44,769.34,810.49,836.88
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100114,"Jaru",1073.34,1149.1,1284.85,1351.93,1396.92,1408.75,1461.63,1415.86,1357.46,1430.06,1476.63
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100122,"Ji-Paraná",2444.03,2616.55,2925.65,3078.4,3180.83,3207.79,3328.19,3223.96,3090.98,3256.31,3362.34
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100130,"Machadinho D'Oeste",466.73,499.68,558.71,587.88,607.44,612.59,635.58,615.68,590.28,621.85,642.1
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",268.96,287.95,321.97,338.78,350.05,353.02,366.27,354.8,340.16,358.36,370.02
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100155,"Ouro Preto do Oeste",587.81,629.3,703.64,740.38,765.01,771.5,800.45,775.39,743.4,783.17,808.67
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100189,"Pimenta Bueno",822.22,880.26,984.25,1035.64,1070.1,1079.16,1119.67,1084.61,1039.87,1095.49,1131.16
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100205,"Porto Velho",12100.55,12954.71,14485.07,15241.36,15748.51,15881.98,16478.11,15962.05,15303.64,16122.21,16647.16
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100254,"Presidente Médici",303.55,324.97,363.36,382.34,395.06,398.41,413.36,400.41,383.9,404.43,417.6
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100262,"Rio Crespo",77.43,82.89,92.69,97.53,100.77,101.62,105.44,102.14,97.92,103.16,106.52
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100288,"Rolim de Moura",957.37,1024.95,1146.03,1205.87,1245.99,1256.55,1303.72,1262.89,1210.79,1275.56,1317.09
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",106.59,114.12,127.6,134.26,138.73,139.9,145.16,140.61,134.81,142.02,146.65
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100304,"Vilhena",2013.09,2155.19,2409.79,2535.61,2619.98,2642.18,2741.36,2655.51,2545.97,2682.15,2769.48
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100320,"São Miguel do Guaporé",517.14,553.65,619.05,651.37,673.05,678.75,704.23,682.17,654.03,689.02,711.45
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100338,"Nova Mamoré",369.77,395.87,442.63,465.74,481.24,485.32,503.54,487.77,467.65,492.66,508.7
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100346,"Alvorada D'Oeste",186.45,199.61,223.19,234.85,242.66,244.72,253.9,245.95,235.81,248.42,256.51
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",202.42,216.71,242.31,254.96,263.45,265.68,275.65,267.02,256.01,269.7,278.48
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100403,"Alto Paraíso",238.96,255.83,286.05,300.99,311,313.64,325.41,315.22,302.22,318.38,328.75
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100452,"Buritis",494.99,529.93,592.53,623.47,644.22,649.68,674.06,652.95,626.02,659.5,680.98
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",120.52,129.02,144.26,151.8,156.85,158.18,164.11,158.97,152.42,160.57,165.8
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100601,"Cacaulândia",102.22,109.44,122.37,128.75,133.04,134.17,139.2,134.84,129.28,136.2,140.63
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100700,"Campo Novo de Rondônia",203.78,218.16,243.93,256.67,265.21,267.46,277.49,268.8,257.72,271.5,280.34
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100809,"Candeias do Jamari",412.8,441.93,494.14,519.94,537.24,541.79,562.13,544.53,522.07,549.99,567.9
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100908,"Castanheiras",82.16,87.96,98.35,103.48,106.93,107.83,111.88,108.38,103.91,109.46,113.03
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100924,"Chupinguaia",219.03,234.49,262.2,275.89,285.07,287.48,298.27,288.93,277.01,291.83,301.33
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1100940,"Cujubim",259.55,277.87,310.7,326.92,337.8,340.66,353.45,342.38,328.26,345.82,357.08
"Economia","TX_IBGE_PIB_CONSTANTE_MUN","Rondônia",1101005,"Governador Jorge Teixeira",129.95,139.13,155.56,163.68,169.13,170.56,176.96,171.42,164.35,173.14,178.78
