"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",11,"Rondônia",32647.25,34951.76,39080.68,41121.14,42489.44,42849.52,44457.88,43065.57,41289.17,43497.66,44913.98
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",12,"Acre",12171.93,12481.82,13394.29,13962.43,14831.85,15167.57,15830.4,15597.98,15219.22,15253.65,15331.12
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",13,"Amazonas",80087.39,79971.99,87819.17,96878.04,98205.14,102532.63,102763.43,97166.54,90531.06,95262.45,100109.24
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",14,"Roraima",9262.55,9789.86,10657.14,10997.11,11531.35,12162.73,12468.02,12426.39,12454.14,12759.42,13369.99
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",15,"Pará",131883.27,127401.34,138749.21,144852.27,149524.93,153339.34,159537.76,158107.35,151813.57,156676.95,161349.6
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",16,"Amapá",13522.79,13840.41,15072.37,15620.99,17055.08,17642.19,17930.93,16949.2,16131.1,16410.22,16795.21
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",17,"Tocantins",23721.93,24421.59,28552.94,31068.39,32684.28,33400.61,35482.94,35333.01,33883.71,34949.86,35666.18
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",21,"Maranhão",75443.19,75932.73,82133.54,87518.45,91217.18,96275.74,100083.25,96003.77,90618.86,95459.84,98179.5
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",22,"Piauí",37067.91,39401.23,41071.67,43192.86,45870.88,46931.47,49423.88,48893.58,45791.33,49344.33,50378.42
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",23,"Ceará",131980.48,132483.07,141429.2,146957.7,149370.14,156909.01,163442.69,157914.19,151481.02,153692.42,155903.83
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",24,"Rio Grande do Norte",58707.71,59388.1,61866.66,65171.4,65560.19,68476.13,69593.91,68184.54,65462.99,65803.18,66969.56
"Economia","TX_IBGE_PIB_CONSTANTE_UF","Amazônia Legal",25,"Paraíba",50324.89,51029.28,56390.49,59599.38,62025.62,65625.85,67504.23,65704.11,63708.34,63669.2,64373.6
