"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",11,"Rondônia",21858.61,23240.32,25373.91,26084.56,26722.73,24794.1,25425.84,24355.54,23101.69,24087.91,25554.31
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",12,"Acre",17897.92,18059.97,18635.3,18706.71,19546.82,19534.18,20035.91,19412.23,18635.31,18386.33,17636.88
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",13,"Amazonas",23970.41,23567.14,25338.22,27379.15,27347.69,26926.14,26528.2,24671.98,22623.34,23442.79,24532.9
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",14,"Roraima",22439.27,23226.29,24175.05,23898.19,24559.67,24919.96,25089.78,24574.35,24219.05,24413.59,23188.92
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",15,"Pará",18013.17,17144.53,18353.54,18839.89,19225.21,19240.4,19759.63,19340.08,18351.1,18726.41,18952.21
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",16,"Amapá",22054.04,22087.79,22995.15,22827.39,24413.15,24003.1,23878.87,22107.3,20620.22,20571.35,20247.53
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",17,"Tocantins",18525.33,18901.41,21205.75,22177.58,23054.54,22596.01,23704.6,23320.18,22104.29,22545.48,22933.07
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",21,"Maranhão",11964.59,11925.72,12623.4,13169.06,13585.48,14170.07,14608.81,13905.04,13031.12,13636.67,13955.75
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",22,"Piauí",11911.74,12526.92,13068.39,13754.25,14512.66,14739.02,15470.5,15260.04,14255.53,15327.86,15432.05
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",23,"Ceará",15618.02,15499.07,16562.77,17228.02,17356.5,17874.08,18483.16,17734.28,16899.46,17038.2,17178.26
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",24,"Rio Grande do Norte",18898.74,18928.23,19528.01,20374.61,20308.6,20295.48,20417.69,19808.56,18838.28,18763.37,19249.6
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",25,"Paraíba",13446.49,13535.7,14915.57,15719.98,16257.63,16765.15,17116.17,16540.98,15929.41,15816.24,16107.51
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",26,"Pernambuco",17758.37,17889.93,19126.77,19931.32,20556.56,20509.39,20748.72,19726.13,19029.46,19300.45,19623.65
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",27,"Alagoas",14556.26,14562.52,15363.57,16110.16,16330.07,15714.87,16370.02,15809.04,15508.19,15946.52,16375.56
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",28,"Sergipe",19821.68,20470.93,21283.26,21936.52,22051.24,21408.7,21260.79,20357.12,19098.38,18697.94,18442.63
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",29,"Bahia",18467.85,18256.32,19725.67,20519.47,21006.2,20062.02,20407.65,19612.45,18313.43,18232.41,19324.04
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",31,"Minas Gerais",28936.35,27560.73,30278.54,31279.32,32110.6,31111.05,30663.84,29186.3,28414.45,28734.88,29223.22
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",32,"Espírito Santo",34985.96,32253.76,36852.11,39260.52,38631.41,35957.37,36709.44,35545.29,33311.41,33107.7,34493.12
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",33,"Rio de Janeiro",44893.9,45381.68,47474.44,48571.16,49191.57,49409.93,49873.77,48244.43,45871.75,44915.58,44222.66
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",35,"São Paulo",49634.49,49112.35,52720.17,54619.93,54993.53,54276.47,53073.39,50459.95,48560.51,48327.39,48542.24
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",41,"Paraná",36455.17,35492.58,39333.02,41477,41220.54,41834.44,40876.48,39197.51,37904.81,38405.74,38772.74
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",42,"Santa Catarina",41405.04,40924.39,42478.45,43281.01,43699.66,43371.07,43791.97,41366.33,40001.88,41040.49,42149.3
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",43,"Rio Grande do Sul",37230.39,36618.38,39475.65,41641.56,40608.8,42507.03,42250.68,40134.06,39049.12,39624.65,40362.75
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",50,"Mato Grosso do Sul",32498.08,32416.07,35331.33,35684.64,37472.77,38605.15,39113.73,38557.24,37101.87,38474.33,38925.85
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",51,"Mato Grosso",31476.26,31677.42,33170.74,34628.01,37938.02,38449.56,39602.33,38380.81,35548.45,39386.24,39931.13
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",52,"Goiás",27505.34,27168.47,29237.18,30543.06,31538.94,31103.41,31266.77,29546.4,28149.23,28459.77,28272.96
"Economia","TX_IBGE_PIB_PC_UF","Amazônia Legal",53,"Distrito Federal",81519.35,83923.01,87585.74,90757.47,90156.35,88722.31,88500.29,85732.44,83935.97,82478.68,85661.39
