"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2012","2013","2014","2015","2016","2017","2018","2019"
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",11,"Rondônia",5.7,5.1,3.8,5.6,8,7.5,9.2,8.1
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",12,"Acre",9,8.4,7.9,8.7,10.3,14.1,13.2,14.5
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",13,"Amazonas",9.7,9.8,8.5,9.3,13.8,14.4,13.8,13.9
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",14,"Roraima",7.8,7.7,7.4,8.8,8.5,10.3,12.8,14.7
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",15,"Pará",7.3,7,7.7,9.3,11.2,11.4,11.6,10.4
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",16,"Amapá",13.2,12.5,12.5,10.7,15.7,17.1,20.5,16.2
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",17,"Tocantins",7.8,6.9,6.5,9.7,12,10.8,10.8,11.7
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",21,"Maranhão",7.8,8.1,7.4,8.6,11.7,13.4,14.4,13.9
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",22,"Piauí",5.9,7.3,5.9,8.1,9.7,12.1,12.6,12.1
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",23,"Ceará",7.7,7.6,7.1,8.7,11.7,12.3,11.5,10.9
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",24,"Rio Grande do Norte",10.7,10.7,11,11.4,13.4,14.3,12.8,12.9
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",25,"Paraíba",9.5,9.1,8,9.5,10.9,10.1,10.3,12.5
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",26,"Pernambuco",9.2,8.7,8.1,10.2,14.8,16.9,16.1,15.1
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",27,"Alagoas",11.3,10.3,9.6,11.3,14.2,17.2,16.3,14.3
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",28,"Sergipe",10.2,10,8.8,9.1,11.9,14.3,16.3,15.4
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",29,"Bahia",11.3,11.3,9.6,11.2,16,16.5,16.4,16.2
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",31,"Minas Gerais",6.7,6.9,6.6,8.7,11.2,12.1,10.7,10.1
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",32,"Espírito Santo",7.4,6.8,6.9,8.9,12.3,12.8,10.9,10.1
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",33,"Rio de Janeiro",7.5,6.9,6.8,8.6,12.1,14.8,14.7,14.6
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",35,"São Paulo",7.1,7.4,7.3,9.9,12.3,13.4,13,12.3
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",41,"Paraná",5,4.3,3.9,5.9,8.2,8.9,8.2,8.1
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",42,"Santa Catarina",3.3,3.4,2.9,4.3,6.4,7.4,6.3,6.2
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",43,"Rio Grande do Sul",5.3,4.9,5.4,6.2,7.9,8.3,8.3,7.7
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",50,"Mato Grosso do Sul",6.1,4.6,4.1,6.5,7,9.5,8,7.8
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",51,"Mato Grosso",5.1,4.4,4.1,6.1,9.5,8.7,7.7,8
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",52,"Goiás",5,5.6,6,7.5,10.6,10.9,9.1,10.6
"Economia","TX_PNAD_DESEMPREGO_UF","Amazônia Legal",53,"Distrito Federal",8.9,8.9,9.6,10.3,11.9,12.4,12.2,13.4
