"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",2.7,4.4,6.9,6.4,7.3,7.3,7.5,7.9,9.2,9.6,20.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100023,"Ariquemes",12.9,14,16.8,17.5,12.5,13.6,12.3,14.1,15.7,16.8,22.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100031,"Cabixi",18.2,18.9,22.6,22.7,25.2,24.7,21.8,27,37,39.9,48.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100049,"Cacoal",11.5,13.3,14.3,19.8,17.7,14.2,11.6,11.3,12.2,15.4,19.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100056,"Cerejeiras",18,14.5,16.6,15.7,13.1,16.5,19.8,18,21.9,27.4,36.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100064,"Colorado do Oeste",9.8,12.1,16.6,16.7,15.2,17.7,15.8,17.4,17.1,20.8,26
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100072,"Corumbiara",0,0,0,0,0,0,0,0,0,7.1,24.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100080,"Costa Marques",12.3,11.3,13.1,10.7,7.6,8,7,7.1,5.7,8,14.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100098,"Espigão D'Oeste",7.4,7.6,8.3,11.5,8.4,7.5,7.7,7.7,7.9,8.5,10.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100106,"Guajará-Mirim",7.3,8.2,7.9,8.1,7.1,6.5,8.4,8.1,11.6,11.9,12.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100114,"Jaru",16.5,16.5,16.6,19,13.5,14.2,13.6,14.3,16.7,21.7,29.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100122,"Ji-Paraná",6.3,7.4,9,9.3,6.1,5.7,5,6.8,8.2,13.4,15
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100130,"Machadinho D'Oeste",0.4,0.4,0.2,1.3,1.2,5.6,6.7,7.8,7.4,13.9,20.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",10.3,11.6,8.2,13.3,7.6,8.5,7.6,6.7,13.2,17.1,17.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100155,"Ouro Preto do Oeste",22.7,19.6,29,32.1,22.3,20.1,20.8,23.1,20.9,25.2,27.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100189,"Pimenta Bueno",21.2,24.4,25,26.4,20.1,22,18.5,18.4,20.2,21.9,30.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100205,"Porto Velho",11.1,11.2,11.6,13.6,13.4,11.1,9.9,9.9,11.5,12.5,13.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100254,"Presidente Médici",13.8,13,10.5,15.1,12.2,19.9,23.3,27,24.7,25,33.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100262,"Rio Crespo",0,0,0,0,0,0,0,0,0,6.1,27.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100288,"Rolim de Moura",13.3,14.8,18.7,18.7,12.7,12.6,13.9,14,13.7,11,9.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",13.9,11.5,11,14.1,14,13.1,13,13.6,14.9,24.2,28.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100304,"Vilhena",19.2,21,23.2,22.8,13,12.2,8.8,9,9.9,14.8,18.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100320,"São Miguel do Guaporé",7.2,7,11.4,11.6,12.9,11,14.6,14.8,19.6,23.1,38.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100338,"Nova Mamoré",3.2,3.6,3.4,3.8,3.5,3.6,4,4.4,4,4.7,6.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100346,"Alvorada D'Oeste",6.4,6.2,9.9,11,14,15.6,14,16.7,22.6,24.2,38.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",0,0,0,0,0,0.1,3.9,7.9,11.6,15.6,24.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100403,"Alto Paraíso",5.6,5.7,6.5,8,5.7,4.8,6.4,6.9,7.9,11.8,20
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100452,"Buritis",2.3,1.9,1.9,2.5,1.8,2.4,2.4,2.6,2,11.1,12.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",10.5,9.5,8.9,11.3,7.8,12,13.2,14.1,15.7,28.6,43.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100601,"Cacaulândia",0,0,0,0,0,0,0,0,0,0,20.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100700,"Campo Novo de Rondônia",6,6.6,8.4,7.6,8.1,9.8,8.2,9.4,16.9,16.3,29.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100809,"Candeias do Jamari",12.6,11.8,13.7,14.3,13.7,13.7,13.5,13.6,13.8,19,27.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100908,"Castanheiras",0,0,0,0,0,0,0,0,0,0,0
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100924,"Chupinguaia",29,28,19.5,21.8,28.8,27.7,18.6,18.8,14.4,27.5,24.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1100940,"Cujubim",8.1,10.6,14.7,16.1,12.6,14.9,12,14,12.5,20.3,39.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101005,"Governador Jorge Teixeira",8.8,8.3,8.5,8.9,3.8,3.7,7.1,7.8,13.4,17.7,50
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101104,"Itapuã do Oeste",9.1,7.9,8.8,13,13.8,16.2,12.4,17.6,21.9,30,59.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Rondônia",1101203,"Ministro Andreazza",0,0,7.9,12.4,13.4,10.7,15.6,13.9,18,22.4,38.3
