"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2012","2013","2014","2015","2016","2017","2018","2019"
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",11,"Rondônia",8.7,8.4,8.6,7.5,6.9,7.2,6.8,6.5
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",12,"Acre",14.1,15,14.9,14,13.1,12.6,11.9,11.9
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",13,"Amazonas",7.5,7.6,7.6,8,6.9,6.6,5.7,5.5
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",14,"Roraima",6.9,6.8,6.6,6.8,7.3,6.3,6.5,5.5
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",15,"Pará",10.6,10.7,9.4,9.7,9,9,8.9,8.7
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",16,"Amapá",6.1,5.8,6.9,7.4,4.9,5.6,5.9,5.3
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",17,"Tocantins",11.8,12.4,11.7,11.1,10.6,10.3,10.2,9.6
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",21,"Maranhão",19.6,18.5,18.1,18.1,16.7,16.5,15.6,15.2
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",22,"Piauí",20.3,20.1,19.8,19,18.1,17.1,16.1,16.7
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",23,"Ceará",16.9,17,16.5,16.1,15,13.9,14,13.8
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",24,"Rio Grande do Norte",16,16.8,16.1,14.4,14.8,13.6,14,13.1
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",25,"Paraíba",18.8,19.8,18.1,17.9,16.1,17,16.9,16.3
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",26,"Pernambuco",15.5,15.1,13.9,14,13.2,12.8,12.7,13.3
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",27,"Alagoas",19.8,20.4,19.2,20.2,18.6,18.2,18,18.1
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",28,"Sergipe",16.3,15.6,15,14.9,15.5,14.4,13.5,13.3
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",29,"Bahia",16.1,15.6,14.2,13.5,13.7,12.8,13.1,12.2
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",31,"Minas Gerais",8.3,7.6,7.1,6.5,6.3,6,6.2,5.7
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",32,"Espírito Santo",7.8,6.7,6.7,6.7,6.1,6,5.2,5.8
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",33,"Rio de Janeiro",3.4,3.1,3.3,3,2.8,2.6,2.2,2.4
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",35,"São Paulo",3.7,3.4,3.3,3.3,2.8,2.9,2.8,2.7
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",41,"Paraná",6.1,5.4,5.2,4.8,4.4,4.9,4.9,4.3
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",42,"Santa Catarina",3.7,3.2,3.5,3,2.9,2.7,2.7,2.3
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",43,"Rio Grande do Sul",4.2,3.9,3.7,3.2,3.1,3.3,2.8,2.9
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",50,"Mato Grosso do Sul",7.6,6.6,7.2,7.4,5.4,5.2,5.2,4.8
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",51,"Mato Grosso",7.9,7.4,7.1,7,6.7,6.6,7,5.9
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",52,"Goiás",7.1,7.5,6.7,6.8,6.1,6.1,5.4,5.7
"Educação","TX_PNAD_ANALFABETISMO_15_MAIS_UF","Amazônia Legal",53,"Distrito Federal",3.1,2.9,2.9,3,2.7,2.9,3,2.8
