"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2016","2017","2018","2019"
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",11,"Rondônia",82.9,86.6,89.1,85.4
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",12,"Acre",77.5,79.5,78.6,78.3
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",13,"Amazonas",80.7,77.8,85.6,85.8
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",14,"Roraima",90.3,90.4,90.6,87.2
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",15,"Pará",86.6,89.4,88.1,88.4
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",16,"Amapá",73.4,72.4,63.2,74.6
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",17,"Tocantins",90.9,91,93.8,92.8
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",21,"Maranhão",96.9,96.3,97.3,96.7
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",22,"Piauí",98.3,97.6,96.9,98
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",23,"Ceará",96.8,97.8,97.4,97
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",24,"Rio Grande do Norte",96.1,96.1,96,97.6
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",25,"Paraíba",92.2,96,92.1,94.5
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",26,"Pernambuco",93.5,90.4,92.2,94
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",27,"Alagoas",86.8,89.1,91.4,92.8
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",28,"Sergipe",89.6,92.4,93.9,94.8
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",29,"Bahia",92.8,95.1,96.8,95.8
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",31,"Minas Gerais",93,94,94.1,94.5
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",32,"Espírito Santo",94.2,92.6,95.1,94.6
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",33,"Rio de Janeiro",85.9,89.1,90.2,90.6
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",35,"São Paulo",91.3,93.9,94.7,95.3
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",41,"Paraná",90.5,89.8,92,92.5
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",42,"Santa Catarina",91.7,92.2,93.6,95.5
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",43,"Rio Grande do Sul",83.1,85.8,85.6,88.5
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",50,"Mato Grosso do Sul",87.6,89.6,88.8,90.1
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",51,"Mato Grosso",82.6,86.9,90.2,92.5
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",52,"Goiás",85.5,86.9,84.7,83.8
"Educação","TX_PNAD_PREESCOLA_4_5_UF","Amazônia Legal",53,"Distrito Federal",80.8,83.7,82.1,84.1
