"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",11,"Rondônia",46,44,30,29,26,32,25,30,22,19,17
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",12,"Acre",20,41,44,45,55,47,41,41,44,36,31
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",13,"Amazonas",49,57,56,51,51,39,38,29,30,26,20
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",14,"Roraima",36,21,26,21,24,22,19,36,57,55,105
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",15,"Pará",50,48,53,53,51,38,30,22,21,18,16
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",16,"Amapá",NA,0,0,0,0,58,49,54,38,28,20
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",17,"Tocantins",34,39,33,26,23,18,15,16,14,13,10
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",21,"Maranhão",17,15,14,12,11,11,11,9,8,7,7
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",22,"Piauí",36,33,32,30,26,23,21,20,16,15,14
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",23,"Ceará",7,6,6,6,5,5,5,7,5,5,5
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",24,"Rio Grande do Norte",8,8,7,9,8,9,9,8,8,6,5
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",25,"Paraíba",17,20,16,16,11,11,10,7,6,6,6
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",26,"Pernambuco",8,7,7,7,8,9,9,8,7,8,6
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",27,"Alagoas",15,16,14,17,20,16,23,21,17,16,14
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",28,"Sergipe",14,13,12,15,12,9,10,8,7,7,6
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",29,"Bahia",7,7,11,10,9,9,8,9,9,8,6
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",31,"Minas Gerais",7,7,7,7,7,6,6,6,6,5,5
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",32,"Espírito Santo",7,7,7,6,6,6,6,5,5,5,5
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",33,"Rio de Janeiro",8,9,8,9,9,9,8,9,9,7,6
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",35,"São Paulo",6,7,6,6,5,5,5,6,6,5,4
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",41,"Paraná",11,11,9,8,8,8,9,8,7,7,6
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",42,"Santa Catarina",11,10,10,12,12,11,11,10,9,8,7
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",43,"Rio Grande do Sul",13,12,12,11,10,11,12,10,10,9,7
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",50,"Mato Grosso do Sul",8,9,7,8,8,8,7,7,6,6,5
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",51,"Mato Grosso",24,23,22,21,24,23,21,24,14,12,9
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",52,"Goiás",21,21,16,19,24,26,27,25,19,19,15
"Infraestrutura","TX_ABRADEE_FEC_UF","Amazônia Legal",53,"Distrito Federal",17,15,15,13,18,16,12,12,8,7,6
