"","COD","NOME","TERRITORIO","AREA","PCT"
"2251",2100055,"Açailândia","Arco do Desmatamento",73525.3,12.66
"2252",2100055,"Açailândia","Cidades",0,0
"2253",2100055,"Açailândia","Outros",0,0
"2254",2100055,"Açailândia","Região Antropizada",507118.85,87.34
"2255",2100055,"Açailândia","Região Conservada",0,0
"2256",2100105,"Afonso Cunha","Arco do Desmatamento",9620.41,25.91
"2257",2100105,"Afonso Cunha","Cidades",0,0
"2258",2100105,"Afonso Cunha","Outros",0,0
"2259",2100105,"Afonso Cunha","Região Antropizada",0,0
"2260",2100105,"Afonso Cunha","Região Conservada",27516.33,74.09
"2261",2100154,"Água Doce do Maranhão","Arco do Desmatamento",0,0
"2262",2100154,"Água Doce do Maranhão","Cidades",0,0
"2263",2100154,"Água Doce do Maranhão","Outros",960.71,2.17
"2264",2100154,"Água Doce do Maranhão","Região Antropizada",0,0
"2265",2100154,"Água Doce do Maranhão","Região Conservada",43364.67,97.83
"2266",2100204,"Alcântara","Arco do Desmatamento",522.76,0.36
"2267",2100204,"Alcântara","Cidades",0,0
"2268",2100204,"Alcântara","Outros",48170.46,33.04
"2269",2100204,"Alcântara","Região Antropizada",0,0
"2270",2100204,"Alcântara","Região Conservada",97099.66,66.6
"2271",2100303,"Aldeias Altas","Arco do Desmatamento",2661.34,1.37
"2272",2100303,"Aldeias Altas","Cidades",0,0
"2273",2100303,"Aldeias Altas","Outros",0,0
"2274",2100303,"Aldeias Altas","Região Antropizada",0,0
"2275",2100303,"Aldeias Altas","Região Conservada",191552.68,98.63
"2276",2100402,"Altamira do Maranhão","Arco do Desmatamento",0,0
"2277",2100402,"Altamira do Maranhão","Cidades",0,0
"2278",2100402,"Altamira do Maranhão","Outros",0,0
"2279",2100402,"Altamira do Maranhão","Região Antropizada",67307.94,100
"2280",2100402,"Altamira do Maranhão","Região Conservada",0,0
"2281",2100436,"Alto Alegre do Maranhão","Arco do Desmatamento",29706.76,77.5
"2282",2100436,"Alto Alegre do Maranhão","Cidades",0,0
"2283",2100436,"Alto Alegre do Maranhão","Outros",0,0
"2284",2100436,"Alto Alegre do Maranhão","Região Antropizada",8622.26,22.5
"2285",2100436,"Alto Alegre do Maranhão","Região Conservada",0,0
"2286",2100477,"Alto Alegre do Pindaré","Arco do Desmatamento",18921.03,9.79
"2287",2100477,"Alto Alegre do Pindaré","Cidades",0,0
"2288",2100477,"Alto Alegre do Pindaré","Outros",0,0
"2289",2100477,"Alto Alegre do Pindaré","Região Antropizada",174304.73,90.21
"2290",2100477,"Alto Alegre do Pindaré","Região Conservada",0,0
"2291",2100501,"Alto Parnaíba","Arco do Desmatamento",126198.48,11.34
"2292",2100501,"Alto Parnaíba","Cidades",0,0
"2293",2100501,"Alto Parnaíba","Outros",0,0
"2294",2100501,"Alto Parnaíba","Região Antropizada",44781.97,4.02
"2295",2100501,"Alto Parnaíba","Região Conservada",942236.26,84.64
"2296",2100550,"Amapá do Maranhão","Arco do Desmatamento",8879.73,17.67
"2297",2100550,"Amapá do Maranhão","Cidades",0,0
"2298",2100550,"Amapá do Maranhão","Outros",0,0
"2299",2100550,"Amapá do Maranhão","Região Antropizada",41363.31,82.33
"2300",2100550,"Amapá do Maranhão","Região Conservada",0,0
"2301",2100600,"Amarante do Maranhão","Arco do Desmatamento",153012.53,20.57
"2302",2100600,"Amarante do Maranhão","Cidades",0,0
"2303",2100600,"Amarante do Maranhão","Outros",0,0
