"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",54.7,57.5,52.8,50.7,50.7,76.2,60.2,61.3,61.7,61.8,61.5
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100023,"Ariquemes",55.2,50.4,56.4,56.5,47.2,53.9,53.9,53.7,56.5,44.9,32.2
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100031,"Cabixi",71.5,65.7,59.7,56.7,57.8,42.8,35.9,40.4,43.5,44.6,45.2
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100049,"Cacoal",21.4,45.8,45.1,48.8,56.3,41,53.4,54.1,55.6,56,43.8
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100056,"Cerejeiras",29.9,30.6,26.7,23.5,8.3,34.4,22.4,31.6,39.8,43.6,48.3
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100064,"Colorado do Oeste",60.7,56.4,44.1,41.4,45.6,47.9,53,55.4,62,63,64
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100072,"Corumbiara",69.5,70.9,65,62.3,66.2,47.2,27.1,33.1,45.4,36.5,33.2
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100080,"Costa Marques",79.4,77.2,80.1,80.6,77.2,73.1,70.5,72.6,78.5,79.1,73
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100098,"Espigão D'Oeste",30.1,27.1,20,18.5,32.4,18.1,15,20.6,26.2,26.7,28.9
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100106,"Guajará-Mirim",74.6,68.4,65.5,67.9,68,46.2,43.4,47.7,52.1,50,54.2
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100114,"Jaru",39.5,35.5,35.8,35,40.9,51.6,42.7,49.3,63.5,61.8,52.8
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100122,"Ji-Paraná",40.8,41,38.8,37.6,51.6,49.1,46,43.6,48.6,48.4,50.3
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100130,"Machadinho D'Oeste",80.1,79.5,76.5,63.2,60.9,58.5,55.3,60,63.1,65.7,63.3
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",50,43.5,34.8,33.7,37.1,32.5,30.1,33.2,41.4,47.5,47.8
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100155,"Ouro Preto do Oeste",47.7,41.1,37.1,29.6,24.7,26.3,26.6,32.9,39.1,41.1,42.7
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100189,"Pimenta Bueno",56.2,54.1,57.2,57.4,53.7,54.4,48.7,46.6,64.2,50.2,35.7
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100205,"Porto Velho",75.9,74.2,72.1,70.7,70.3,70.7,67,70.9,77.1,77.7,83.9
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100254,"Presidente Médici",33.4,31,37.7,29.2,26.4,23.4,26.4,31.1,38.9,42.3,44.6
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100262,"Rio Crespo",50.1,52.9,55.8,53,43.6,57.8,25.7,28.9,40.5,32.4,36.3
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100288,"Rolim de Moura",55,52.5,47.9,45.4,44.4,43.2,42.2,43.8,40.8,41.2,34.6
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",58.7,56.2,58.7,56.4,46.1,37.1,27.4,31.7,44.3,39.9,30.6
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100304,"Vilhena",1,1.1,1,1.2,1.2,0.5,2,6.2,6.4,38.5,38.5
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100320,"São Miguel do Guaporé",42,45.7,36.4,36,44.8,66.3,29.4,23.6,31.8,31.7,38.4
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100338,"Nova Mamoré",79.7,77.1,74.7,71.4,66.3,70.8,71.1,68.2,71.6,69.8,55.9
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100346,"Alvorada D'Oeste",NA,61.8,NA,29.1,18.5,0,0,11.5,11,12.2,12.8
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",NA,0,45.8,65.3,64.2,NA,NA,0,7.7,NA,20
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100403,"Alto Paraíso",70.7,68.3,76.8,75.1,87,52.9,39.1,42.9,33.6,55.7,38.3
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100452,"Buritis",NA,NA,NA,NA,NA,NA,NA,69,21.4,3.6,11
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",80,97.5,48.4,46.9,41.7,22.9,3.1,11.6,17.4,6.2,19.2
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100601,"Cacaulândia",58.5,30.3,43.4,40,47.7,54.9,53.3,44.1,32,42.5,28.2
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100700,"Campo Novo de Rondônia",NA,13.3,NA,14.6,0,0,0,0,0,0,0
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100809,"Candeias do Jamari",69.9,56.6,47.3,46.9,44.5,16.4,16.2,34.4,36.6,39.4,29.8
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100908,"Castanheiras",64.3,76.1,83.5,81.6,100,72,70.7,76.8,76.5,74,76.6
"Saneamento","TX_SNIS_AGUA_PERDIDA_MUN","Rondônia",1100924,"Chupinguaia",NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA
