"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100023,"Ariquemes",NA,NA,NA,NA,NA,NA,2.5,6.2,1.5,4.3,7.5
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100031,"Cabixi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100049,"Cacoal",22.8,29,31.1,34,34,25.3,31.8,30.5,34.1,39,39.3
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100056,"Cerejeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100064,"Colorado do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100072,"Corumbiara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100080,"Costa Marques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100098,"Espigão D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.5
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100106,"Guajará-Mirim",0,0,0,0,0,0,0,17.6,21,18.7,18.5
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100114,"Jaru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100122,"Ji-Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100130,"Machadinho D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100155,"Ouro Preto do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100189,"Pimenta Bueno",NA,NA,NA,NA,NA,NA,NA,NA,0,6.2,3.3
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100205,"Porto Velho",0,0,0,0,0,0,0,1.5,2.5,2.5,1.8
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100254,"Presidente Médici",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100262,"Rio Crespo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100288,"Rolim de Moura",NA,NA,NA,NA,5.6,5,NA,8.8,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100304,"Vilhena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100320,"São Miguel do Guaporé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100338,"Nova Mamoré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100346,"Alvorada D'Oeste",NA,52.5,NA,52.9,27.3,24.8,25.6,81.2,95.5,91.1,91.8
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100403,"Alto Paraíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100452,"Buritis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100601,"Cacaulândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100700,"Campo Novo de Rondônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100809,"Candeias do Jamari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100908,"Castanheiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100924,"Chupinguaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1100940,"Cujubim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101005,"Governador Jorge Teixeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101104,"Itapuã do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101203,"Ministro Andreazza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101302,"Mirante da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101401,"Monte Negro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101435,"Nova União",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101450,"Parecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101468,"Pimenteiras do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101476,"Primavera de Rondônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101484,"São Felipe D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101492,"São Francisco do Guaporé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101500,"Seringueiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101559,"Teixeirópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101609,"Theobroma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saneamento","TX_SNIS_ESGOTO_TRATADO_MUN","Rondônia",1101708,"Urupá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
