"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",NA,83.6,NA,NA,57.3,57.3,NA,NA,NA,57.3,59.9
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100023,"Ariquemes",77.2,78.3,87.4,84.7,84.7,84.7,84.7,85.3,84.7,84.7,88.2
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100031,"Cabixi",NA,NA,NA,100,42.7,42.6,42.7,42.7,42.7,42.7,42.7
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100049,"Cacoal",NA,NA,NA,74.1,87,78.8,78.8,78.8,NA,NA,NA
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100056,"Cerejeiras",NA,NA,NA,NA,NA,NA,84.7,84.7,84.7,84.7,87.2
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100064,"Colorado do Oeste",NA,NA,NA,NA,NA,73.5,85,72.9,84.8,77.7,74.9
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100072,"Corumbiara",NA,NA,29.5,59,29.5,48.5,29.5,29.5,24.4,29.5,29.5
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100080,"Costa Marques",NA,NA,NA,NA,54.8,NA,NA,54.8,NA,NA,NA
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100098,"Espigão D'Oeste",NA,NA,NA,71.7,71.7,71.7,71.7,73.3,71.7,71.7,71
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100106,"Guajará-Mirim",NA,NA,NA,100,86.8,88.8,89.2,100,NA,NA,99
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100114,"Jaru",NA,NA,NA,NA,NA,NA,NA,68.1,79.4,79.5,79.7
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100122,"Ji-Paraná",NA,NA,NA,NA,78.1,89.9,89.9,89.9,89.9,93.8,93
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100130,"Machadinho D'Oeste",NA,NA,NA,NA,NA,NA,NA,52,51.9,61.4,51.9
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,42.2
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100155,"Ouro Preto do Oeste",NA,NA,NA,NA,NA,NA,NA,72.8,74.3,74.3,74.3
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100189,"Pimenta Bueno",NA,NA,87,87,87,87,87,87,92.2,90.6,100
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100205,"Porto Velho",90.9,95.7,100,96.8,100,100,98.8,97.8,98,98,95.4
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100254,"Presidente Médici",0,NA,NA,NA,NA,NA,NA,NA,NA,59.6,59.6
"Saneamento","TX_SNIS_RDO_MUN","Rondônia",1100262,"Rio Crespo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
