"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",10.3,22.1,15.1,13,18.3,5.9,18.8,15.3,14.1,7.4,8.2
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100023,"Ariquemes",9.4,12.2,10.1,11.2,11.5,14,10.1,15.6,13.3,15.5,10.4
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100031,"Cabixi",9.1,10.4,22.2,15.6,13.5,26.7,34.9,0,0,12.2,25
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100049,"Cacoal",17.5,12.7,9.2,14.2,15.2,17.6,18.4,12.7,9.6,13.1,5.1
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100056,"Cerejeiras",9.2,12.5,17.7,24.5,11.1,20,3.6,11.4,3.6,15.2,16.9
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100064,"Colorado do Oeste",14.7,38.2,12.7,14,15.6,11,8,4.5,20.6,8.5,4.7
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100072,"Corumbiara",24.6,22.9,40.8,0,8.6,24,0,21.6,23,7.8,0
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100080,"Costa Marques",31.7,7.6,27.2,21.4,17.1,18.7,28.6,18.8,32.4,8.1,25.8
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100098,"Espigão D'Oeste",15.1,26.3,22.2,12.6,17.3,22.2,14.6,14.4,7.5,12.6,17.8
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100106,"Guajará-Mirim",20.2,18.1,12.6,11.7,12.5,20.6,19.3,18.1,21.4,23.8,10.2
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100114,"Jaru",16,19.5,8.2,13.6,14.2,10.4,15.2,12.4,8.3,12.1,4.5
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100122,"Ji-Paraná",22.8,30,13.1,12,15.2,12.8,15.8,10.1,11.2,17.1,11.5
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100130,"Machadinho D'Oeste",16.3,12,8.8,16.6,13.6,9.9,22.9,17.6,6.7,3.9,20
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",27.2,24.6,13.7,3.7,18,15.7,7.8,3.6,0,6.9,30.7
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100155,"Ouro Preto do Oeste",22.6,12.2,19,12.4,15.6,5.9,9.1,12,5.2,13,14.3
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100189,"Pimenta Bueno",6.7,16.6,14,16.3,20.7,23.5,16.8,10,14.6,12.3,13
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100205,"Porto Velho",19.7,21.8,12.7,14.3,13.9,13.3,13.3,15.6,13.8,12.2,13
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100254,"Presidente Médici",37.9,16.4,42.1,12.3,19.4,6.9,19.1,18.1,38.1,10.2,9.9
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100262,"Rio Crespo",21.3,0,0,0,0,0,0,28.6,0,0,20
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100288,"Rolim de Moura",16,12.6,5.4,11.9,11.4,11.6,24.6,10.5,5.2,13.3,8.6
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",8.7,15.7,18.9,0,10.2,19.4,0,8.8,8.9,9.7,0
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100304,"Vilhena",12.9,19.9,13.5,17.3,12.2,13.4,12.4,14,15,10.3,8.8
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100320,"São Miguel do Guaporé",15.8,4,12.6,19.2,5.6,11,12.9,11.9,16.1,10.2,22.7
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100338,"Nova Mamoré",20.9,19.2,12,13.1,19.2,9.4,9.9,12.2,18.5,18.7,9.3
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100346,"Alvorada D'Oeste",13.1,26.3,10,0,9.1,5.4,20,0,16.9,0,4.9
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",29.7,9.8,30.2,10.6,12.3,29.1,6.7,0,11.6,0,6.5
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100403,"Alto Paraíso",13.8,28.4,3.7,10.3,4.7,23.6,20.2,27.3,20.7,32,4.4
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100452,"Buritis",14.4,6.1,11.5,5.4,10,19.4,14.8,9.6,20.6,13,5.1
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",8.7,0,0,0,16.4,32.3,0,0,0,0,0
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100601,"Cacaulândia",12,14.3,0,16.4,15.9,17.2,0,0,0,0,0
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100700,"Campo Novo de Rondônia",10.3,32.8,27.8,24.4,5.5,11,12.8,6.2,5.7,0,12
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100809,"Candeias do Jamari",26.8,21.9,26.3,20.9,22.2,33.8,24.8,16.1,7.6,11.9,23.7
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100908,"Castanheiras",0,18.9,0,18.9,55.6,21.7,19.2,54.5,0,0,0
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100924,"Chupinguaia",47.2,0,9.8,25.4,12.7,6.3,32.5,13.1,11.8,5.5,6.2
"Saúde","TX_DATASUS_MORT_INFANTIL_MUN","Rondônia",1100940,"Cujubim",14.8,27.9,8.9,24.8,24.6,16.7,14.6,8.3,9.6,13.1,0
