"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2012","2013","2014","2015","2016","2017","2018","2019"
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",11,"Rondônia",245.7,232.3,227.5,232.2,236,239.1,227.6,235.2
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",12,"Acre",231,236.1,229.9,221.3,226.3,229.8,250.7,233.8
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",13,"Amazonas",211.3,210.4,215.6,211.1,214.5,206.4,212.9,220.4
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",14,"Roraima",213.4,237.3,237.8,231.7,225,260.7,262.1,281.7
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",15,"Pará",211.7,210.2,211.2,221,214.2,219.5,217.6,217.3
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",16,"Amapá",201.2,180.9,201.2,203.9,204.9,199.1,202.6,222
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",17,"Tocantins",247.2,242.5,256,248.1,249.5,252.4,245.4,236
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",21,"Maranhão",252.2,248.1,254.6,257.5,254.2,258.2,252.5,246.3
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",22,"Piauí",269.2,259.6,268.2,276.6,272.5,268.8,263.1,266.9
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",23,"Ceará",251.2,244.1,235.5,249.7,247.7,262.7,257.2,254.3
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",24,"Rio Grande do Norte",266.6,255.3,264.1,257.2,257.9,256.5,268.8,277.7
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",25,"Paraíba",304.1,311.4,297.2,292.2,305.2,295.6,293.3,301.2
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",26,"Pernambuco",324.1,327.6,310,320.5,324.3,318.9,312.3,311.4
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",27,"Alagoas",299.1,309.4,297.1,305.4,311.4,311.7,299,303.6
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",28,"Sergipe",264.2,272.4,255.4,262.1,246.5,256,242.6,244.6
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",29,"Bahia",248,248.7,246.6,247.8,245.2,252.6,252.7,247.1
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",31,"Minas Gerais",281.5,276.8,276.5,274.3,284.4,280.9,271.4,275.4
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",32,"Espírito Santo",296.8,288.6,275.1,278.7,285.8,287,284.3,293.2
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",33,"Rio de Janeiro",380.4,387.7,358.1,369,378.2,356.9,357,349.5
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",35,"São Paulo",314.3,314.6,307.6,315.6,317.5,311,310.9,314.7
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",41,"Paraná",322,329.2,311.4,316.5,323.5,314.5,308.3,299.5
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",42,"Santa Catarina",296.2,286.4,282.4,279.8,291.2,284.2,280.2,285
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",43,"Rio Grande do Sul",357.8,367,348.8,344,356.2,340.7,346.4,342.6
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",50,"Mato Grosso do Sul",325.7,331.6,318.2,322.3,320,314.4,317.7,306.6
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",51,"Mato Grosso",258.6,257,252.6,257.6,257.8,259.8,255.2,270
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",52,"Goiás",293.9,289.7,281.4,278.4,275.7,279.1,275.8,271.3
"Saúde","TX_DATASUS_DCNT_30_69_UF","Amazônia Legal",53,"Distrito Federal",229.2,220.4,221.6,209.2,199.4,213.1,198.8,199.4
