"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",11,"Rondônia",17.4,18.5,13.3,13.7,13.9,14.3,14.5,13.4,12.8,12.7,11.5
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",12,"Acre",19.1,17.4,14.4,16.4,16.4,17,17.1,15.2,13.6,16.5,15.9
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",13,"Amazonas",16.8,15.9,15.4,16.8,17.2,15.7,15.5,16,16.6,16,16
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",14,"Roraima",18.3,12.9,12.7,16.5,19.3,20.2,16.7,18.5,17.9,19.9,18.1
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",15,"Pará",18.4,18,17.4,17,16.5,15.7,15,15.7,15.4,15,15.1
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",16,"Amapá",22.5,19.1,20.1,20.4,19.9,18.1,16.8,18.3,19.6,18.5,18.8
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",17,"Tocantins",16.5,16.3,15.6,14.2,13.6,12.7,13,12.5,12.4,12.7,11.7
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",21,"Maranhão",16.6,15.6,16,14.7,16.5,15.5,15.2,15,15.8,14.1,14.4
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",22,"Piauí",17.9,16.9,16.9,16.6,16.4,15.5,14.8,16.2,15.6,14.9,14.6
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",23,"Ceará",15.5,13.1,13.6,12.7,13.8,12.3,12.1,12.6,13.2,12.1,12.2
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",24,"Rio Grande do Norte",13.8,13.4,13.3,14,14.4,12.8,13.8,12.8,12.3,11.7,12.4
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",25,"Paraíba",15.2,14.5,14.4,14.5,14.6,13.5,11.6,12.6,13.3,11.7,13
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",26,"Pernambuco",17.2,15.2,14,14.2,14.1,13.2,13,13.9,12.1,12.4,12.2
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",27,"Alagoas",19.2,16.9,15.7,15.2,16.2,15.3,14.6,14.3,13.4,12.5,13.2
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",28,"Sergipe",16.7,15,16.1,16.3,15.1,15.8,15,15.4,15.4,16.8,17.3
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",29,"Bahia",18.6,18,16.8,17,17,16.4,15.3,16,15.1,15.2,15.1
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",31,"Minas Gerais",14,13.1,13.1,12.7,12.1,11.3,11.4,11.5,11.4,11,11.5
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",32,"Espírito Santo",12,11.9,11.9,11.5,11,11.3,11.4,11.7,10.7,10.6,10.7
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",33,"Rio de Janeiro",14.4,14,13.9,13.8,13.1,12.7,12.6,13.6,12.4,12.7,13.2
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",35,"São Paulo",12.5,11.9,11.6,11.5,11.6,11.5,10.8,11.1,10.9,10.8,11
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",41,"Paraná",12.5,12.1,11.6,11.7,11,11.2,10.9,10.5,10.4,10.3,10.3
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",42,"Santa Catarina",11.3,10.5,11.8,10.6,10.5,10.1,9.9,8.8,9.9,9.5,9.6
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",43,"Rio Grande do Sul",11.5,11.2,11.5,10.8,10.6,10.7,10.1,10.2,10.1,9.8,10.6
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",50,"Mato Grosso do Sul",18.3,15.7,13.2,13.4,12.8,13,12,12.9,10.6,11.3,11.1
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",51,"Mato Grosso",16.4,15.1,14.4,14,14.6,14.7,13.8,13.8,12.6,12.2,12.7
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",52,"Goiás",13.3,12.7,14,14.4,13.9,12.8,12.2,13,11.9,12.5,13.1
"Saúde","TX_DATASUS_MORT_INFANTIL_UF","Amazônia Legal",53,"Distrito Federal",11.9,12.6,11.5,11.6,12.7,11.4,10.6,10.3,11.1,10.3,8.5
