"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100015,"Alta Floresta D'Oeste",49.3,61.5,0,24.9,35,19.5,43,35.3,43.2,12.9,26.1
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100023,"Ariquemes",25.7,34.3,36,34.5,45.4,27.2,37.4,34.9,24.2,30.1,24.1
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100031,"Cabixi",29.9,31.7,32.1,0,15.4,46.7,78.7,31.8,48.2,36.8,37.7
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100049,"Cacoal",31.8,43.3,32.9,40.3,30.3,38.1,24.1,33,32.8,22.4,22.3
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100056,"Cerejeiras",36.1,47,35.4,83.1,61,44.4,22.2,22.3,33.5,42.6,36.8
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100064,"Colorado do Oeste",22.4,48.4,49.1,66.3,31.3,36.8,42.5,10.7,21.7,49.3,37.8
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100072,"Corumbiara",20.7,0,46.2,23.4,11.1,33.6,79.2,22.9,23.1,13.2,27.1
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100080,"Costa Marques",34.6,29.2,21.4,69.7,0,6.2,48,17.6,23,22.4,10.9
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100098,"Espigão D'Oeste",24.2,10.4,17.3,34.3,18.9,28.1,30.9,30.6,18.2,21.8,27.8
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100106,"Guajará-Mirim",29.4,26.4,23.8,26.1,24,30.3,36.5,6.4,10.5,8.7,10.8
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100114,"Jaru",24.1,48.1,50.1,32.8,23.4,35.9,19.7,23.3,43,25,30.9
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100122,"Ji-Paraná",49.5,72,57.9,50,39.1,36.4,26.8,19.8,26.4,27.4,31.8
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100130,"Machadinho D'Oeste",45.2,12.8,28.3,30.9,30.9,33,35,23.7,44,38.4,42.5
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100148,"Nova Brasilândia D'Oeste",45.2,20.1,20.1,10.1,28,23.2,4.6,41.5,32.2,19.6,14.7
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100155,"Ouro Preto do Oeste",43.6,34.3,26.5,34.7,24.9,47.5,20,42.7,45.3,41.3,27.8
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100189,"Pimenta Bueno",32.4,50.3,50,38.1,43.3,16.1,34.7,50.3,36.8,46.7,13.6
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100205,"Porto Velho",31.3,41.3,42.2,44.5,28.9,28.3,23.9,19.8,16.6,17.3,16.1
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100254,"Presidente Médici",40,22.4,27.3,36.9,13,48.3,39.9,26.9,54.2,41.2,10.5
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100262,"Rio Crespo",0,60.3,0,59.3,27.3,0,0,79.2,0,26.9,0
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100288,"Rolim de Moura",45.5,55.3,33.4,64.5,37.9,43,24.9,22.9,29.8,31.1,27.2
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100296,"Santa Luzia D'Oeste",42.8,33.8,46.1,35.4,146.3,11.5,35.2,23.9,24.4,14.7,15.4
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100304,"Vilhena",40.1,42,34.6,46.5,31.9,25.6,38.1,38.4,29.3,36.9,37.1
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100320,"São Miguel do Guaporé",17.2,22.9,32,31.9,46.5,33.6,50.1,49.9,33.1,26.2,26.1
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100338,"Nova Mamoré",53.7,44.4,30.2,33.7,34.3,44.6,21.7,28.3,51.9,37,26.2
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100346,"Alvorada D'Oeste",46.7,53.4,24.1,61,28.7,40.6,29.3,53.2,41.8,27.2,48.6
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100379,"Alto Alegre dos Parecis",0,31.2,46.8,54.5,21.7,0,0,28.6,35.6,0,7.6
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100403,"Alto Paraíso",39.8,64.2,57.3,50.7,0,50.4,49.5,19.4,23.9,14.3,37.3
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100452,"Buritis",43.2,46.3,21.3,32.9,32.8,37.6,23.8,52,10.2,10.3,12.6
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100502,"Novo Horizonte do Oeste",51.4,39.1,29.8,50.3,19,28.9,38.9,9.8,69.6,22.9,11.7
"Segurança","TX_DATASUS_TRANSITO_MUN","Rondônia",1100601,"Cacaulândia",34.9,0,86.7,51.8,63.8,31.7,0,31.2,46.4,48.5,16.1
